time, x, v, LA, HA
0.000000, 0.000000, 0.000000, 2.137414, ACC
1.000000, 0.010687, 0.213741, 3.827735, ACC
2.000000, 0.051200, 0.596515, 3.916348, ACC
3.000000, 0.130433, 0.988150, 3.829260, ACC
4.000000, 0.248394, 1.371076, 4.013438, ACC
5.000000, 0.405569, 1.772420, 3.996351, ACC
6.000000, 0.602793, 2.172055, 3.877380, ACC
7.000000, 0.839385, 2.559793, 3.799063, ACC
8.000000, 1.114360, 2.939699, 4.164473, ACC
9.000000, 1.429152, 3.356146, 3.834605, ACC
10.000000, 1.783940, 3.739607, 3.944267, ACC
11.000000, 2.177622, 4.134034, 3.866202, ACC
12.000000, 2.610356, 4.520654, 3.976510, ACC
13.000000, 3.082304, 4.918305, 4.008991, ACC
14.000000, 3.594180, 5.319204, 3.847610, ACC
15.000000, 4.145338, 5.703965, 4.089193, ACC
16.000000, 4.736180, 6.112884, 4.151860, ACC
17.000000, 5.368228, 6.528070, 3.997572, ACC
18.000000, 6.041023, 6.927827, 4.017924, ACC
19.000000, 6.753895, 7.329620, 3.840593, ACC
20.000000, 7.506060, 7.713679, 4.018016, ACC
21.000000, 8.297518, 8.115481, 3.938199, ACC
22.000000, 9.128757, 8.509301, 3.992884, ACC
23.000000, 9.999652, 8.908589, 4.043033, ACC
24.000000, 10.910726, 9.312892, 3.860486, ACC
25.000000, 11.861318, 9.698941, 4.075632, ACC
26.000000, 12.851590, 10.106504, 3.970331, ACC
27.000000, 13.882092, 10.503537, 4.027873, ACC
28.000000, 14.952585, 10.906325, 3.898618, ACC
29.000000, 16.062711, 11.296186, 4.029043, ACC
30.000000, 17.212474, 11.699091, 3.959643, ACC
31.000000, 18.402182, 12.095055, 3.947678, ACC
32.000000, 19.631426, 12.489823, 4.075609, ACC
33.000000, 20.900786, 12.897384, 4.015692, ACC
34.000000, 22.210603, 13.298953, 4.106148, ACC
35.000000, 23.561029, 13.709568, 4.072466, ACC
36.000000, 24.952348, 14.116814, 4.028439, ACC
37.000000, 26.384171, 14.519658, 4.171019, ACC
38.000000, 27.856992, 14.936760, 4.073526, ACC
39.000000, 29.371036, 15.344113, 3.975002, ACC
40.000000, 30.925322, 15.741613, 4.113919, ACC
41.000000, 32.520053, 16.153005, 4.013236, ACC
42.000000, 34.155420, 16.554329, 4.094249, ACC
43.000000, 35.831324, 16.963753, 4.105802, ACC
44.000000, 37.548228, 17.374334, 3.922325, ACC
45.000000, 39.305273, 17.766566, 3.966667, ACC
46.000000, 41.101763, 18.163233, 3.991902, ACC
47.000000, 42.938046, 18.562423, 4.033116, ACC
48.000000, 44.814454, 18.965735, 4.032865, ACC
49.000000, 46.731192, 19.369021, 4.109195, ACC
50.000000, 48.688640, 19.779941, 4.206761, ACC
51.000000, 50.687668, 20.200617, 3.936507, ACC
52.000000, 52.727412, 20.594267, 4.020099, ACC
53.000000, 54.806939, 20.996277, 4.217792, ACC
54.000000, 56.927656, 21.418057, 4.115027, ACC
55.000000, 59.090037, 21.829559, 3.946845, ACC
56.000000, 61.292727, 22.224244, 3.999679, ACC
57.000000, 63.535150, 22.624212, 3.929748, ACC
58.000000, 65.817219, 23.017186, 4.109727, ACC
59.000000, 68.139487, 23.428159, 3.984566, ACC
60.000000, 70.502225, 23.826616, 4.229828, ACC
61.000000, 72.906036, 24.249599, 3.963556, ACC
62.000000, 75.350814, 24.645954, 4.111150, ACC
63.000000, 77.835965, 25.057069, 4.022951, ACC
64.000000, 80.361787, 25.459364, 3.872689, ACC
65.000000, 82.927087, 25.846633, 4.113366, ACC
66.000000, 85.532317, 26.257970, 4.080790, ACC
67.000000, 88.178518, 26.666049, 3.903406, ACC
68.000000, 90.864640, 27.056389, 4.142884, ACC
69.000000, 93.590993, 27.470678, 3.951186, ACC
70.000000, 96.357817, 27.865796, 4.124763, ACC
71.000000, 99.165020, 28.278272, 3.898960, ACC
72.000000, 102.012342, 28.668168, 3.928310, ACC
73.000000, 104.898800, 29.060999, 4.099081, ACC
74.000000, 107.825396, 29.470908, 4.066118, ACC
75.000000, 110.792817, 29.877519, 3.954837, ACC
76.000000, 113.800343, 30.273003, 1.386711, CON
