time, pos, vel, acc, accMax, decMax, vMax, target, HA
0.000000, 0.000000, 0.000000, 2.073687, 3.000000, -4.000000, 20.000000, 100.000000, ACC
1.000000, 0.010368, 0.207369, 3.018582, 3.000000, -4.000000, 20.000000, 100.000000, ACC
2.000000, 0.046198, 0.509227, 2.930507, 3.000000, -4.000000, 20.000000, 100.000000, ACC
3.000000, 0.111773, 0.802278, 2.926369, 3.000000, -4.000000, 20.000000, 100.000000, ACC
4.000000, 0.206633, 1.094915, 2.816650, 3.000000, -4.000000, 20.000000, 100.000000, ACC
5.000000, 0.330208, 1.376580, 2.996239, 3.000000, -4.000000, 20.000000, 100.000000, ACC
6.000000, 0.482847, 1.676203, 2.979020, 3.000000, -4.000000, 20.000000, 100.000000, ACC
7.000000, 0.665362, 1.974105, 2.810323, 3.000000, -4.000000, 20.000000, 100.000000, ACC
8.000000, 0.876824, 2.255138, 3.017485, 3.000000, -4.000000, 20.000000, 100.000000, ACC
9.000000, 1.117426, 2.556886, 3.017785, 3.000000, -4.000000, 20.000000, 100.000000, ACC
10.000000, 1.388203, 2.858665, 3.035373, 3.000000, -4.000000, 20.000000, 100.000000, ACC
11.000000, 1.689247, 3.162202, 3.065830, 3.000000, -4.000000, 20.000000, 100.000000, ACC
12.000000, 2.020796, 3.468785, 3.020536, 3.000000, -4.000000, 20.000000, 100.000000, ACC
13.000000, 2.382777, 3.770839, 3.018447, 3.000000, -4.000000, 20.000000, 100.000000, ACC
14.000000, 2.774953, 4.072683, 2.916205, 3.000000, -4.000000, 20.000000, 100.000000, ACC
15.000000, 3.196803, 4.364304, 3.066292, 3.000000, -4.000000, 20.000000, 100.000000, ACC
16.000000, 3.648564, 4.670933, 3.096129, 3.000000, -4.000000, 20.000000, 100.000000, ACC
17.000000, 4.131138, 4.980546, 2.902010, 3.000000, -4.000000, 20.000000, 100.000000, ACC
18.000000, 4.643703, 5.270747, 2.918769, 3.000000, -4.000000, 20.000000, 100.000000, ACC
19.000000, 5.185372, 5.562624, 3.141334, 3.000000, -4.000000, 20.000000, 100.000000, ACC
20.000000, 5.757341, 5.876757, 2.629469, 3.000000, -4.000000, 20.000000, 100.000000, ACC
21.000000, 6.358164, 6.139704, 2.923893, 3.000000, -4.000000, 20.000000, 100.000000, ACC
22.000000, 6.986754, 6.432094, 2.867173, 3.000000, -4.000000, 20.000000, 100.000000, ACC
23.000000, 7.644299, 6.718811, 3.117254, 3.000000, -4.000000, 20.000000, 100.000000, ACC
24.000000, 8.331766, 7.030536, 3.030735, 3.000000, -4.000000, 20.000000, 100.000000, ACC
25.000000, 9.049974, 7.333610, 3.114083, 3.000000, -4.000000, 20.000000, 100.000000, ACC
26.000000, 9.798905, 7.645018, 2.969816, 3.000000, -4.000000, 20.000000, 100.000000, ACC
27.000000, 10.578256, 7.942000, 3.115908, 3.000000, -4.000000, 20.000000, 100.000000, ACC
28.000000, 11.388035, 8.253590, 2.958251, 3.000000, -4.000000, 20.000000, 100.000000, ACC
29.000000, 12.228186, 8.549415, 3.111629, 3.000000, -4.000000, 20.000000, 100.000000, ACC
30.000000, 13.098685, 8.860578, 3.017900, 3.000000, -4.000000, 20.000000, 100.000000, ACC
31.000000, 13.999833, 9.162368, 3.012101, 3.000000, -4.000000, 20.000000, 100.000000, ACC
32.000000, 14.931130, 9.463578, 3.106402, 3.000000, -4.000000, 20.000000, 100.000000, ACC
33.000000, 15.893020, 9.774219, 2.985353, 3.000000, -4.000000, 20.000000, 100.000000, ACC
34.000000, 16.885368, 10.072754, 3.061297, 3.000000, -4.000000, 20.000000, 100.000000, ACC
35.000000, 17.907950, 10.378884, 2.882897, 3.000000, -4.000000, 20.000000, 100.000000, ACC
36.000000, 18.960253, 10.667173, 3.076719, 3.000000, -4.000000, 20.000000, 100.000000, ACC
37.000000, 20.042354, 10.974845, 2.980471, 3.000000, -4.000000, 20.000000, 100.000000, ACC
38.000000, 21.154741, 11.272892, 3.163881, 3.000000, -4.000000, 20.000000, 100.000000, ACC
39.000000, 22.297849, 11.589280, 2.863344, 3.000000, -4.000000, 20.000000, 100.000000, ACC
40.000000, 23.471094, 11.875615, 3.236899, 3.000000, -4.000000, 20.000000, 100.000000, ACC
41.000000, 24.674840, 12.199305, 3.027122, 3.000000, -4.000000, 20.000000, 100.000000, ACC
42.000000, 25.909906, 12.502017, 2.860342, 3.000000, -4.000000, 20.000000, 100.000000, ACC
43.000000, 27.174410, 12.788051, 3.050903, 3.000000, -4.000000, 20.000000, 100.000000, ACC
44.000000, 28.468469, 13.093141, 3.137120, 3.000000, -4.000000, 20.000000, 100.000000, ACC
45.000000, 29.793469, 13.406853, 3.039174, 3.000000, -4.000000, 20.000000, 100.000000, ACC
46.000000, 31.149350, 13.710771, 2.956044, 3.000000, -4.000000, 20.000000, 100.000000, ACC
47.000000, 32.535208, 14.006375, 2.797414, 3.000000, -4.000000, 20.000000, 100.000000, ACC
48.000000, 33.949832, 14.286117, 3.055909, 3.000000, -4.000000, 20.000000, 100.000000, ACC
49.000000, 35.393723, 14.591708, 2.957851, 3.000000, -4.000000, 20.000000, 100.000000, ACC
50.000000, 36.867683, 14.887493, 3.108254, 3.000000, -4.000000, 20.000000, 100.000000, ACC
51.000000, 38.371974, 15.198318, 3.194761, 3.000000, -4.000000, 20.000000, 100.000000, ACC
52.000000, 39.907779, 15.517794, 3.017509, 3.000000, -4.000000, 20.000000, 100.000000, ACC
53.000000, 41.474646, 15.819545, 2.944316, 3.000000, -4.000000, 20.000000, 100.000000, ACC
54.000000, 43.071323, 16.113977, 3.087622, 3.000000, -4.000000, 20.000000, 100.000000, ACC
55.000000, 44.698158, 16.422739, 3.178414, 3.000000, -4.000000, 20.000000, 100.000000, ACC
56.000000, 46.356324, 16.740580, 2.969601, 3.000000, -4.000000, 20.000000, 100.000000, ACC
