time, x, v, LA, HA
0.000000, 0.000000, 0.000000, 1.470715, ACC
1.000000, 0.007354, 0.147072, 2.900417, ACC
2.000000, 0.036563, 0.437113, 4.868550, ACC
3.000000, 0.104617, 0.923968, 5.044610, ACC
4.000000, 0.222237, 1.428429, 4.847174, ACC
5.000000, 0.389316, 1.913146, 5.077803, ACC
6.000000, 0.606019, 2.420927, 4.930101, ACC
7.000000, 0.872762, 2.913937, 5.187981, ACC
8.000000, 1.190096, 3.432735, 5.041294, ACC
9.000000, 1.558576, 3.936864, 5.069203, ACC
10.000000, 1.977608, 4.443785, 5.044173, ACC
11.000000, 2.447208, 4.948202, 4.682668, ACC
12.000000, 2.965441, 5.416469, 5.000898, ACC
13.000000, 3.532093, 5.916559, 4.989484, ACC
14.000000, 4.148696, 6.415507, 5.152736, ACC
15.000000, 4.816010, 6.930781, 5.187112, ACC
16.000000, 5.535024, 7.449492, 4.932674, ACC
17.000000, 6.304636, 7.942759, 4.956422, ACC
18.000000, 7.123695, 8.438401, 4.847807, ACC
19.000000, 7.991774, 8.923182, 4.861523, ACC
20.000000, 8.908400, 9.409334, 4.934132, ACC
21.000000, 9.874004, 9.902748, 4.938929, ACC
22.000000, 10.888973, 10.396641, 3.066930, DEC
23.000000, 11.943972, 10.703333, 1.317017, DEC
24.000000, 13.020890, 10.835035, -0.149018, DEC
25.000000, 14.103649, 10.820133, -1.963901, DEC
26.000000, 15.175842, 10.623743, -2.928191, DEC
27.000000, 16.223576, 10.330924, -2.987436, DEC
28.000000, 17.241731, 10.032181, -2.928698, DEC
29.000000, 18.230306, 9.739311, -3.169367, DEC
30.000000, 19.188390, 9.422374, -3.115957, DEC
31.000000, 20.115048, 9.110778, -2.945169, DEC
32.000000, 21.011400, 8.816262, -2.912163, DEC
33.000000, 21.878465, 8.525045, -3.035842, DEC
34.000000, 22.715790, 8.221461, -2.929488, DEC
35.000000, 23.523289, 7.928512, -2.906915, DEC
36.000000, 24.301605, 7.637821, -2.842078, DEC
37.000000, 25.051177, 7.353613, -2.900502, DEC
38.000000, 25.772036, 7.063563, -3.120801, DEC
39.000000, 26.462788, 6.751483, -3.039007, DEC
40.000000, 27.122741, 6.447582, -3.098186, DEC
41.000000, 27.752009, 6.137763, -3.022188, DEC
42.000000, 28.350674, 5.835545, -3.055778, DEC
43.000000, 28.918950, 5.529967, -2.806176, DEC
44.000000, 29.457916, 5.249349, -3.016270, DEC
45.000000, 29.967769, 4.947722, -3.091071, DEC
46.000000, 30.447086, 4.638615, -3.071575, DEC
47.000000, 30.895590, 4.331458, -2.948623, DEC
48.000000, 31.313992, 4.036595, -3.063653, DEC
49.000000, 31.702334, 3.730230, -2.990551, DEC
50.000000, 32.060404, 3.431175, -2.964868, DEC
51.000000, 32.388697, 3.134688, -3.102714, DEC
52.000000, 32.686652, 2.824417, -2.991605, DEC
53.000000, 32.954136, 2.525256, -2.955877, DEC
54.000000, 33.191882, 2.229668, -3.140954, DEC
55.000000, 33.399144, 1.915573, -3.092969, DEC
56.000000, 33.575237, 1.606276, -2.929925, DEC
57.000000, 33.721215, 1.313284, -2.988732, DEC
58.000000, 33.837599, 1.014411, -3.159762, DEC
59.000000, 33.923241, 0.698434, -2.976918, DEC
60.000000, 33.978200, 0.400743, -2.839499, DEC
61.000000, 34.004077, 0.116793, -2.940633, DEC
62.000000, 34.009917, 0.000000, -2.918397, DEC
63.000000, 34.009917, 0.000000, -3.032716, DEC
64.000000, 34.009917, 0.000000, -2.874823, DEC
65.000000, 34.009917, 0.000000, -2.948590, DEC
66.000000, 34.009917, 0.000000, -2.852744, DEC
67.000000, 34.009917, 0.000000, -2.944919, DEC
68.000000, 34.009917, 0.000000, -2.938801, DEC
69.000000, 34.009917, 0.000000, -3.199979, DEC
70.000000, 34.009917, 0.000000, -3.029262, DEC
71.000000, 34.009917, 0.000000, -3.039047, DEC
72.000000, 34.009917, 0.000000, -2.927567, DEC
73.000000, 34.009917, 0.000000, -2.986994, DEC
74.000000, 34.009917, 0.000000, -2.957241, DEC
75.000000, 34.009917, 0.000000, -2.965995, DEC
76.000000, 34.009917, 0.000000, -2.954800, DEC
77.000000, 34.009917, 0.000000, -3.066589, DEC
78.000000, 34.009917, 0.000000, -2.861491, DEC
79.000000, 34.009917, 0.000000, -2.982457, DEC
80.000000, 34.009917, 0.000000, -2.939182, DEC
81.000000, 34.009917, 0.000000, -3.004113, DEC
82.000000, 34.009917, 0.000000, -3.041958, DEC
83.000000, 34.009917, 0.000000, -3.023942, DEC
84.000000, 34.009917, 0.000000, -3.019906, DEC
85.000000, 34.009917, 0.000000, -3.111883, DEC
86.000000, 34.009917, 0.000000, -3.053725, DEC
87.000000, 34.009917, 0.000000, -3.050763, DEC
88.000000, 34.009917, 0.000000, -3.226559, DEC
89.000000, 34.009917, 0.000000, -3.046430, DEC
90.000000, 34.009917, 0.000000, -2.930225, DEC
91.000000, 34.009917, 0.000000, -3.166660, DEC
92.000000, 34.009917, 0.000000, -3.058391, DEC
93.000000, 34.009917, 0.000000, -2.877596, DEC
94.000000, 34.009917, 0.000000, -2.928663, DEC
95.000000, 34.009917, 0.000000, -2.975376, DEC
96.000000, 34.009917, 0.000000, -2.810760, DEC
97.000000, 34.009917, 0.000000, -3.127067, DEC
98.000000, 34.009917, 0.000000, -3.243233, DEC
99.000000, 34.009917, 0.000000, -3.082951, DEC
100.000000, 34.009917, 0.000000, -3.019180, DEC
101.000000, 34.009917, 0.000000, -2.831285, DEC
102.000000, 34.009917, 0.000000, -2.967582, DEC
103.000000, 34.009917, 0.000000, -2.952253, DEC
104.000000, 34.009917, 0.000000, -2.917408, DEC
105.000000, 34.009917, 0.000000, -3.065690, DEC
106.000000, 34.009917, 0.000000, -3.071508, DEC
107.000000, 34.009917, 0.000000, -2.918804, DEC
108.000000, 34.009917, 0.000000, -3.150974, DEC
109.000000, 34.009917, 0.000000, -2.849762, DEC
110.000000, 34.009917, 0.000000, -2.943341, DEC
111.000000, 34.009917, 0.000000, -3.069764, DEC
112.000000, 34.009917, 0.000000, -2.878516, DEC
113.000000, 34.009917, 0.000000, -3.034291, DEC
114.000000, 34.009917, 0.000000, -2.882961, DEC
115.000000, 34.009917, 0.000000, -2.896643, DEC
116.000000, 34.009917, 0.000000, -3.075750, DEC
117.000000, 34.009917, 0.000000, -3.106241, DEC
118.000000, 34.009917, 0.000000, -2.971774, DEC
119.000000, 34.009917, 0.000000, -3.052177, DEC
120.000000, 34.009917, 0.000000, -2.974431, DEC
121.000000, 34.009917, 0.000000, -2.936648, DEC
122.000000, 34.009917, 0.000000, -3.023158, DEC
123.000000, 34.009917, 0.000000, -3.042025, DEC
