time, LA.acc, pos, decMax, accMax, vMax, vel, target, dns, HA
0.000000, 1.487230, 0.000000, -8.000000, 5.000000, 10.000000, 0.000000, 100.000000, 100.000000, 0
1.000000, 2.255079, 0.007436, -8.000000, 5.000000, 10.000000, 0.148723, 100.000000, 99.992564, 0
2.000000, 2.113615, 0.033584, -8.000000, 5.000000, 10.000000, 0.374231, 100.000000, 99.966416, 0
3.000000, 3.462490, 0.081575, -8.000000, 5.000000, 10.000000, 0.585592, 100.000000, 99.918425, 0
4.000000, 4.669981, 0.157447, -8.000000, 5.000000, 10.000000, 0.931841, 100.000000, 99.842553, 0
5.000000, 4.166702, 0.273981, -8.000000, 5.000000, 10.000000, 1.398839, 100.000000, 99.726019, 0
6.000000, 5.349469, 0.434698, -8.000000, 5.000000, 10.000000, 1.815510, 100.000000, 99.565302, 0
7.000000, 4.708043, 0.642997, -8.000000, 5.000000, 10.000000, 2.350457, 100.000000, 99.357003, 0
8.000000, 4.873789, 0.901582, -8.000000, 5.000000, 10.000000, 2.821261, 100.000000, 99.098418, 0
9.000000, 5.612020, 1.208077, -8.000000, 5.000000, 10.000000, 3.308640, 100.000000, 98.791923, 0
10.000000, 4.582347, 1.567002, -8.000000, 5.000000, 10.000000, 3.869842, 100.000000, 98.432998, 0
11.000000, 5.356686, 1.976897, -8.000000, 5.000000, 10.000000, 4.328077, 100.000000, 98.023103, 0
12.000000, 5.513614, 2.436489, -8.000000, 5.000000, 10.000000, 4.863745, 100.000000, 97.563511, 0
13.000000, 5.123121, 2.950431, -8.000000, 5.000000, 10.000000, 5.415106, 100.000000, 97.049569, 0
14.000000, 4.727301, 3.517557, -8.000000, 5.000000, 10.000000, 5.927419, 100.000000, 96.482443, 0
15.000000, 5.946198, 4.133936, -8.000000, 5.000000, 10.000000, 6.400149, 100.000000, 95.866064, 0
16.000000, 5.137802, 4.803682, -8.000000, 5.000000, 10.000000, 6.994769, 100.000000, 95.196318, 0
17.000000, 4.364666, 5.528847, -8.000000, 5.000000, 10.000000, 7.508549, 100.000000, 94.471153, 0
18.000000, 4.304797, 6.301526, -8.000000, 5.000000, 10.000000, 7.945015, 100.000000, 93.698474, 0
19.000000, 3.783836, 7.117551, -8.000000, 5.000000, 10.000000, 8.375495, 100.000000, 92.882449, 0
20.000000, 3.863937, 7.974020, -8.000000, 5.000000, 10.000000, 8.753879, 100.000000, 92.025980, 0
21.000000, 4.449184, 8.868727, -8.000000, 5.000000, 10.000000, 9.140272, 100.000000, 91.131273, 0
22.000000, 5.348822, 9.805001, -8.000000, 5.000000, 10.000000, 9.585191, 100.000000, 90.194999, 0
23.000000, 4.904102, 10.790264, -8.000000, 5.000000, 10.000000, 10.120073, 100.000000, 89.209736, 0
24.000000, 4.100391, 11.826792, -8.000000, 5.000000, 10.000000, 10.610483, 100.000000, 88.173208, 1
25.000000, 3.943969, 12.908342, -8.000000, 5.000000, 10.000000, 11.020522, 100.000000, 87.091658, 1
26.000000, 2.807905, 14.030114, -8.000000, 5.000000, 10.000000, 11.414919, 100.000000, 85.969886, 1
27.000000, 1.969993, 15.185645, -8.000000, 5.000000, 10.000000, 11.695710, 100.000000, 84.814355, 1
28.000000, 0.790522, 16.365066, -8.000000, 5.000000, 10.000000, 11.892709, 100.000000, 83.634934, 1
29.000000, 0.238737, 17.558290, -8.000000, 5.000000, 10.000000, 11.971761, 100.000000, 82.441710, 1
30.000000, 0.046357, 18.756660, -8.000000, 5.000000, 10.000000, 11.995635, 100.000000, 81.243340, 1
31.000000, 0.412962, 19.956455, -8.000000, 5.000000, 10.000000, 12.000271, 100.000000, 80.043545, 1
32.000000, 0.444146, 21.158547, -8.000000, 5.000000, 10.000000, 12.041567, 100.000000, 78.841453, 1
33.000000, -0.328450, 22.364924, -8.000000, 5.000000, 10.000000, 12.085981, 100.000000, 77.635076, 1
34.000000, -0.481992, 23.571880, -8.000000, 5.000000, 10.000000, 12.053136, 100.000000, 76.428120, 1
35.000000, -0.357539, 24.774784, -8.000000, 5.000000, 10.000000, 12.004937, 100.000000, 75.225216, 1
