time,LA.acc,pos,decMax,accMax,vMax,vel,target,dns,HA
0.000000,1.041431,0.000000,-9.000000,8.000000,20.000000,0.000000,100.000000,100.000000,0
1.000000,1.829562,0.005207,-9.000000,8.000000,20.000000,0.104143,100.000000,99.994793,0
2.000000,3.044715,0.024769,-9.000000,8.000000,20.000000,0.287099,100.000000,99.975231,0
3.000000,3.040929,0.068703,-9.000000,8.000000,20.000000,0.591571,100.000000,99.931297,0
4.000000,4.254578,0.143065,-9.000000,8.000000,20.000000,0.895664,100.000000,99.856935,0
5.000000,5.210459,0.253904,-9.000000,8.000000,20.000000,1.321122,100.000000,99.746096,0
6.000000,6.506447,0.412068,-9.000000,8.000000,20.000000,1.842167,100.000000,99.587932,0
7.000000,7.602061,0.628817,-9.000000,8.000000,20.000000,2.492812,100.000000,99.371183,0
8.000000,8.148308,0.916109,-9.000000,8.000000,20.000000,3.253018,100.000000,99.083891,0
9.000000,8.642490,1.282152,-9.000000,8.000000,20.000000,4.067849,100.000000,98.717848,0
10.000000,7.645514,1.732149,-9.000000,8.000000,20.000000,4.932098,100.000000,98.267851,0
11.000000,7.862597,2.263587,-9.000000,8.000000,20.000000,5.696649,100.000000,97.736413,0
12.000000,8.599619,2.872565,-9.000000,8.000000,20.000000,6.482909,100.000000,97.127435,0
13.000000,8.527301,3.563854,-9.000000,8.000000,20.000000,7.342871,100.000000,96.436146,0
14.000000,7.726799,4.340777,-9.000000,8.000000,20.000000,8.195601,100.000000,95.659223,0
15.000000,7.454025,5.198971,-9.000000,8.000000,20.000000,8.968281,100.000000,94.801029,0
16.000000,7.810816,6.133070,-9.000000,8.000000,20.000000,9.713683,100.000000,93.866930,0
17.000000,7.755798,7.143492,-9.000000,8.000000,20.000000,10.494765,100.000000,92.856508,0
18.000000,7.808467,8.231748,-9.000000,8.000000,20.000000,11.270345,100.000000,91.768252,0
19.000000,8.034782,9.397824,-9.000000,8.000000,20.000000,12.051192,100.000000,90.602176,0
20.000000,7.939517,10.643117,-9.000000,8.000000,20.000000,12.854670,100.000000,89.356883,0
21.000000,8.037540,11.968282,-9.000000,8.000000,20.000000,13.648621,100.000000,88.031718,0
22.000000,7.937907,13.373332,-9.000000,8.000000,20.000000,14.452375,100.000000,86.626668,0
23.000000,8.379863,14.858259,-9.000000,8.000000,20.000000,15.246166,100.000000,85.141741,0
24.000000,8.177635,16.424775,-9.000000,8.000000,20.000000,16.084152,100.000000,83.575225,0
25.000000,8.578945,18.074078,-9.000000,8.000000,20.000000,16.901916,100.000000,81.925922,0
26.000000,7.377942,19.807165,-9.000000,8.000000,20.000000,17.759810,100.000000,80.192835,0
27.000000,6.413469,21.620035,-9.000000,8.000000,20.000000,18.497605,100.000000,78.379965,1
28.000000,5.939163,23.501863,-9.000000,8.000000,20.000000,19.138951,100.000000,76.498137,1
29.000000,6.183012,25.445454,-9.000000,8.000000,20.000000,19.732868,100.000000,74.554546,1
30.000000,5.470747,27.449656,-9.000000,8.000000,20.000000,20.351169,100.000000,72.550344,1
31.000000,5.456994,29.512127,-9.000000,8.000000,20.000000,20.898244,100.000000,70.487873,1
32.000000,4.850499,31.629236,-9.000000,8.000000,20.000000,21.443943,100.000000,68.370764,1
33.000000,4.773840,33.797883,-9.000000,8.000000,20.000000,21.928993,100.000000,66.202117,1
