x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
141.994, 8.0, 25.333, 0.0, 0.0, 163.281, 4.0, 21.812, 0.0, 0.0, 186.002, 8.0, 22.445, 0.0, 0.0, 288.669, 12.0, 21.807, 0.0, 0.0, 0.0, 0, 2
146.217, 8.0, 25.333, 0.0, 0.0, 166.914, 4.0, 21.77, 0.0, 0.0, 189.68, 8.0, 21.445, 0.0, 0.0, 292.295, 12.0, 21.669, 0.0, 0.0, 0.0, 0, 2
150.439, 8.0, 25.333, 0.0, 0.0, 170.54, 4.0, 21.733, 0.0, 0.0, 193.192, 8.0, 20.445, 0.0, 0.0, 295.899, 12.0, 21.545, 0.0, 0.0, 0.0, 0, 2
154.661, 8.0, 25.333, 0.0, 0.0, 174.16, 4.0, 21.698, 0.0, 0.0, 196.517, 8.18, 19.395, 1.398, 0.072, 299.482, 12.0, 21.426, 0.0, 0.0, 0.0, 0, 2
158.883, 8.0, 25.333, 0.0, 0.0, 177.774, 4.0, 21.666, 0.0, 0.0, 199.594, 8.976, 18.017, 3.95, 0.216, 303.046, 12.0, 21.315, 0.0, 0.0, 0.0, 0, 2
163.106, 8.0, 25.333, 0.0, 0.0, 181.381, 4.0, 21.53, 0.0, 0.0, 202.583, 9.113, 17.551, 1.037, 0.059, 306.592, 12.0, 21.216, 0.0, 0.0, 0.0, 0, 2
167.328, 8.0, 25.333, 0.0, 0.0, 184.955, 4.0, 21.305, 0.0, 0.0, 205.464, 8.916, 16.907, -0.63, -0.037, 310.122, 12.0, 21.128, 0.0, 0.0, 0.0, 0, 2
171.55, 8.0, 25.333, 0.0, 0.0, 188.493, 4.0, 21.107, 0.0, 0.0, 208.241, 8.707, 16.356, -1.056, -0.064, 229.63, 10.166, 20.302, 3.924, 0.191, 0.0, 0, 2
175.772, 8.0, 25.333, 0.0, 0.0, 192.0, 4.0, 20.939, 0.0, 0.0, 210.942, 8.53, 15.986, -1.03, -0.064, 233.041, 10.68, 20.489, 3.161, 0.153, 0.0, 0, 2
179.994, 8.0, 25.333, 0.0, 0.0, 195.48, 4.0, 20.795, 0.0, 0.0, 213.592, 8.391, 15.758, -0.865, -0.055, 236.478, 11.065, 20.644, 2.399, 0.116, 0.0, 0, 2
184.217, 8.0, 25.333, 0.0, 0.0, 198.938, 4.0, 20.671, 0.0, 0.0, 216.241, 8.286, 16.103, -0.697, -0.043, 239.933, 11.345, 20.757, 1.757, 0.084, 0.0, 0, 2
