left_present, l_x, l_y, l_vx, l_vy, forward_present, f_x, f_y, f_vx, f_vy, right_present, r_x, r_y, r_vx, r_vy, cur_lane, vx, LA.steer, LA.acc, HA, target_lane
1.0, 0.0, -1.0, 0.331, 0.0, 1.0, 0.093, 0.0, -0.09, 0.053, 1.0, 0.601, 1.0, -0.049, 0.0, 0.0, 0.331, 0.0, 1.745, 0, 0
1.0, 0.188, -1.0, -0.065, -0.051, 1.0, 0.073, 0.0, -0.103, -0.017, 1.0, 0.281, 1.0, -0.068, -0.051, 1.0, 0.334, -0.034, 0.731, 3, 1
1.0, 0.0, -1.0, 0.34, -0.03, 1.0, 0.174, 0.0, -0.075, 0.03, 1.0, 0.053, 1.0, -0.1, 0.044, 0.0, 0.34, 0.009, 0.306, 2, 0
1.0, 0.0, -1.0, 0.361, -0.015, 1.0, 0.157, 0.0, -0.097, 0.015, 1.0, 0.031, 1.0, -0.114, 0.02, 0.0, 0.361, 0.015, 1.874, 0, 0
1.0, 0.0, -1.0, 0.369, -0.005, 1.0, 0.136, 0.0, -0.108, 0.005, 1.0, 0.008, 1.0, -0.118, 0.006, 0.0, 0.369, 0.005, 0.785, 0, 0
1.0, 0.0, -1.0, 0.354, -0.001, 1.0, 0.116, 0.0, -0.094, 0.001, 1.0, -0.014, 1.0, -0.099, 0.002, 0.0, 0.354, 0.002, -1.417, 1, 0
1.0, 0.0, -1.0, 0.33, -0.0, 1.0, 0.1, 0.0, -0.07, 0.0, 1.0, -0.031, 1.0, -0.072, 0.0, 0.0, 0.33, 0.0, -2.339, 1, 0
1.0, 0.0, -1.0, 0.32, -0.0, 1.0, 0.087, 0.0, -0.06, 0.0, 1.0, -0.045, 1.0, -0.073, 0.0, 0.0, 0.32, 0.0, -0.98, 1, 0
1.0, 0.0, -1.0, 0.297, -0.0, 1.0, 0.077, 0.0, -0.038, 0.0, 1.0, 0.154, 1.0, -0.053, -0.014, 0.0, 0.297, 0.0, -2.156, 1, 0
1.0, 0.0, -1.0, 0.288, -0.0, 1.0, 0.07, 0.0, -0.029, 0.0, 1.0, 0.144, 1.0, -0.043, -0.005, 0.0, 0.288, 0.0, -0.903, 1, 0
1.0, 0.066, -1.0, -0.02, -0.05, 1.0, 0.137, 0.0, -0.033, -0.052, 1.0, 0.449, 1.0, -0.069, -0.05, 1.0, 0.28, -0.046, -0.378, 3, 1
1.0, 0.064, -1.0, -0.014, -0.072, 1.0, 0.132, 0.0, -0.026, -0.072, 1.0, 0.437, 1.0, -0.061, -0.072, 1.0, 0.273, -0.081, -0.158, 3, 2
1.0, 0.129, -1.0, -0.023, -0.079, 1.0, 0.426, 0.0, -0.057, -0.079, 1.0, 0.223, 1.0, -0.019, -0.079, 2.0, 0.27, -0.095, -0.066, 3, 3
1.0, 0.412, -1.0, -0.083, -0.032, 1.0, 0.216, 0.0, -0.046, -0.032, 1.0, 0.0, 1.0, 0.298, 0.032, 3.0, 0.298, -0.048, 1.718, 0, 3
1.0, 0.392, -1.0, -0.109, -0.01, 1.0, 0.204, 0.0, -0.073, -0.01, 1.0, 0.0, 1.0, 0.325, 0.01, 3.0, 0.325, -0.015, 2.465, 0, 3
1.0, 0.369, -1.0, -0.119, -0.003, 1.0, 0.188, 0.0, -0.084, -0.003, 1.0, 0.0, 1.0, 0.336, 0.003, 3.0, 0.336, -0.004, 1.033, 0, 3
1.0, 0.343, -1.0, -0.14, -0.001, 1.0, 0.169, 0.0, -0.107, -0.001, 1.0, 0.0, 1.0, 0.359, 0.001, 3.0, 0.359, -0.001, 2.178, 0, 3
1.0, 0.314, -1.0, -0.149, -0.0, 1.0, 0.147, 0.0, -0.116, -0.0, 1.0, 0.0, 1.0, 0.368, 0.0, 3.0, 0.368, -0.0, 0.912, 0, 3
1.0, 0.284, -1.0, -0.152, -0.0, 1.0, 0.123, 0.0, -0.12, -0.0, 1.0, 0.0, 1.0, 0.372, 0.0, 3.0, 0.372, -0.0, 0.382, 0, 3
1.0, 0.002, -1.0, -0.119, 0.052, 1.0, 0.255, 0.0, -0.149, 0.052, 1.0, 0.1, 1.0, -0.118, 0.052, 2.0, 0.37, 0.028, 0.16, 2, 2
1.0, -0.022, -1.0, -0.122, 0.021, 1.0, 0.224, 0.0, -0.152, 0.021, 1.0, 0.076, 1.0, -0.122, 0.021, 2.0, 0.374, 0.02, 0.067, 0, 2
1.0, -0.047, -1.0, -0.123, 0.006, 1.0, 0.194, 0.0, -0.152, 0.006, 1.0, 0.051, 1.0, -0.122, 0.006, 2.0, 0.375, 0.007, 0.028, 0, 2
1.0, 0.296, -1.0, -0.106, 0.002, 1.0, 0.164, 0.0, -0.151, 0.002, 1.0, 0.027, 1.0, -0.122, 0.002, 2.0, 0.375, 0.002, 0.012, 0, 2
1.0, 0.275, -1.0, -0.106, 0.0, 1.0, 0.134, 0.0, -0.15, 0.0, 1.0, 0.003, 1.0, -0.123, 0.0, 2.0, 0.375, 0.0, 0.005, 0, 2
1.0, 0.253, -1.0, -0.106, 0.0, 1.0, 0.104, 0.0, -0.15, 0.0, 1.0, -0.022, 1.0, -0.122, 0.0, 2.0, 0.375, 0.0, 0.002, 0, 2
1.0, 0.222, -1.0, -0.091, 0.052, 1.0, 0.233, 0.0, -0.103, 0.052, 1.0, 0.074, 1.0, -0.146, 0.052, 1.0, 0.371, 0.027, 0.001, 2, 1
1.0, 0.203, -1.0, -0.094, 0.022, 1.0, 0.212, 0.0, -0.105, 0.022, 1.0, 0.045, 1.0, -0.148, 0.022, 1.0, 0.374, 0.02, 0.0, 0, 1
1.0, 0.184, -1.0, -0.094, 0.007, 1.0, 0.191, 0.0, -0.106, 0.007, 1.0, 0.015, 1.0, -0.148, 0.007, 1.0, 0.375, 0.007, 0.0, 0, 1
1.0, 0.166, -1.0, -0.094, 0.002, 1.0, 0.169, 0.0, -0.107, 0.002, 1.0, -0.014, 1.0, -0.148, 0.002, 1.0, 0.375, 0.002, 0.0, 0, 1
1.0, 0.147, -1.0, -0.095, 0.0, 1.0, 0.148, 0.0, -0.108, 0.0, 1.0, -0.044, 1.0, -0.147, 0.0, 1.0, 0.375, 0.0, 0.0, 0, 1
1.0, 0.13, -1.0, -0.077, 0.0, 1.0, 0.128, 0.0, -0.091, 0.0, 1.0, 0.218, 1.0, -0.118, 0.0, 1.0, 0.357, 0.0, -1.745, 1, 1
1.0, 0.0, -1.0, 0.345, -0.051, 1.0, 0.116, 0.0, -0.065, 0.051, 1.0, 0.111, 1.0, -0.08, 0.051, 0.0, 0.345, 0.03, -0.731, 2, 0
1.0, 0.0, -1.0, 0.327, -0.021, 1.0, 0.105, 0.0, -0.047, 0.021, 1.0, 0.097, 1.0, -0.063, 0.021, 0.0, 0.327, 0.024, -2.052, 1, 0
1.0, 0.0, -1.0, 0.301, -0.007, 1.0, 0.098, 0.0, -0.021, 0.007, 1.0, 0.087, 1.0, -0.037, 0.007, 0.0, 0.301, 0.01, -2.605, 1, 0
1.0, 0.0, -1.0, 0.289, -0.002, 1.0, 0.095, 0.0, -0.01, 0.002, 1.0, 0.081, 1.0, -0.027, 0.002, 0.0, 0.289, 0.004, -1.091, 1, 0
1.0, 0.0, -1.0, 0.267, -0.001, 1.0, 0.095, 0.0, 0.013, 0.001, 1.0, 0.078, 1.0, -0.005, 0.001, 0.0, 0.267, 0.001, -2.203, 1, 0
1.0, 0.0, -1.0, 0.257, -0.0, 1.0, 0.099, 0.0, 0.023, 0.0, 1.0, 0.078, 1.0, 0.004, 0.0, 0.0, 0.257, 0.0, -0.923, 1, 0
1.0, 0.0, -1.0, 0.253, -0.0, 1.0, 0.104, 0.0, 0.026, 0.0, 1.0, 0.079, 1.0, 0.008, 0.0, 0.0, 0.253, 0.0, -0.387, 1, 0
1.0, 0.0, -1.0, 0.251, -0.0, 1.0, 0.109, 0.0, 0.028, 0.0, 1.0, 0.081, 1.0, 0.009, 0.0, 0.0, 0.251, 0.0, -0.162, 1, 0
1.0, 0.0, -1.0, 0.251, -0.0, 1.0, 0.115, 0.0, 0.029, 0.0, 1.0, 0.082, 1.0, 0.009, 0.0, 0.0, 0.251, 0.0, -0.068, 1, 0
1.0, 0.0, -1.0, 0.25, -0.0, 1.0, 0.121, 0.0, 0.029, 0.0, 1.0, 0.084, 1.0, 0.008, 0.0, 0.0, 0.25, 0.0, -0.028, 1, 0
1.0, 0.0, -1.0, 0.25, -0.0, 1.0, 0.127, 0.0, 0.029, 0.0, 1.0, 0.086, 1.0, 0.008, 0.0, 0.0, 0.25, 0.0, -0.012, 1, 0
1.0, 0.0, -1.0, 0.25, -0.0, 1.0, 0.132, 0.0, 0.029, 0.0, 1.0, 0.087, 1.0, 0.008, 0.0, 0.0, 0.25, 0.0, -0.005, 1, 0
1.0, 0.0, -1.0, 0.25, -0.0, 1.0, 0.138, 0.0, 0.029, 0.0, 1.0, 0.089, 1.0, 0.007, 0.0, 0.0, 0.25, 0.0, -0.002, 1, 0
