x, y, vx, vy, left_present, l_x, l_y, l_vx, l_vy, forward_present, f_x, f_y, f_vx, f_vy, right_present, r_x, r_y, r_vx, r_vy, LA.steer, LA.acc, target_lane, HA
0.971, 2.0, 0.327, 0.0, 1.0, 0.429, -1.0, -0.059, 0.0, 1.0, 0.944, 0.0, -0.102, 0.053, 1.0, 0.099, 1.0, -0.058, 0.0, 0.0, 11.396, 2, 0
1.0, 2.0, 0.355, 0.0, 1.0, 0.188, -1.0, -0.111, 0.027, 1.0, 0.736, 0.0, -0.143, 0.046, 1.0, 0.084, 1.0, -0.088, 0.0, 0.0, 12.679, 2, 0
1.0, 2.0, 0.367, 0.0, 1.0, 0.164, -1.0, -0.126, 0.01, 1.0, 0.387, 0.0, -0.131, 0.037, 1.0, 0.065, 1.0, -0.102, 0.0, 0.0, 11.122, 2, 0
1.0, 2.0, 0.371, 0.0, 1.0, 0.138, -1.0, -0.129, 0.003, 1.0, 0.361, 0.0, -0.131, 0.015, 1.0, 0.044, 1.0, -0.108, 0.0, 0.0, 10.47, 2, 0
1.0, 2.0, 0.374, 0.0, 1.0, 0.112, -1.0, -0.128, 0.001, 1.0, 0.335, 0.0, -0.13, 0.005, 1.0, 0.022, 1.0, -0.112, 0.0, 0.0, 10.197, 2, 0
1.0, 2.0, 0.374, 0.0, 1.0, 0.087, -1.0, -0.126, 0.0, 1.0, 0.309, 0.0, -0.128, 0.002, 1.0, -0.001, 1.0, -0.113, 0.0, 0.0, 10.083, 2, 0
1.0, 2.0, 0.375, 0.0, 1.0, 0.062, -1.0, -0.124, 0.0, 1.0, 0.284, 0.0, -0.124, 0.001, 1.0, -0.023, 1.0, -0.115, 0.0, 0.0, 10.035, 2, 0
1.0, 2.0, 0.375, 0.0, 1.0, 0.037, -1.0, -0.124, 0.0, 1.0, 0.26, 0.0, -0.117, 0.0, 1.0, -0.047, 1.0, -0.116, 0.0, 0.0, 10.014, 2, 0
1.0, 2.0, 0.375, 0.0, 1.0, 0.012, -1.0, -0.124, 0.0, 1.0, 0.237, 0.0, -0.111, 0.0, 1.0, 0.395, 1.0, -0.118, 0.0, 0.0, 10.006, 2, 0
1.0, 2.0, 0.375, 0.0, 1.0, -0.012, -1.0, -0.124, 0.0, 1.0, 0.215, 0.0, -0.107, 0.0, 1.0, 0.371, 1.0, -0.12, 0.0, 0.0, 10.003, 2, 0
1.0, 2.0, 0.375, 0.0, 1.0, -0.037, -1.0, -0.124, 0.0, 1.0, 0.194, 0.0, -0.103, 0.0, 1.0, 0.347, 1.0, -0.122, 0.0, 0.185, 0.001, 3, 3
0.0, 1.0, 0.371, 0.052, 1.0, 0.174, -1.0, -0.097, -0.052, 1.0, 0.323, 0.0, -0.12, -0.052, 1.0, 0.0, 1.0, 0.371, 0.052, -0.027, 10.0, 3, 0
0.0, 1.0, 0.374, 0.021, 1.0, 0.155, -1.0, -0.098, -0.021, 1.0, 0.299, 0.0, -0.125, -0.021, 1.0, 0.0, 1.0, 0.374, 0.021, -0.02, 10.0, 3, 0
0.0, 1.0, 0.375, 0.007, 1.0, 0.135, -1.0, -0.102, -0.007, 1.0, 0.273, 0.0, -0.127, -0.007, 1.0, 0.0, 1.0, 0.375, 0.007, -0.007, 10.0, 3, 0
0.0, 1.0, 0.375, 0.002, 1.0, 0.114, -1.0, -0.104, -0.002, 1.0, 0.249, 0.0, -0.121, -0.002, 1.0, 0.0, 1.0, 0.375, 0.002, -0.002, 10.0, 3, 0
0.0, 1.0, 0.375, 0.0, 1.0, 0.093, -1.0, -0.106, -0.0, 1.0, 0.225, 0.0, -0.116, -0.0, 1.0, 0.0, 1.0, 0.375, 0.0, -0.0, 10.0, 3, 0
0.0, 1.0, 0.375, 0.0, 1.0, 0.072, -1.0, -0.107, -0.0, 1.0, 0.202, 0.0, -0.111, -0.0, 1.0, 0.0, 1.0, 0.375, 0.0, -0.0, 10.0, 3, 0
0.0, 1.0, 0.375, 0.0, 1.0, 0.05, -1.0, -0.109, -0.0, 1.0, 0.18, 0.0, -0.108, -0.0, 1.0, 0.0, 1.0, 0.375, 0.0, -0.0, 10.0, 3, 0
0.0, 1.0, 0.375, 0.0, 1.0, 0.028, -1.0, -0.11, -0.0, 1.0, 0.159, 0.0, -0.105, -0.0, 1.0, 0.0, 1.0, 0.375, 0.0, -0.0, 10.0, 3, 0
0.0, 1.0, 0.375, 0.0, 1.0, 0.006, -1.0, -0.11, -0.0, 1.0, 0.138, 0.0, -0.103, -0.0, 1.0, 0.0, 1.0, 0.375, 0.0, -0.0, 10.0, 3, 0
0.0, 1.0, 0.375, 0.0, 1.0, -0.016, -1.0, -0.111, -0.0, 1.0, 0.118, 0.0, -0.102, -0.0, 1.0, 0.0, 1.0, 0.375, 0.0, -0.0, -10.0, 3, 1
0.0, 1.0, 0.353, 0.0, 1.0, -0.036, -1.0, -0.09, -0.0, 1.0, 0.1, 0.0, -0.079, -0.0, 1.0, 0.0, 1.0, 0.353, 0.0, -0.0, -12.095, 3, 1
0.0, 1.0, 0.322, -0.0, 1.0, 0.32, -1.0, -0.081, -0.0, 1.0, 0.087, 0.0, -0.047, 0.0, 1.0, 0.0, 1.0, 0.322, -0.0, -0.25, -2.972, 2, 2
1.0, 2.0, 0.305, -0.05, 1.0, 0.265, -1.0, -0.03, 0.05, 1.0, 0.307, 0.0, -0.063, 0.05, 1.0, 0.08, 1.0, -0.029, 0.05, 0.037, 8.755, 2, 0
1.0, 2.0, 0.325, -0.022, 1.0, 0.257, -1.0, -0.05, 0.022, 1.0, 0.292, 0.0, -0.082, 0.022, 1.0, 0.072, 1.0, -0.049, 0.022, 0.027, 11.573, 2, 0
1.0, 2.0, 0.354, -0.007, 1.0, 0.244, -1.0, -0.08, 0.007, 1.0, 0.272, 0.0, -0.111, 0.007, 1.0, 0.059, 1.0, -0.078, 0.007, 0.009, 12.753, 2, 0
1.0, 2.0, 0.366, -0.002, 1.0, 0.227, -1.0, -0.092, 0.002, 1.0, 0.249, 0.0, -0.122, 0.002, 1.0, 0.042, 1.0, -0.09, 0.002, 0.002, 11.153, 2, 0
1.0, 2.0, 0.371, -0.0, 1.0, 0.208, -1.0, -0.097, 0.0, 1.0, 0.224, 0.0, -0.126, 0.0, 1.0, 0.024, 1.0, -0.096, 0.0, 0.001, 10.483, 2, 0
1.0, 2.0, 0.373, -0.0, 1.0, 0.188, -1.0, -0.099, 0.0, 1.0, 0.199, 0.0, -0.128, 0.0, 1.0, 0.004, 1.0, -0.098, 0.0, 0.0, 10.202, 2, 0
1.0, 2.0, 0.374, -0.0, 1.0, 0.168, -1.0, -0.1, 0.0, 1.0, 0.173, 0.0, -0.128, 0.0, 1.0, -0.015, 1.0, -0.099, 0.0, 0.0, 10.085, 2, 0
1.0, 2.0, 0.375, -0.0, 1.0, 0.148, -1.0, -0.1, 0.0, 1.0, 0.148, 0.0, -0.128, 0.0, 1.0, -0.035, 1.0, -0.1, 0.0, 0.0, -9.964, 2, 1
1.0, 2.0, 0.353, -0.0, 1.0, 0.13, -1.0, -0.079, 0.0, 1.0, 0.124, 0.0, -0.106, 0.0, 1.0, 0.4, 1.0, -0.11, 0.0, 0.209, -2.08, 3, 3
0.0, 1.0, 0.34, 0.051, 1.0, 0.105, -1.0, -0.092, -0.051, 1.0, 0.379, 0.0, -0.097, -0.051, 1.0, 0.0, 1.0, 0.34, 0.051, -0.031, 9.129, 3, 0
0.0, 1.0, 0.361, 0.022, 1.0, 0.084, -1.0, -0.113, -0.022, 1.0, 0.358, 0.0, -0.118, -0.022, 1.0, 0.0, 1.0, 0.361, 0.022, -0.022, 11.73, 3, 0
0.0, 1.0, 0.37, 0.007, 1.0, 0.061, -1.0, -0.121, -0.007, 1.0, 0.333, 0.0, -0.125, -0.007, 1.0, 0.0, 1.0, 0.37, 0.007, -0.007, 10.725, 3, 0
0.0, 1.0, 0.373, 0.002, 1.0, 0.036, -1.0, -0.124, -0.002, 1.0, 0.308, 0.0, -0.128, -0.002, 1.0, 0.0, 1.0, 0.373, 0.002, -0.002, 10.304, 3, 0
0.0, 1.0, 0.374, 0.0, 1.0, 0.011, -1.0, -0.125, -0.0, 1.0, 0.282, 0.0, -0.13, -0.0, 1.0, 0.0, 1.0, 0.374, 0.0, -0.0, 10.127, 3, 0
0.0, 1.0, 0.375, 0.0, 1.0, -0.014, -1.0, -0.125, -0.0, 1.0, 0.256, 0.0, -0.13, -0.0, 1.0, 0.0, 1.0, 0.375, 0.0, -0.0, 10.053, 3, 0
0.0, 1.0, 0.375, 0.0, 1.0, -0.039, -1.0, -0.125, -0.0, 1.0, 0.23, 0.0, -0.13, -0.0, 1.0, 0.0, 1.0, 0.375, 0.0, -0.0, 10.022, 3, 0
0.0, 1.0, 0.375, 0.0, 1.0, 0.36, -1.0, -0.099, -0.0, 1.0, 0.204, 0.0, -0.13, -0.0, 1.0, 0.0, 1.0, 0.375, 0.0, -0.0, 10.009, 3, 0
0.0, 1.0, 0.375, 0.0, 1.0, 0.34, -1.0, -0.099, -0.0, 1.0, 0.178, 0.0, -0.13, -0.0, 1.0, 0.0, 1.0, 0.375, 0.0, -0.0, 10.004, 3, 0
0.0, 1.0, 0.375, 0.0, 1.0, 0.32, -1.0, -0.099, -0.0, 1.0, 0.152, 0.0, -0.13, -0.0, 1.0, 0.0, 1.0, 0.375, 0.0, -0.0, 10.002, 3, 0
0.0, 1.0, 0.375, -0.0, 1.0, 0.3, -1.0, -0.099, 0.0, 1.0, 0.126, 0.0, -0.129, 0.0, 1.0, 0.0, 1.0, 0.375, -0.0, -0.185, 0.001, 2, 2
1.0, 2.0, 0.371, -0.052, 1.0, 0.345, -1.0, -0.107, 0.052, 1.0, 0.281, 0.0, -0.096, 0.052, 1.0, 0.101, 1.0, -0.126, 0.052, 0.027, 10.0, 2, 0
1.0, 2.0, 0.374, -0.021, 1.0, 0.323, -1.0, -0.11, 0.021, 1.0, 0.262, 0.0, -0.099, 0.021, 1.0, 0.076, 1.0, -0.129, 0.021, 0.02, 10.0, 2, 0
1.0, 2.0, 0.375, -0.007, 1.0, 0.301, -1.0, -0.111, 0.007, 1.0, 0.242, 0.0, -0.099, 0.007, 1.0, 0.05, 1.0, -0.129, 0.007, 0.007, 10.0, 2, 0
1.0, 2.0, 0.375, -0.002, 1.0, 0.279, -1.0, -0.111, 0.002, 1.0, 0.222, 0.0, -0.099, 0.002, 1.0, 0.024, 1.0, -0.129, 0.002, 0.002, 10.0, 2, 0
1.0, 2.0, 0.375, -0.0, 1.0, 0.256, -1.0, -0.111, 0.0, 1.0, 0.202, 0.0, -0.099, 0.0, 1.0, -0.002, 1.0, -0.129, 0.0, 0.0, 10.0, 2, 0
1.0, 2.0, 0.375, -0.0, 1.0, 0.234, -1.0, -0.111, 0.0, 1.0, 0.182, 0.0, -0.099, 0.0, 1.0, -0.027, 1.0, -0.128, 0.0, 0.0, 10.0, 2, 0
1.0, 2.0, 0.375, -0.0, 1.0, 0.212, -1.0, -0.112, 0.0, 1.0, 0.162, 0.0, -0.099, 0.0, 1.0, 0.275, 1.0, -0.124, 0.0, 0.0, 10.0, 2, 0
1.0, 2.0, 0.375, -0.0, 1.0, 0.19, -1.0, -0.112, 0.0, 1.0, 0.142, 0.0, -0.099, 0.0, 1.0, 0.25, 1.0, -0.124, 0.0, 0.0, 10.0, 2, 0
1.0, 2.0, 0.375, -0.0, 1.0, 0.167, -1.0, -0.112, 0.0, 1.0, 0.123, 0.0, -0.099, 0.0, 1.0, 0.225, 1.0, -0.124, 0.0, 0.185, 0.0, 3, 3
0.0, 1.0, 0.371, 0.052, 1.0, 0.103, -1.0, -0.096, -0.052, 1.0, 0.201, 0.0, -0.12, -0.052, 1.0, 0.0, 1.0, 0.371, 0.052, -0.027, 10.0, 3, 0
