x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
181.992, 3.966, 25.676, -0.07, -0.003, 61.273, -3.966, -2.356, 0.07, 0.0, 17.985, 0.034, -5.306, 0.07, 0.0, 81.898, 4.034, -4.856, 0.07, 0.0, -0.059, -1.341, 2
187.138, 3.562, 25.871, -2.009, -0.077, 60.787, -3.562, -2.601, 2.009, 0.0, 16.824, 0.438, -6.648, 2.009, 0.0, 80.901, 4.438, -5.252, 2.009, 0.0, -0.06, -0.043, 2
192.265, 2.727, 25.729, -3.955, -0.153, 60.31, -2.727, -2.504, 3.955, 0.0, 15.415, 1.741, -7.551, 6.784, 0.154, 79.882, 5.273, -5.318, 3.955, 0.0, -0.028, -2.016, 2
197.371, 1.881, 25.484, -4.226, -0.164, 0.0, -4.0, 25.484, -4.226, -0.164, 59.846, -1.881, -2.301, 4.226, 0.0, 13.811, 3.542, -8.251, 8.543, 0.245, 0.014, 2.593, 0
202.501, 1.193, 25.793, -3.568, -0.137, 0.0, -4.0, 25.793, -3.568, -0.137, 59.35, -1.193, -2.647, 3.568, 0.0, 12.109, 5.01, -8.766, 7.4, 0.221, 0.04, 0.78, 0
207.696, 0.667, 26.417, -2.571, -0.097, 0.0, -4.0, 26.417, -2.571, -0.097, 58.781, -0.667, -3.305, 2.571, 0.0, 36.154, 3.333, -4.607, 2.571, 0.0, -0.005, 4.124, 0
212.997, 0.336, 26.397, -1.857, -0.07, 0.0, -4.0, 26.397, -1.857, -0.07, 58.1, -0.336, -3.317, 1.857, 0.0, 35.206, 3.664, -4.707, 1.857, 0.0, -0.006, 5.226, 0
218.324, 0.115, 27.017, -1.043, -0.039, 0.0, -4.0, 27.017, -1.043, -0.039, 57.387, -0.115, -3.964, 1.043, 0.0, 34.209, 3.885, -5.432, 1.043, 0.0, -0.016, 0.855, 0
223.738, -0.059, 27.231, -1.025, -0.038, 0.0, -4.0, 27.231, -1.025, -0.038, 56.582, 0.059, -4.205, 1.025, 0.0, 33.105, 4.059, -5.74, 1.025, 0.0, 0.032, 1.209, 0
229.205, -0.151, 27.45, -0.402, -0.015, 0.0, -4.0, 27.45, -0.402, -0.015, 55.718, 0.151, -4.447, 0.402, 0.0, 31.93, 4.151, -6.041, 0.402, 0.0, 0.021, 0.488, 0
234.717, -0.158, 27.674, -0.233, -0.008, 0.0, -4.0, 27.674, -0.233, -0.008, 54.806, 0.158, -4.693, 0.233, 0.0, 30.695, 4.158, -6.338, 0.233, 0.0, 0.028, 0.013, 0
240.238, -0.192, 27.656, -0.5, -0.018, 0.0, -4.0, 27.656, -0.5, -0.018, 53.879, 0.192, -4.695, 0.5, 0.0, 29.435, 4.192, -6.383, 0.5, 0.0, -0.023, 0.262, 0
245.78, -0.309, 27.868, -0.568, -0.02, 0.0, -4.0, 27.868, -0.568, -0.02, 52.928, 0.309, -4.925, 0.568, 0.0, 28.144, 4.309, -6.652, 0.568, 0.0, -0.004, 3.67, 0
251.4, -0.419, 28.336, -0.415, -0.015, 0.0, -4.0, 28.336, -0.415, -0.015, 51.895, 0.419, -5.409, 0.415, 0.0, 26.763, 4.419, -7.169, 0.415, 0.0, 0.033, -0.835, 0
257.1, -0.543, 28.599, -0.752, -0.026, 0.0, -4.0, 28.599, -0.752, -0.026, 50.779, 0.543, -5.688, 0.752, 0.0, 25.293, 4.543, -7.477, 0.752, 0.0, 0.016, 2.906, 0
262.856, -0.752, 28.895, -1.319, -0.046, 0.0, -4.0, 28.895, -1.319, -0.046, 49.604, 0.752, -5.998, 1.319, 0.0, 23.759, 4.752, -7.811, 1.319, 0.0, -0.02, -2.912, 0
268.638, -0.908, 28.908, -0.695, -0.024, 0.0, -4.0, 28.908, -0.695, -0.024, 48.401, 0.908, -6.024, 0.695, 0.0, 22.191, 4.908, -7.859, 0.695, 0.0, 0.026, 0.716, 0
274.425, -0.853, 29.027, 0.433, 0.015, 0.0, -4.0, 29.027, 0.433, 0.015, 47.19, 0.853, -6.155, -0.433, 0.0, 20.611, 4.853, -8.008, -0.433, 0.0, 0.024, 0.7, 0
280.182, -0.726, 28.769, 0.342, 0.012, 0.0, -4.0, 28.769, 0.342, 0.012, 46.006, 0.726, -5.907, -0.342, 0.0, 19.056, 4.726, -7.776, -0.342, 0.0, 0.024, 2.535, 0
285.931, -0.558, 28.704, 0.899, 0.031, 0.0, -4.0, 28.704, 0.899, 0.031, 44.829, 0.558, -5.852, -0.899, 0.0, 17.504, 4.558, -7.734, -0.899, 0.0, -0.061, -2.498, 0
291.657, -0.443, 28.559, 0.626, 0.022, 0.0, -4.0, 28.559, 0.626, 0.022, 43.673, 0.443, -5.716, -0.626, 0.0, 15.97, 4.443, -7.609, -0.626, 0.0, 0.036, 1.695, 0
297.359, -0.402, 28.553, 0.319, 0.011, 0.0, -4.0, 28.553, 0.319, 0.011, 42.538, 0.402, -5.719, -0.319, 0.0, 14.456, 4.402, -7.621, -0.319, 0.0, -0.013, 1.392, 0
303.095, -0.226, 28.869, 1.092, 0.038, 0.0, -4.0, 28.869, 1.092, 0.038, 41.368, 0.226, -6.043, -1.092, 0.0, 12.906, 4.226, -7.952, -1.092, 0.0, 0.006, -0.349, 0
308.916, -0.126, 29.354, 0.052, 0.002, 0.0, -4.0, 29.354, 0.052, 0.002, 40.112, 0.126, -6.535, -0.052, 0.0, 11.267, 4.126, -8.45, -0.052, 0.0, 0.006, 1.042, 0
