x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
183.054, 11.979, 25.006, -0.152, -0.006, 287.147, 8.0, 22.97, 0.0, 0.0, 348.189, 12.0, 22.263, 0.0, 0.0, 183.054, 15.979, 25.006, -0.152, -0.006, -0.002, 3.861, 0
186.2, 11.955, 25.488, -0.188, -0.007, 290.017, 8.0, 22.941, 0.0, 0.0, 350.969, 12.0, 22.2, 0.0, 0.0, 186.2, 15.955, 25.488, -0.188, -0.007, 0.002, 8.142, 0
189.428, 11.936, 26.506, -0.156, -0.006, 292.884, 8.0, 22.913, 0.0, 0.0, 353.742, 12.0, 22.141, 0.0, 0.0, 189.428, 15.936, 26.506, -0.156, -0.006, -0.01, 9.973, 0
192.793, 11.893, 27.751, -0.345, -0.012, 295.747, 8.0, 22.887, 0.0, 0.0, 356.507, 12.0, 22.085, 0.0, 0.0, 192.793, 15.893, 27.751, -0.345, -0.012, 0.008, 13.348, 0
196.332, 11.87, 29.421, -0.192, -0.007, 234.129, 6.022, 17.176, 3.897, 0.223, 359.266, 12.0, 22.032, 0.0, 0.0, 196.332, 15.87, 29.421, -0.192, -0.007, 0.009, 7.237, 0
200.047, 11.872, 30.326, 0.01, 0.0, 236.298, 6.43, 17.412, 3.483, 0.197, 362.018, 12.0, 21.982, 0.0, 0.0, 200.047, 15.872, 30.326, 0.01, 0.0, -0.01, 10.667, 0
203.893, 11.843, 31.659, -0.245, -0.008, 238.498, 6.766, 17.65, 2.954, 0.166, 364.763, 12.0, 21.935, 0.0, 0.0, 203.893, 15.843, 31.659, -0.245, -0.008, 0.006, 7.695, 0
207.891, 11.83, 32.621, -0.096, -0.003, 240.724, 7.037, 17.863, 2.426, 0.135, 367.503, 12.0, 21.89, 0.0, 0.0, 207.891, 15.83, 32.621, -0.096, -0.003, 0.014, 10.426, 0
212.023, 11.862, 33.923, 0.286, 0.008, 242.972, 7.252, 18.049, 1.952, 0.108, 370.238, 12.0, 21.847, 0.0, 0.0, 212.023, 15.862, 33.923, 0.286, 0.008, -0.01, 8.563, 0
216.308, 11.865, 34.995, -0.001, -0.0, 245.24, 7.421, 18.208, 1.548, 0.085, 372.967, 12.0, 21.807, 0.0, 0.0, 216.308, 15.865, 34.995, -0.001, -0.0, -0.005, 2.721, 0
220.696, 11.847, 35.335, -0.159, -0.004, 247.525, 7.554, 18.346, 1.216, 0.066, 375.691, 12.0, 21.768, 0.0, 0.0, 220.696, 15.847, 35.335, -0.159, -0.004, 0.01, 7.39, 0
225.152, 11.862, 36.259, 0.157, 0.004, 249.826, 7.657, 18.467, 0.947, 0.051, 378.411, 12.0, 21.731, 0.0, 0.0, 225.152, 15.862, 36.259, 0.157, 0.004, -0.024, 6.487, 0
229.717, 11.792, 37.064, -0.668, -0.018, 252.14, 7.737, 18.575, 0.734, 0.04, 381.126, 12.0, 21.697, 0.0, 0.0, 229.717, 15.792, 37.064, -0.668, -0.018, 0.013, 4.826, 0
234.376, 11.757, 37.672, -0.229, -0.006, 254.467, 7.798, 18.673, 0.567, 0.03, 383.836, 12.0, 21.663, 0.0, 0.0, 234.376, 15.757, 37.672, -0.229, -0.006, 0.01, 5.271, 0
239.112, 11.768, 38.332, 0.143, 0.004, 256.805, 7.846, 18.763, 0.436, 0.023, 386.543, 12.0, 21.632, 0.0, 0.0, 239.112, 15.768, 38.332, 0.143, 0.004, 0.009, 0.993, 0
243.909, 11.821, 38.453, 0.475, 0.012, 259.154, 7.882, 18.846, 0.335, 0.018, 389.246, 12.0, 21.602, 0.0, 0.0, 243.909, 15.821, 38.453, 0.475, 0.012, -0.008, 2.118, 0
