x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
181.815, 3.988, 25.0, -0.075, -0.003, 225.139, 0.0, 23.59, 0.0, 0.0, 244.854, 4.0, 21.126, 0.0, 0.0, 202.727, 8.0, 23.456, 0.0, 0.0, -0.004, -0.0, 2
185.981, 3.96, 24.999, -0.17, -0.007, 229.067, 0.0, 23.526, 0.0, 0.0, 248.313, 4.0, 20.126, 0.0, 0.0, 206.634, 8.0, 23.419, 0.0, 0.0, -0.005, -0.0, 2
190.148, 3.915, 24.998, -0.274, -0.011, 232.984, 0.0, 23.463, 0.0, 0.0, 251.604, 4.0, 19.126, 0.0, 0.0, 210.535, 8.0, 23.295, 0.0, 0.0, -0.005, -0.0, 2
194.314, 3.869, 24.998, -0.274, -0.011, 236.89, 0.0, 23.4, 0.0, 0.0, 254.73, 4.0, 18.126, 0.0, 0.0, 214.393, 8.0, 22.908, 0.0, 0.0, 0.0, -0.0, 2
198.481, 3.823, 24.998, -0.274, -0.011, 240.786, 0.0, 23.338, 0.0, 0.0, 257.688, 4.0, 17.145, 0.0, 0.0, 218.188, 8.0, 22.54, 0.0, 0.0, 0.0, -0.0, 2
202.647, 3.778, 24.998, -0.274, -0.011, 244.672, 0.0, 23.277, 0.0, 0.0, 260.497, 4.0, 16.417, 0.0, 0.0, 221.924, 8.0, 22.225, 0.0, 0.0, 0.0, -0.0, 2
206.814, 3.732, 24.998, -0.274, -0.011, 248.548, 0.0, 23.218, 0.0, 0.0, 263.219, 4.0, 16.381, 0.0, 0.0, 225.611, 8.0, 21.957, 0.0, 0.0, 0.0, -0.0, 2
210.98, 3.686, 24.998, -0.274, -0.011, 252.414, 0.0, 23.162, 0.0, 0.0, 265.958, 4.0, 16.513, 0.0, 0.0, 229.256, 8.0, 21.728, 0.0, 0.0, 0.0, -0.0, 2
215.146, 3.641, 24.998, -0.274, -0.011, 256.271, 0.0, 23.111, 0.0, 0.0, 268.718, 4.0, 16.636, 0.0, 0.0, 232.789, 8.729, 21.203, 3.748, 0.175, 0.0, -0.0, 2
219.313, 3.595, 24.998, -0.274, -0.011, 260.12, 0.0, 23.066, 0.0, 0.0, 271.498, 4.0, 16.751, 0.0, 0.0, 236.283, 9.499, 20.896, 4.404, 0.208, 0.0, -0.0, 2
223.479, 3.549, 24.998, -0.274, -0.011, 263.962, 0.0, 23.026, 0.0, 0.0, 274.297, 4.0, 16.857, 0.0, 0.0, 298.48, 7.823, 20.002, 0.509, 0.025, 0.0, -0.0, 2
227.646, 3.503, 24.998, -0.274, -0.011, 267.797, 0.0, 22.989, 0.0, 0.0, 277.112, 4.0, 16.956, 0.0, 0.0, 301.823, 7.878, 20.146, 0.355, 0.018, 0.0, -0.0, 2
231.812, 3.458, 24.998, -0.274, -0.011, 271.627, 0.0, 22.956, 0.0, 0.0, 279.944, 4.0, 17.048, 0.0, 0.0, 305.19, 7.916, 20.28, 0.246, 0.012, 0.0, -0.0, 2
235.978, 3.412, 24.998, -0.274, -0.011, 275.451, 0.0, 22.927, 0.0, 0.0, 282.791, 4.0, 17.133, 0.0, 0.0, 308.578, 7.942, 20.404, 0.17, 0.008, 0.0, -0.0, 2
240.145, 3.372, 24.999, -0.242, -0.01, 279.27, 0.0, 22.9, 0.0, 0.0, 285.652, 4.0, 17.213, 0.0, 0.0, 311.986, 7.96, 20.52, 0.117, 0.006, 0.002, -0.0, 2
244.311, 3.331, 24.999, -0.242, -0.01, 283.085, 0.0, 22.876, 0.0, 0.0, 288.525, 4.0, 17.287, 0.0, 0.0, 315.413, 7.973, 20.627, 0.08, 0.004, 0.0, -0.0, 2
