x,y,vx,vy,heading,l_x,l_y,l_vx,l_vy,l_heading,f_x,f_y,f_vx,f_vy,f_heading,r_x,r_y,r_vx,r_vy,r_heading,LA.steer,LA.acc,HA
204.99,8.264,20.998,0.289,0.014,266.748,4.55,20.305,3.206,0.157,325.593,8.0,20.472,0.0,0.0,221.08,12.0,17.264,0.0,0.0,0.004,-3.791,2
208.531,8.313,21.665,0.299,0.014,270.065,5.333,19.81,4.358,0.217,328.989,8.0,20.21,0.0,0.0,223.928,12.0,16.827,0.0,0.0,-0.002,3.445,2
212.184,8.363,22.331,0.308,0.014,312.054,4.0,21.558,0.0,0.0,273.36,6.019,19.634,4.054,0.204,226.71,12.0,16.489,0.0,0.0,0.004,2.758,2
215.947,8.415,22.998,0.317,0.014,315.645,4.0,21.523,0.0,0.0,276.657,6.564,19.78,3.342,0.167,229.441,12.0,16.228,0.0,0.0,0.001,3.942,2
219.822,8.468,23.665,0.326,0.014,319.23,4.0,21.491,0.0,0.0,279.975,6.975,19.904,2.572,0.128,232.133,12.0,16.027,0.0,0.0,-0.005,4.461,2
223.808,8.523,24.331,0.335,0.014,322.81,4.0,21.464,0.0,0.0,283.307,7.277,19.984,1.903,0.095,234.794,12.0,15.874,0.0,0.0,-0.002,6.121,2
227.904,8.58,24.998,0.344,0.014,326.386,4.0,21.44,0.0,0.0,286.646,7.494,20.029,1.375,0.069,237.432,12.0,15.761,0.0,0.0,0.001,-0.459,2
232.071,8.637,24.998,0.344,0.014,329.957,4.0,21.352,0.0,0.0,289.988,7.647,20.048,0.979,0.049,240.053,12.0,15.68,0.0,0.0,-0.007,0.398,2
236.237,8.695,24.998,0.344,0.014,333.506,4.0,21.21,0.0,0.0,293.331,7.755,20.053,0.689,0.034,242.663,12.0,15.626,0.0,0.0,-0.0,-0.314,2
240.403,8.752,24.998,0.344,0.014,337.033,4.0,21.085,0.0,0.0,296.674,7.83,20.048,0.482,0.024,245.265,12.0,15.594,0.0,0.0,-0.007,-0.643,2
244.57,8.809,24.998,0.344,0.014,340.541,4.0,20.977,0.0,0.0,300.015,7.882,20.036,0.336,0.017,247.863,12.0,15.582,0.0,0.0,0.007,0.738,2
248.736,8.867,24.998,0.344,0.014,344.031,4.0,20.881,0.0,0.0,303.353,7.919,20.019,0.233,0.012,250.46,12.0,15.585,0.0,0.0,-0.001,-1.231,2
252.902,8.924,24.998,0.344,0.014,347.505,4.0,20.797,0.0,0.0,306.689,7.944,20.0,0.161,0.008,253.058,12.0,15.602,0.0,0.0,-0.002,-0.871,2
