x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
180.182, 0.006, 24.743, 0.04, 0.002, 180.182, -3.994, 24.743, 0.04, 0.002, 262.192, 0.0, 21.347, 0.0, 0.0, 220.397, 4.0, 22.257, 0.0, 0.0, 0.009, 1.499, 0
183.282, 0.031, 24.929, 0.18, 0.007, 183.282, -3.969, 24.929, 0.18, 0.007, 264.829, 0.0, 20.619, 0.0, 0.0, 223.175, 4.0, 22.156, 0.0, 0.0, -0.019, 5.594, 0
186.428, 0.011, 25.629, -0.123, -0.005, 186.428, -3.989, 25.629, -0.123, -0.005, 267.381, 0.0, 20.037, 0.0, 0.0, 225.94, 4.0, 22.059, 0.0, 0.0, -0.008, 9.556, 0
189.681, -0.024, 26.823, -0.268, -0.01, 189.681, -4.024, 26.823, -0.268, -0.01, 269.865, 0.0, 19.577, 0.0, 0.0, 228.694, 4.0, 21.964, 0.0, 0.0, 0.008, 13.734, 0
193.105, -0.038, 28.54, -0.129, -0.005, 193.105, -4.038, 28.54, -0.129, -0.005, 272.296, 0.0, 19.208, 0.0, 0.0, 231.436, 4.0, 21.872, 0.0, 0.0, 0.008, 9.903, 0
196.725, -0.033, 29.779, 0.036, 0.001, 196.725, -4.033, 29.779, 0.036, 0.001, 274.684, 0.0, 18.91, 0.0, 0.0, 234.166, 4.0, 21.782, 0.0, 0.0, -0.006, 9.019, 0
200.494, -0.047, 30.906, -0.113, -0.004, 200.494, -4.047, 30.906, -0.113, -0.004, 277.037, 0.0, 18.669, 0.0, 0.0, 236.885, 4.0, 21.694, 0.0, 0.0, -0.003, 7.246, 0
204.395, -0.07, 31.811, -0.192, -0.006, 204.395, -4.07, 31.811, -0.192, -0.006, 279.362, 0.0, 18.473, 0.0, 0.0, 239.593, 4.0, 21.609, 0.0, 0.0, 0.023, 7.147, 0
208.408, -0.023, 32.703, 0.413, 0.013, 208.408, -4.023, 32.703, 0.413, 0.013, 281.665, 0.0, 18.316, 0.0, 0.0, 242.291, 4.0, 21.53, 0.0, 0.0, -0.016, 10.083, 0
212.549, -0.021, 33.966, -0.011, -0.0, 212.549, -4.021, 33.966, -0.011, -0.0, 283.949, 0.0, 18.191, 0.0, 0.0, 244.979, 4.0, 21.457, 0.0, 0.0, -0.007, 8.437, 0
216.838, -0.045, 35.02, -0.22, -0.006, 216.838, -4.045, 35.02, -0.22, -0.006, 286.218, 0.0, 18.092, 0.0, 0.0, 247.658, 4.0, 21.389, 0.0, 0.0, 0.012, 5.778, 0
221.246, -0.03, 35.742, 0.164, 0.005, 221.246, -4.03, 35.742, 0.164, 0.005, 288.476, 0.0, 18.016, 0.0, 0.0, 250.329, 4.0, 21.327, 0.0, 0.0, -0.012, 5.974, 0
225.745, -0.053, 36.489, -0.228, -0.006, 225.745, -4.053, 36.489, -0.228, -0.006, 290.726, 0.0, 17.958, 0.0, 0.0, 252.993, 4.0, 21.269, 0.0, 0.0, 0.023, 6.044, 0
