x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
186.366, 0.0, 25.0, 0.0, 0.0, 186.366, -4.0, 25.0, 0.0, 0.0, 206.806, 0.0, 22.614, 0.0, 0.0, 226.961, 4.0, 22.361, 0.0, 0.0, 0.013, 3.243, 2
189.491, 0.0, 25.0, 0.0, 0.0, 189.491, -4.0, 25.0, 0.0, 0.0, 209.623, 0.0, 22.392, 0.0, 0.0, 229.755, 4.0, 22.338, 0.0, 0.0, 0.0, 1.879, 2
192.616, 0.0, 25.0, 0.0, 0.0, 192.616, -4.0, 25.0, 0.0, 0.0, 212.413, 0.0, 22.185, 0.0, 0.0, 232.546, 4.0, 22.317, 0.0, 0.0, 0.015, 1.244, 2
195.741, 0.0, 25.0, 0.0, 0.0, 195.741, -4.0, 25.0, 0.0, 0.0, 215.178, 0.0, 21.991, 0.0, 0.0, 235.335, 4.0, 22.297, 0.0, 0.0, 0.01, 1.147, 2
198.866, 0.044, 24.998, 0.313, 0.013, 198.866, -3.956, 24.998, 0.313, 0.013, 217.919, 0.0, 21.81, 0.0, 0.0, 238.121, 4.0, 22.278, 0.0, 0.0, 0.016, -0.921, 2
201.99, 0.128, 24.992, 0.625, 0.025, 201.99, -3.872, 24.992, 0.625, 0.025, 220.638, 0.0, 21.64, 0.0, 0.0, 240.905, 4.0, 22.26, 0.0, 0.0, 0.015, -1.559, 2
205.112, 0.25, 24.982, 0.937, 0.038, 205.112, -3.75, 24.982, 0.937, 0.038, 223.337, 0.0, 21.482, 0.0, 0.0, 243.687, 4.0, 22.243, 0.0, 0.0, 0.026, 0.43, 2
208.233, 0.411, 24.969, 1.25, 0.05, 208.233, -3.589, 24.969, 1.25, 0.05, 226.015, 0.0, 21.334, 0.0, 0.0, 246.467, 4.0, 22.226, 0.0, 0.0, 0.018, -1.905, 2
211.352, 0.612, 24.951, 1.562, 0.063, 211.352, -3.388, 24.951, 1.562, 0.063, 228.676, 0.0, 21.195, 0.0, 0.0, 249.244, 4.0, 22.211, 0.0, 0.0, 0.004, -1.26, 2
214.467, 0.851, 24.93, 1.873, 0.075, 214.467, -3.149, 24.93, 1.873, 0.075, 231.32, 0.0, 21.065, 0.0, 0.0, 252.02, 4.0, 22.196, 0.0, 0.0, 0.033, 2.361, 2
217.58, 1.129, 24.904, 2.185, 0.088, 217.58, -2.871, 24.904, 2.185, 0.088, 233.948, 0.0, 20.943, 0.0, 0.0, 254.794, 4.0, 22.182, 0.0, 0.0, 0.039, -0.456, 2
220.689, 1.447, 24.875, 2.496, 0.1, 220.689, -2.553, 24.875, 2.496, 0.1, 236.561, 0.0, 20.829, 0.0, 0.0, 257.566, 4.0, 22.168, 0.0, 0.0, 0.014, 1.192, 2
223.794, 1.8, 24.844, 2.792, 0.112, 223.794, -2.2, 24.844, 2.792, 0.112, 239.16, 0.0, 20.722, 0.0, 0.0, 260.336, 4.0, 22.156, 0.0, 0.0, 0.038, -1.443, 2
226.899, 2.149, 24.844, 2.792, 0.112, 241.746, 0.0, 20.621, 0.0, 0.0, 263.105, 4.0, 22.144, 0.0, 0.0, 281.886, 8.0, 21.326, 0.0, 0.0, -0.004, -0.021, 2
230.005, 2.498, 24.844, 2.792, 0.112, 244.32, 0.0, 20.527, 0.0, 0.0, 265.873, 4.0, 22.132, 0.0, 0.0, 284.55, 8.0, 21.299, 0.0, 0.0, 0.005, 2.147, 2
233.11, 2.847, 24.844, 2.792, 0.112, 246.882, 0.0, 20.438, 0.0, 0.0, 268.639, 4.0, 22.121, 0.0, 0.0, 287.212, 8.0, 21.274, 0.0, 0.0, -0.006, -1.672, 2
236.215, 3.196, 24.844, 2.792, 0.112, 249.433, 0.0, 20.355, 0.0, 0.0, 271.404, 4.0, 22.111, 0.0, 0.0, 289.87, 8.0, 21.251, 0.0, 0.0, -0.007, -0.613, 2
239.321, 3.545, 24.844, 2.792, 0.112, 251.974, 0.0, 20.278, 0.0, 0.0, 274.167, 4.0, 22.101, 0.0, 0.0, 292.525, 8.0, 21.229, 0.0, 0.0, -0.007, -0.014, 2
