x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
33.593, 4.029, 17.943, 0.122, 0.007, 84.307, -4.029, 0.857, -0.122, 0.0, 100, 0, 0, 0, 0, 66.457, 10.471, -17.343, -0.122, 0.0, -0.048, -0.486, 0
37.177, 4.014, 17.947, -0.007, -0.0, 84.383, -4.014, -0.347, 0.007, 0.0, 100, 0, 0, 0, 0, 63.043, 10.486, -16.747, 0.007, 0.0, -0.018, 0.617, 0
40.78, 4.057, 17.976, 0.183, 0.01, 84.2, -4.057, -1.576, -0.183, 0.0, 100, 0, 0, 0, 0, 59.73, 10.443, -16.176, -0.183, 0.0, 0.014, -0.588, 0
44.385, 4.119, 18.015, 0.287, 0.016, 83.775, -4.119, -2.815, -0.287, 0.0, 100, 0, 0, 0, 0, 56.535, 10.381, -15.615, -0.287, 0.0, -0.072, 0.697, 0
47.983, 4.183, 17.956, 0.366, 0.02, 83.117, -4.183, -3.956, -0.366, 0.0, 94.596, -1.512, -1.255, 2.745, 0.184, 53.467, 10.317, -14.956, -0.366, 0.0, -0.002, -1.394, 0
51.587, 4.278, 18.012, 0.387, 0.021, 82.213, -4.278, -4.955, -0.387, 0.0, 94.387, -1.181, -0.898, 1.905, 0.133, 50.512, 10.222, -14.414, -0.387, 0.0, -0.017, 1.393, 0
55.18, 4.313, 18.043, 0.135, 0.007, 81.26, -4.313, -4.655, -0.135, 0.0, 94.257, -0.919, -0.592, 1.476, 0.092, 47.689, 10.187, -13.848, -0.135, 0.0, 0.013, 0.145, 0
58.788, 4.312, 17.957, 0.014, 0.001, 80.355, -4.312, -4.26, -0.014, 0.0, 94.168, -0.716, -0.229, 1.088, 0.062, 44.97, 10.188, -13.167, -0.014, 0.0, 0.026, 0.585, 0
62.368, 4.33, 17.848, 0.125, 0.007, 79.539, -4.33, -3.859, -0.125, 0.0, 94.156, -0.597, 0.119, 0.617, 0.041, 42.397, 10.17, -12.465, -0.125, 0.0, -0.087, -0.336, 0
65.944, 4.34, 17.86, 0.092, 0.005, 78.783, -4.34, -3.598, -0.092, 0.0, 94.192, -0.516, 0.316, 0.403, 0.027, 39.946, 10.16, -11.889, -0.092, 0.0, -0.023, 0.835, 0
69.508, 4.386, 17.813, 0.222, 0.012, 78.094, -4.386, -3.296, -0.222, 0.0, 94.28, -0.502, 0.55, 0.105, 0.018, 37.626, 10.114, -11.26, -0.222, 0.0, -0.076, 1.502, 0
73.062, 4.417, 17.773, 0.165, 0.009, 77.463, -4.417, -3.017, -0.165, 0.0, 94.413, -0.493, 0.758, 0.051, 0.012, 35.43, 10.083, -10.645, -0.165, 0.0, -0.036, -0.185, 0
76.634, 4.43, 17.923, 0.032, 0.002, 76.861, -4.43, -2.943, -0.032, 0.0, 94.56, -0.48, 0.76, 0.11, 0.008, 33.331, 10.07, -10.23, -0.032, 0.0, -0.02, -0.186, 0
80.226, 4.395, 17.973, -0.192, -0.011, 76.283, -4.395, -2.777, 0.192, 0.0, 94.716, -0.427, 0.847, 0.285, 0.005, 31.324, 10.105, -9.727, 0.192, 0.0, -0.02, 0.182, 0
83.823, 4.38, 17.983, -0.112, -0.006, 75.743, -4.38, -2.576, 0.112, 0.0, 94.894, -0.401, 0.962, 0.172, 0.003, 29.421, 10.12, -9.198, 0.112, 0.0, 0.011, 1.77, 0
