x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
145.449, -0.009, 25.588, -0.063, -0.002, 145.449, -4.009, 25.588, -0.063, -0.002, 297.636, 0.0, 20.919, 0.0, 0.0, 213.043, 4.0, 23.123, 0.0, 0.0, 0.069, 0.251, 3
148.645, 0.141, 25.597, 1.066, 0.042, 148.645, -3.859, 25.597, 1.066, 0.042, 300.22, 0.0, 20.169, 0.0, 0.0, 215.902, 4.0, 22.373, 0.0, 0.0, 0.102, -0.042, 3
151.826, 0.506, 25.468, 2.73, 0.107, 151.826, -3.494, 25.468, 2.73, 0.107, 302.71, 0.0, 19.419, 0.0, 0.0, 218.668, 4.0, 21.623, 0.0, 0.0, 0.044, -0.1, 3
154.996, 0.946, 25.369, 3.443, 0.135, 154.996, -3.054, 25.369, 3.443, 0.135, 305.106, 0.0, 18.669, 0.0, 0.0, 221.324, 4.182, 20.847, 1.035, 0.05, 0.022, -0.636, 3
158.157, 1.425, 25.241, 3.783, 0.149, 158.157, -2.575, 25.241, 3.783, 0.149, 307.408, 0.0, 17.919, 0.0, 0.0, 223.902, 4.196, 20.12, 0.338, 0.017, -0.0, -0.537, 3
161.31, 1.897, 25.175, 3.766, 0.148, 161.31, -2.103, 25.175, 3.766, 0.148, 309.617, 0.0, 17.192, 0.0, 0.0, 226.386, 4.181, 19.373, 0.005, 0.0, 0.003, -1.098, 3
164.45, 2.372, 25.033, 3.787, 0.15, 311.74, 0.0, 16.589, 0.0, 0.0, 228.776, 4.155, 18.623, -0.138, -0.007, 263.046, 9.699, 21.295, -3.767, -0.175, 0.005, -0.154, 3
167.577, 2.856, 25.003, 3.859, 0.153, 313.792, 0.0, 16.09, 0.0, 0.0, 231.072, 4.128, 17.872, -0.184, -0.01, 265.722, 9.321, 21.385, -3.169, -0.147, -0.002, -0.608, 3
170.7, 3.333, 24.934, 3.81, 0.152, 315.785, 0.0, 15.674, 0.0, 0.0, 233.275, 4.104, 17.122, -0.184, -0.011, 268.407, 9.018, 21.458, -2.58, -0.12, -0.007, -0.095, 3
173.818, 3.794, 24.938, 3.701, 0.147, 317.729, 0.0, 15.325, 0.0, 0.0, 235.384, 4.083, 16.372, -0.165, -0.01, 271.098, 8.779, 21.509, -2.054, -0.095, 0.002, -0.167, 3
176.934, 4.261, 24.912, 3.73, 0.149, 319.632, 0.0, 15.038, 0.0, 0.0, 237.399, 4.066, 15.622, -0.14, -0.009, 273.792, 8.593, 21.542, -1.61, -0.075, -0.01, -0.548, 3
180.049, 4.704, 24.868, 3.561, 0.142, 321.502, 0.0, 14.821, 0.0, 0.0, 239.276, 4.29, 14.836, 1.297, 0.087, 276.488, 8.45, 21.562, -1.248, -0.058, 0.011, 0.28, 3
183.155, 5.174, 24.877, 3.741, 0.149, 323.348, 0.0, 14.663, 0.0, 0.0, 240.987, 4.954, 13.854, 3.483, 0.246, 279.186, 8.34, 21.572, -0.959, -0.044, -0.003, -1.01, 3
186.26, 5.635, 24.759, 3.677, 0.147, 325.176, 0.0, 14.552, 0.0, 0.0, 242.65, 5.532, 13.09, 3.959, 0.294, 281.883, 8.256, 21.578, -0.733, -0.034, 0.001, -0.822, 3
189.35, 6.097, 24.654, 3.682, 0.148, 262.836, 2.613, 16.288, -4.341, -0.26, 244.265, 6.012, 12.561, 3.743, 0.29, 201.044, 12.0, 22.034, 0.0, 0.0, -0.073, 3.461, 0
192.47, 6.398, 25.228, 2.589, 0.102, 264.871, 2.098, 16.156, -4.139, -0.251, 245.867, 6.402, 12.917, 3.454, 0.261, 203.799, 12.0, 22.058, 0.0, 0.0, -0.048, 7.053, 0
195.669, 6.616, 26.174, 1.878, 0.072, 301.164, 4.0, 16.719, 0.0, 0.0, 247.519, 6.719, 13.299, 3.0, 0.222, 206.557, 12.0, 22.079, 0.0, 0.0, -0.023, 10.497, 0
198.999, 6.798, 27.511, 1.542, 0.056, 303.252, 4.0, 16.695, 0.0, 0.0, 249.215, 6.977, 13.663, 2.519, 0.182, 209.318, 12.0, 22.1, 0.0, 0.0, -0.021, 15.48, 0
202.521, 6.942, 29.464, 1.219, 0.041, 305.339, 4.0, 16.682, 0.0, 0.0, 250.949, 7.185, 13.999, 2.073, 0.147, 212.081, 12.0, 22.118, 0.0, 0.0, -0.006, 15.045, 0
206.282, 7.081, 31.348, 1.155, 0.037, 307.424, 4.0, 16.68, 0.0, 0.0, 252.721, 7.353, 14.307, 1.682, 0.117, 214.847, 12.0, 22.136, 0.0, 0.0, -0.004, 13.597, 0
210.272, 7.216, 33.05, 1.118, 0.034, 309.509, 4.0, 16.686, 0.0, 0.0, 254.527, 7.488, 14.592, 1.353, 0.092, 217.614, 12.0, 22.151, 0.0, 0.0, -0.015, 12.189, 0
214.468, 7.31, 34.585, 0.746, 0.022, 311.595, 4.0, 16.701, 0.0, 0.0, 256.366, 7.595, 14.86, 1.08, 0.073, 220.384, 12.0, 22.166, 0.0, 0.0, 0.006, 10.415, 0
218.845, 7.424, 35.882, 0.951, 0.027, 313.684, 4.0, 16.722, 0.0, 0.0, 258.237, 7.681, 15.115, 0.859, 0.057, 223.155, 12.0, 22.18, 0.0, 0.0, -0.009, 8.974, 0
223.378, 7.512, 37.01, 0.686, 0.019, 315.775, 4.0, 16.75, 0.0, 0.0, 260.137, 7.749, 15.357, 0.68, 0.044, 225.928, 12.0, 22.192, 0.0, 0.0, 0.006, 2.772, 1
228.018, 7.622, 37.352, 0.91, 0.024, 317.87, 4.0, 16.782, 0.0, 0.0, 262.068, 7.804, 15.591, 0.536, 0.034, 228.703, 12.0, 22.204, 0.0, 0.0, -0.008, -2.796, 1
232.673, 7.705, 37.008, 0.621, 0.017, 319.969, 4.0, 16.819, 0.0, 0.0, 264.027, 7.846, 15.816, 0.422, 0.027, 231.479, 12.0, 22.214, 0.0, 0.0, -0.001, -8.959, 1
237.252, 7.777, 35.889, 0.564, 0.016, 322.074, 4.0, 16.86, 0.0, 0.0, 266.013, 7.88, 16.034, 0.331, 0.021, 234.256, 12.0, 22.224, 0.0, 0.0, -0.008, -14.794, 1
241.662, 7.817, 34.043, 0.285, 0.008, 324.183, 4.0, 16.904, 0.0, 0.0, 268.026, 7.906, 16.245, 0.259, 0.016, 237.034, 12.0, 22.233, 0.0, 0.0, 0.002, -18.383, 1
245.821, 7.859, 31.745, 0.319, 0.01, 326.298, 4.0, 16.952, 0.0, 0.0, 270.066, 7.927, 16.449, 0.202, 0.012, 239.814, 12.0, 22.241, 0.0, 0.0, -0.01, -15.37, 1
249.71, 7.867, 29.825, 0.057, 0.002, 328.419, 4.0, 17.001, 0.0, 0.0, 272.13, 7.943, 16.646, 0.158, 0.009, 242.594, 12.0, 22.249, 0.0, 0.0, 0.013, -12.616, 1
253.372, 7.908, 28.246, 0.314, 0.011, 330.546, 4.0, 17.053, 0.0, 0.0, 274.219, 7.956, 16.837, 0.123, 0.007, 245.376, 12.0, 22.256, 0.0, 0.0, -0.004, -11.716, 1
256.842, 7.937, 26.783, 0.231, 0.009, 332.68, 4.0, 17.106, 0.0, 0.0, 276.331, 7.966, 17.022, 0.095, 0.006, 248.158, 12.0, 22.262, 0.0, 0.0, -0.009, -9.202, 1
