x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
146.029, 0.004, 24.675, 0.029, 0.001, 146.029, -3.996, 24.675, 0.029, 0.001, 191.879, 0.0, 22.19, 0.0, 0.0, 206.89, 4.0, 22.17, 0.0, 0.0, 0.0734853625662955, -2.4074949333551388, 3.0
149.102, 0.183, 24.497, 1.246, 0.051, 149.102, -3.817, 24.497, 1.246, 0.051, 194.652, 0.0, 22.17, 0.0, 0.0, 209.659, 4.0, 22.116, 0.0, 0.0, 0.07486304334234478, -2.6441747111510288, 3.0
152.145, 0.543, 24.332, 2.665, 0.109, 152.145, -3.457, 24.332, 2.665, 0.109, 197.422, 0.0, 22.15, 0.0, 0.0, 212.421, 4.0, 22.065, 0.0, 0.0, 0.023533177160626164, 3.832827788782377, 3.0
155.173, 0.962, 24.207, 3.259, 0.134, 155.173, -3.038, 24.207, 3.259, 0.134, 200.19, 0.0, 22.129, 0.0, 0.0, 215.177, 4.0, 22.018, 0.0, 0.0, 5.880120025976085e-05, 2.948057716481776, 3.0
158.19, 1.399, 24.057, 3.45, 0.142, 158.19, -2.601, 24.057, 3.45, 0.142, 202.955, 0.0, 22.107, 0.0, 0.0, 217.928, 4.0, 21.974, 0.0, 0.0, 0.022933199622199342, 2.6987880401166224, 3.0
161.189, 1.871, 23.975, 3.726, 0.154, 161.189, -2.129, 23.975, 3.726, 0.154, 205.718, 0.0, 22.085, 0.0, 0.0, 220.673, 4.0, 21.931, 0.0, 0.0, 0.02703584433092202, 0.7986790629227588, 3.0
164.181, 2.345, 23.888, 3.775, 0.157, 208.477, 0.0, 22.064, 0.0, 0.0, 223.412, 4.0, 21.889, 0.0, 0.0, 240.401, 8.163, 18.294, -0.105, -0.006, 0.002150957800389586, -3.388336565038447, 3.0
167.161, 2.819, 23.75, 3.779, 0.158, 211.234, 0.0, 22.045, 0.0, 0.0, 226.147, 4.0, 21.849, 0.0, 0.0, 242.656, 8.135, 17.544, -0.174, -0.01, -0.03658962373528804, -2.9888817646770653, 3.0
170.128, 3.26, 23.622, 3.544, 0.149, 213.989, 0.0, 22.031, 0.0, 0.0, 228.876, 4.0, 21.809, 0.0, 0.0, 244.818, 8.11, 16.802, -0.185, -0.011, 0.0038242729869434745, -1.3777789625010346, 3.0
173.077, 3.717, 23.586, 3.638, 0.153, 216.743, 0.0, 22.025, 0.0, 0.0, 231.601, 4.0, 21.772, 0.0, 0.0, 246.892, 8.088, 16.224, -0.172, -0.011, 0.01781701137866571, -0.5106058633682546, 3.0
176.021, 4.17, 23.479, 3.61, 0.153, 219.496, 0.0, 22.019, 0.0, 0.0, 234.321, 4.0, 21.736, 0.0, 0.0, 248.902, 8.071, 15.807, -0.15, -0.01, 0.009410739914132007, 2.1534538373545593, 3.0
178.958, 4.615, 23.494, 3.572, 0.151, 222.248, 0.0, 22.013, 0.0, 0.0, 237.036, 4.0, 21.701, 0.0, 0.0, 250.864, 8.056, 15.504, -0.127, -0.008, -0.0389766924324082, 0.19976695037720227, 3.0
181.893, 5.047, 23.42, 3.464, 0.147, 224.999, 0.0, 22.008, 0.0, 0.0, 239.748, 4.0, 21.667, 0.0, 0.0, 252.792, 8.044, 15.284, -0.105, -0.007, -0.030952760581255498, 0.22934637239154304, 3.0
184.82, 5.479, 23.408, 3.457, 0.147, 227.75, 0.0, 22.003, 0.0, 0.0, 242.455, 4.0, 21.636, 0.0, 0.0, 254.695, 8.035, 15.127, -0.085, -0.006, 0.0034901804192575365, 1.1096899740145554, 3.0
187.737, 5.93, 23.249, 3.567, 0.152, 230.5, 0.0, 21.997, 0.0, 0.0, 245.158, 4.0, 21.604, 0.0, 0.0, 256.581, 8.028, 15.018, -0.069, -0.005, 0.007341643933275623, 1.182399006549545, 3.0
190.635, 6.39, 23.091, 3.648, 0.157, 247.857, 4.0, 21.572, 0.0, 0.0, 258.456, 8.022, 14.949, -0.055, -0.004, 298.346, 12.209, 22.157, -0.602, -0.027, 0.00710375681634628, -1.8142719161666108, 3.0
193.52, 6.818, 22.987, 3.446, 0.149, 250.552, 4.0, 21.54, 0.0, 0.0, 260.322, 8.017, 14.91, -0.044, -0.003, 301.114, 12.157, 22.111, -0.456, -0.021, 0.009085803949362734, -1.3727029284516443, 3.0
196.388, 7.249, 22.869, 3.431, 0.149, 253.243, 4.0, 21.51, 0.0, 0.0, 262.185, 8.014, 14.897, -0.035, -0.002, 303.877, 12.117, 22.125, -0.344, -0.016, -0.004394911045454556, -2.952837980690847, 3.0
199.244, 7.675, 22.781, 3.402, 0.148, 255.931, 4.0, 21.483, 0.0, 0.0, 264.048, 8.011, 14.904, -0.028, -0.002, 306.644, 12.088, 22.163, -0.259, -0.012, 0.013571711247427523, 0.8789953961826622, 3.0
