x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
110.923, -0.096, 25.849, -0.698, -0.027, 110.923, -4.096, 25.849, -0.698, -0.027, 124.102, 0.0, 23.076, 0.0, 0.0, 300.395, 4.0, 21.396, 0.0, 0.0, 0.05953659996333069, -0.16051343826019826, 3.0
114.163, -0.098, 26.043, -0.08, -0.003, 114.163, -4.098, 26.043, -0.08, -0.003, 126.981, 0.0, 22.95, 0.0, 0.0, 303.038, 4.0, 20.646, 0.0, 0.0, 0.13283010189902628, -2.1856767267637505, 3.0
117.405, 0.17, 25.934, 1.937, 0.075, 117.405, -3.83, 25.934, 1.937, 0.075, 129.798, 0.514, 22.601, 3.224, 0.142, 305.569, 4.176, 19.853, 1.397, 0.07, 0.07755696268114008, 1.8534653502877676, 3.0
120.625, 0.592, 25.74, 3.235, 0.125, 120.625, -3.408, 25.74, 3.235, 0.125, 132.586, 1.099, 22.296, 4.327, 0.192, 307.958, 4.765, 18.92, 3.663, 0.191, 0.008148649378162339, 2.7256667240991255, 3.0
123.832, 1.041, 25.6, 3.549, 0.138, 123.832, -2.959, 25.6, 3.549, 0.138, 135.364, 1.657, 22.171, 4.381, 0.195, 310.272, 5.349, 18.252, 4.251, 0.229, -0.006601839005502808, 4.363955578693959, 3.0
127.024, 1.522, 25.479, 3.811, 0.148, 127.024, -2.478, 25.479, 3.811, 0.148, 212.472, 0.719, 21.76, 3.752, 0.171, 138.142, 2.146, 22.148, 3.964, 0.177, -0.13472035387083392, 1.564237971241323, 0.0
130.241, 1.865, 25.985, 2.872, 0.11, 130.241, -2.135, 25.985, 2.872, 0.11, 215.163, 1.303, 21.495, 4.407, 0.202, 140.925, 2.554, 22.214, 3.383, 0.151, -0.12359007878360541, 5.809510871658036, 0.0
133.546, 1.898, 27.049, 0.499, 0.018, 133.546, -2.102, 27.049, 0.499, 0.018, 217.848, 1.838, 21.392, 4.253, 0.196, 143.71, 2.884, 22.204, 2.772, 0.124, -0.06633093805534881, 10.547283090079022, 0.0
136.983, 1.744, 28.454, -1.176, -0.041, 136.983, -2.256, 28.454, -1.176, -0.041, 283.277, 0.0, 20.808, 0.0, 0.0, 146.491, 3.146, 22.177, 2.216, 0.1, -0.005592805215972824, 16.491209419455068, 0.0
140.617, 1.553, 30.337, -1.586, -0.052, 140.617, -2.447, 30.337, -1.586, -0.052, 285.872, 0.0, 20.687, 0.0, 0.0, 149.266, 3.35, 22.136, 1.742, 0.079, -0.04133535567671463, 13.292010883873356, 0.0
