x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
143.132, 0.012, 24.786, 0.082, 0.003, 143.132, -3.988, 24.786, 0.082, 0.003, 195.163, 0.0, 22.685, 0.0, 0.0, 243.132, 4.0, 24.786, 0.082, 0.003, 0.06023569600264633, -0.3160608694029818, 3.0
146.223, 0.18, 24.705, 1.192, 0.048, 146.223, -3.82, 24.705, 1.192, 0.048, 197.968, 0.0, 21.978, 0.0, 0.0, 246.223, 4.0, 24.705, 1.192, 0.048, 0.10862400472796331, -1.3094853804499447, 3.0
149.286, 0.556, 24.436, 2.77, 0.113, 149.286, -3.444, 24.436, 2.77, 0.113, 200.689, 0.0, 21.388, 0.0, 0.0, 249.286, 4.0, 24.436, 2.77, 0.113, 0.049680777607008515, 0.7847392162065044, 3.0
152.329, 0.993, 24.36, 3.399, 0.139, 152.329, -3.007, 24.36, 3.399, 0.139, 203.341, 0.0, 20.89, 0.0, 0.0, 252.329, 4.0, 24.36, 3.399, 0.139, 0.02135143269712319, -1.4777325638401146, 3.0
155.365, 1.458, 24.261, 3.676, 0.15, 155.365, -2.542, 24.261, 3.676, 0.15, 205.934, 0.0, 20.466, 0.0, 0.0, 255.365, 4.0, 24.261, 3.676, 0.15, -0.007467012927919032, -0.745618935181068, 3.0
158.394, 1.913, 24.168, 3.631, 0.149, 158.394, -2.087, 24.168, 3.631, 0.149, 208.477, 0.0, 20.104, 0.0, 0.0, 258.395, 4.0, 24.168, 3.631, 0.149, 0.009698799003513689, -0.8390846079755752, 3.0
161.415, 2.363, 24.143, 3.601, 0.148, 210.976, 0.0, 19.792, 0.0, 0.0, 261.415, 4.0, 24.143, 3.601, 0.148, 294.833, 6.811, 17.471, -4.17, -0.234, 0.021175425576117034, -1.5519836582424462, 3.0
164.425, 2.83, 24.011, 3.708, 0.153, 213.439, 0.0, 19.523, 0.0, 0.0, 264.425, 4.0, 24.011, 3.708, 0.153, 296.996, 6.27, 17.102, -4.182, -0.24, -0.021865421666534407, 0.2720702566389571, 3.0
167.427, 3.284, 23.996, 3.637, 0.15, 215.869, 0.0, 19.29, 0.0, 0.0, 299.135, 5.811, 17.057, -3.81, -0.22, 321.492, 8.0, 22.714, 0.0, 0.0, 0.011988295467599663, -2.124147678956051, 3.0
170.421, 3.748, 23.896, 3.694, 0.153, 218.272, 0.0, 19.088, 0.0, 0.0, 301.294, 5.43, 17.348, -3.314, -0.189, 324.327, 8.0, 22.602, 0.0, 0.0, -0.013130226726269682, -0.5664797145786508, 3.0
