x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
180.266, 0.029, 24.911, 0.286, 0.011, 180.266, -3.971, 24.911, 0.286, 0.011, 199.622, 0.0, 21.704, 0.0, 0.0, 223.016, 4.0, 22.648, 0.0, 0.0, 0.052, -0.504, 0
182.341, 0.067, 24.898, 0.381, 0.015, 182.341, -3.933, 24.898, 0.381, 0.015, 201.43, 0.0, 21.666, 0.0, 0.0, 224.893, 4.0, 22.148, 0.0, 0.0, -0.026, 2.219, 0
184.422, 0.083, 25.227, 0.269, 0.011, 184.422, -3.917, 25.227, 0.269, 0.011, 203.234, 0.0, 21.629, 0.0, 0.0, 226.728, 4.0, 21.648, 0.0, 0.0, -0.003, 4.643, 0
186.532, 0.087, 25.595, 0.116, 0.005, 186.532, -3.913, 25.595, 0.116, 0.005, 205.036, 0.0, 21.594, 0.0, 0.0, 228.522, 4.0, 21.164, 0.0, 0.0, -0.012, 4.187, 0
188.673, 0.087, 25.91, 0.054, 0.002, 188.673, -3.913, 25.91, 0.054, 0.002, 206.835, 0.0, 21.559, 0.0, 0.0, 230.277, 4.0, 20.753, 0.0, 0.0, 0.002, 3.277, 0
190.838, 0.086, 26.239, 0.003, 0.0, 190.838, -3.914, 26.239, 0.003, 0.0, 208.631, 0.0, 21.526, 0.0, 0.0, 231.999, 4.0, 20.405, 0.0, 0.0, -0.003, 4.491, 0
193.031, 0.075, 26.482, -0.088, -0.003, 193.031, -3.925, 26.482, -0.088, -0.003, 210.424, 0.0, 21.495, 0.0, 0.0, 233.693, 4.0, 20.109, 0.0, 0.0, -0.004, 2.141, 0
195.238, 0.067, 26.504, -0.105, -0.004, 195.238, -3.933, 26.504, -0.105, -0.004, 212.214, 0.0, 21.464, 0.0, 0.0, 235.363, 4.0, 19.855, 0.0, 0.0, -0.01, 0.083, 0
197.449, 0.048, 26.575, -0.168, -0.006, 197.449, -3.952, 26.575, -0.168, -0.006, 214.002, 0.0, 21.434, 0.0, 0.0, 237.013, 4.0, 19.636, 0.0, 0.0, 0.041, -0.495, 3
199.662, 0.105, 26.558, 0.459, 0.017, 199.662, -3.895, 26.558, 0.459, 0.017, 215.788, 0.0, 21.405, 0.0, 0.0, 238.645, 4.0, 19.448, 0.0, 0.0, 0.09, -0.892, 3
201.867, 0.285, 26.547, 1.703, 0.064, 201.867, -3.715, 26.547, 1.703, 0.064, 217.571, 0.0, 21.377, 0.0, 0.0, 240.241, 4.183, 19.233, 1.411, 0.073, 0.108, 1.566, 3
204.07, 0.543, 26.571, 2.702, 0.101, 204.07, -3.457, 26.571, 2.702, 0.101, 219.352, 0.0, 21.35, 0.0, 0.0, 241.796, 4.578, 18.867, 3.199, 0.168, 0.074, 1.826, 3
206.276, 0.831, 26.423, 3.226, 0.121, 206.276, -3.169, 26.423, 3.226, 0.121, 221.131, 0.0, 21.324, 0.0, 0.0, 243.336, 4.98, 18.561, 4.046, 0.215, 0.036, -1.514, 3
208.473, 1.137, 26.308, 3.551, 0.134, 208.473, -2.863, 26.308, 3.551, 0.134, 222.907, 0.0, 21.298, 0.0, 0.0, 244.868, 5.365, 18.367, 4.322, 0.231, 0.035, -1.83, 3
210.659, 1.459, 26.252, 3.781, 0.143, 210.659, -2.541, 26.252, 3.781, 0.143, 224.681, 0.0, 21.273, 0.0, 0.0, 246.397, 5.721, 18.265, 4.261, 0.229, 0.02, 0.832, 3
212.845, 1.785, 26.192, 3.845, 0.146, 212.845, -2.215, 26.192, 3.845, 0.146, 226.454, 0.0, 21.249, 0.0, 0.0, 276.521, 4.0, 23.504, 0.0, 0.0, -0.004, -0.944, 3
215.03, 2.108, 26.197, 3.845, 0.146, 228.224, 0.0, 21.225, 0.0, 0.0, 278.479, 4.0, 23.482, 0.0, 0.0, 249.453, 6.325, 18.264, 3.679, 0.199, -0.008, -1.23, 3
217.214, 2.434, 26.307, 3.939, 0.149, 229.992, 0.0, 21.203, 0.0, 0.0, 280.436, 4.0, 23.462, 0.0, 0.0, 250.985, 6.573, 18.316, 3.301, 0.178, 0.022, 1.467, 3
219.407, 2.749, 26.281, 3.84, 0.145, 231.759, 0.0, 21.18, 0.0, 0.0, 282.39, 4.0, 23.442, 0.0, 0.0, 252.521, 6.789, 18.369, 2.917, 0.157, 0.001, -0.171, 3
221.596, 3.074, 26.247, 3.878, 0.147, 233.523, 0.0, 21.159, 0.0, 0.0, 284.343, 4.0, 23.423, 0.0, 0.0, 254.06, 6.975, 18.42, 2.549, 0.137, 0.003, 0.105, 0
223.792, 3.343, 26.37, 3.367, 0.127, 235.286, 0.0, 21.138, 0.0, 0.0, 286.295, 4.0, 23.405, 0.0, 0.0, 255.601, 7.134, 18.464, 2.207, 0.119, -0.088, -0.161, 0
