x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
181.928, -0.014, 24.589, -0.098, -0.004, 181.928, -4.014, 24.589, -0.098, -0.004, 222.236, 0.0, 21.397, 0.0, 0.0, 267.342, 4.0, 22.878, 0.0, 0.0, 0.041, -4.386, 3
184.978, 0.062, 24.035, 0.508, 0.021, 184.978, -3.938, 24.035, 0.508, 0.021, 224.879, 0.0, 20.647, 0.0, 0.0, 270.181, 4.0, 22.392, 0.0, 0.0, 0.115, -1.136, 3
187.961, 0.366, 23.802, 2.149, 0.09, 187.961, -3.634, 23.802, 2.149, 0.09, 227.429, 0.0, 19.905, 0.0, 0.0, 272.962, 4.0, 21.974, 0.0, 0.0, 0.06, 0.55, 3
190.925, 0.761, 23.777, 3.016, 0.126, 190.925, -3.239, 23.777, 3.016, 0.126, 229.87, 0.182, 19.244, 1.403, 0.073, 275.693, 4.0, 21.611, 0.0, 0.0, 0.042, -2.904, 3
193.87, 1.221, 23.336, 3.55, 0.151, 193.87, -2.779, 23.336, 3.55, 0.151, 232.184, 0.779, 18.439, 3.674, 0.197, 278.381, 4.0, 21.294, 0.0, 0.0, 0.001, 4.499, 3
196.81, 1.67, 23.89, 3.645, 0.151, 196.81, -2.33, 23.89, 3.645, 0.151, 234.442, 1.364, 17.885, 4.264, 0.234, 281.031, 4.0, 21.016, 0.0, 0.0, 0.006, -1.51, 3
199.787, 2.136, 23.692, 3.697, 0.155, 236.666, 1.882, 17.58, 4.095, 0.229, 283.647, 4.0, 20.771, 0.0, 0.0, 306.503, 8.0, 22.126, 0.0, 0.0, 0.005, -1.138, 3
202.741, 2.608, 23.54, 3.746, 0.158, 264.322, 0.0, 22.236, 0.0, 0.0, 238.872, 2.317, 17.609, 3.657, 0.205, 309.262, 8.0, 21.973, 0.0, 0.0, -0.012, 2.324, 3
205.699, 3.053, 23.854, 3.618, 0.151, 267.1, 0.0, 22.205, 0.0, 0.0, 241.093, 2.676, 17.756, 3.114, 0.174, 312.003, 8.0, 21.834, 0.0, 0.0, 0.003, -0.308, 3
208.678, 3.511, 23.81, 3.652, 0.152, 269.874, 0.0, 22.176, 0.0, 0.0, 243.33, 2.965, 17.883, 2.565, 0.142, 314.727, 8.0, 21.706, 0.0, 0.0, -0.014, 1.254, 3
211.666, 3.939, 23.995, 3.47, 0.144, 272.645, 0.0, 22.148, 0.0, 0.0, 245.578, 3.195, 17.984, 2.068, 0.115, 317.435, 8.0, 21.589, 0.0, 0.0, 0.011, -2.378, 3
214.649, 4.394, 23.677, 3.589, 0.15, 275.413, 0.0, 22.122, 0.0, 0.0, 247.834, 3.376, 18.062, 1.644, 0.091, 320.129, 8.0, 21.481, 0.0, 0.0, -0.011, -4.64, 3
217.588, 4.818, 23.125, 3.358, 0.144, 278.177, 0.0, 22.098, 0.0, 0.0, 249.977, 4.121, 17.591, 4.52, 0.252, 322.81, 8.0, 21.382, 0.0, 0.0, 0.014, -5.443, 3
220.446, 5.261, 22.424, 3.444, 0.152, 280.938, 0.0, 22.075, 0.0, 0.0, 252.133, 4.833, 17.394, 5.273, 0.294, 325.479, 8.0, 21.289, 0.0, 0.0, 0.001, 1.544, 3
223.257, 5.695, 22.613, 3.484, 0.153, 283.697, 0.0, 22.053, 0.0, 0.0, 254.317, 5.461, 17.464, 5.069, 0.282, 328.136, 8.0, 21.203, 0.0, 0.0, -0.007, -0.778, 3
226.082, 6.116, 22.531, 3.377, 0.149, 256.528, 5.989, 17.637, 4.475, 0.248, 330.783, 8.0, 21.123, 0.0, 0.0, 240.581, 12.0, 20.822, 0.0, 0.0, -0.012, 1.237, 3
228.908, 6.516, 22.706, 3.251, 0.142, 308.641, 4.0, 19.434, 0.0, 0.0, 258.763, 6.422, 17.895, 3.784, 0.208, 243.183, 12.0, 20.809, 0.0, 0.0, -0.061, 5.762, 0
231.791, 6.805, 23.523, 2.519, 0.107, 311.068, 4.0, 19.369, 0.0, 0.0, 261.028, 6.77, 18.158, 3.106, 0.169, 245.784, 12.0, 20.797, 0.0, 0.0, -0.085, 8.791, 0
234.79, 6.945, 24.719, 1.371, 0.055, 313.486, 4.0, 19.312, 0.0, 0.0, 263.32, 7.047, 18.379, 2.496, 0.135, 248.383, 12.0, 20.787, 0.0, 0.0, -0.025, 12.62, 0
237.948, 7.063, 26.314, 1.036, 0.039, 315.898, 4.0, 19.262, 0.0, 0.0, 265.633, 7.265, 18.563, 1.976, 0.106, 250.981, 12.0, 20.778, 0.0, 0.0, -0.0, 10.13, 0
241.29, 7.194, 27.579, 1.081, 0.039, 318.304, 4.0, 19.218, 0.0, 0.0, 267.965, 7.434, 18.718, 1.549, 0.083, 253.578, 12.0, 20.771, 0.0, 0.0, -0.019, 2.57, 1
244.752, 7.281, 27.912, 0.722, 0.026, 320.705, 4.0, 19.18, 0.0, 0.0, 270.313, 7.566, 18.851, 1.205, 0.064, 256.174, 12.0, 20.765, 0.0, 0.0, 0.01, -3.553, 1
248.222, 7.397, 27.463, 0.905, 0.033, 323.101, 4.0, 19.148, 0.0, 0.0, 272.677, 7.668, 18.968, 0.932, 0.049, 258.77, 12.0, 20.76, 0.0, 0.0, -0.009, -10.902, 1
251.599, 7.487, 26.105, 0.704, 0.027, 325.493, 4.0, 19.121, 0.0, 0.0, 275.053, 7.746, 19.074, 0.717, 0.038, 261.364, 12.0, 20.756, 0.0, 0.0, -0.022, -7.569, 1
254.824, 7.522, 25.167, 0.316, 0.013, 327.882, 4.0, 19.098, 0.0, 0.0, 277.442, 7.807, 19.17, 0.551, 0.029, 263.959, 12.0, 20.752, 0.0, 0.0, 0.026, -6.71, 1
257.933, 7.619, 24.32, 0.701, 0.029, 330.269, 4.0, 19.077, 0.0, 0.0, 279.843, 7.853, 19.258, 0.422, 0.022, 266.553, 12.0, 20.75, 0.0, 0.0, -0.001, -6.496, 1
260.94, 7.703, 23.509, 0.662, 0.028, 332.653, 4.0, 19.06, 0.0, 0.0, 282.254, 7.888, 19.339, 0.322, 0.017, 269.146, 12.0, 20.748, 0.0, 0.0, -0.026, -5.454, 1
263.851, 7.731, 22.835, 0.292, 0.013, 335.034, 4.0, 19.045, 0.0, 0.0, 284.674, 7.915, 19.415, 0.246, 0.013, 271.74, 12.0, 20.746, 0.0, 0.0, -0.016, -1.104, 1
266.7, 7.736, 22.698, 0.081, 0.004, 337.414, 4.0, 19.032, 0.0, 0.0, 287.104, 7.935, 19.486, 0.187, 0.01, 274.333, 12.0, 20.746, 0.0, 0.0, -0.005, -1.737, 1
269.528, 7.736, 22.481, 0.015, 0.001, 339.793, 4.0, 19.022, 0.0, 0.0, 289.543, 7.951, 19.551, 0.142, 0.007, 276.926, 12.0, 20.745, 0.0, 0.0, 0.008, -4.258, 1
272.316, 7.754, 21.949, 0.115, 0.005, 342.17, 4.0, 19.014, 0.0, 0.0, 291.989, 7.963, 19.613, 0.108, 0.006, 279.519, 12.0, 20.745, 0.0, 0.0, -0.002, -6.143, 1
275.027, 7.765, 21.181, 0.091, 0.004, 344.547, 4.0, 19.008, 0.0, 0.0, 294.443, 7.972, 19.67, 0.082, 0.004, 282.113, 12.0, 20.746, 0.0, 0.0, 0.002, 0.608, 1
277.678, 7.779, 21.257, 0.111, 0.005, 346.923, 4.0, 19.004, 0.0, 0.0, 296.904, 7.979, 19.723, 0.062, 0.003, 284.706, 12.0, 20.747, 0.0, 0.0, 0.017, -1.433, 1
280.327, 7.824, 21.076, 0.302, 0.014, 349.298, 4.0, 19.001, 0.0, 0.0, 299.372, 7.984, 19.773, 0.047, 0.002, 287.299, 12.0, 20.748, 0.0, 0.0, -0.015, 0.993, 1
282.967, 7.835, 21.202, 0.139, 0.007, 351.673, 4.0, 19.0, 0.0, 0.0, 301.846, 7.988, 19.82, 0.036, 0.002, 289.893, 12.0, 20.749, 0.0, 0.0, -0.002, -1.977, 1
285.607, 7.849, 20.955, 0.113, 0.005, 354.048, 4.0, 19.001, 0.0, 0.0, 304.325, 7.991, 19.864, 0.027, 0.001, 292.486, 12.0, 20.75, 0.0, 0.0, -0.005, -1.1, 1
288.221, 7.855, 20.817, 0.063, 0.003, 356.423, 4.0, 19.003, 0.0, 0.0, 306.81, 7.993, 19.904, 0.021, 0.001, 295.08, 12.0, 20.752, 0.0, 0.0, 0.007, -0.602, 1
290.82, 7.874, 20.742, 0.134, 0.006, 358.799, 4.0, 19.006, 0.0, 0.0, 309.299, 7.995, 19.942, 0.016, 0.001, 297.674, 12.0, 20.754, 0.0, 0.0, -0.007, -1.887, 1
293.403, 7.88, 20.506, 0.063, 0.003, 361.175, 4.0, 19.01, 0.0, 0.0, 311.794, 7.996, 19.978, 0.012, 0.001, 300.269, 12.0, 20.756, 0.0, 0.0, -0.009, 0.535, 1
295.969, 7.872, 20.573, -0.034, -0.002, 363.551, 4.0, 19.015, 0.0, 0.0, 314.292, 7.997, 20.011, 0.009, 0.0, 302.863, 12.0, 20.758, 0.0, 0.0, 0.001, -2.58, 1
298.527, 7.869, 20.251, -0.023, -0.001, 365.928, 4.0, 19.021, 0.0, 0.0, 316.795, 7.998, 20.042, 0.007, 0.0, 305.458, 12.0, 20.76, 0.0, 0.0, 0.003, 0.932, 1
301.063, 7.871, 20.367, 0.007, 0.0, 368.306, 4.0, 19.029, 0.0, 0.0, 319.301, 7.998, 20.071, 0.005, 0.0, 308.053, 12.0, 20.762, 0.0, 0.0, 0.008, -0.648, 1
303.606, 7.885, 20.286, 0.085, 0.004, 370.685, 4.0, 19.036, 0.0, 0.0, 321.812, 7.999, 20.098, 0.004, 0.0, 310.648, 12.0, 20.764, 0.0, 0.0, -0.021, 3.688, 1
306.161, 7.859, 20.747, -0.14, -0.007, 373.065, 4.0, 19.045, 0.0, 0.0, 324.325, 7.999, 20.124, 0.003, 0.0, 313.244, 12.0, 20.766, 0.0, 0.0, 0.008, -2.159, 1
308.743, 7.856, 20.477, -0.05, -0.002, 375.446, 4.0, 19.054, 0.0, 0.0, 326.841, 7.999, 20.148, 0.002, 0.0, 315.84, 12.0, 20.768, 0.0, 0.0, -0.002, -1.846, 1
311.293, 7.846, 20.247, -0.073, -0.004, 377.828, 4.0, 19.064, 0.0, 0.0, 329.361, 7.999, 20.17, 0.002, 0.0, 318.436, 12.0, 20.77, 0.0, 0.0, 0.017, 1.148, 1
313.83, 7.865, 20.39, 0.101, 0.005, 380.212, 4.0, 19.074, 0.0, 0.0, 331.883, 8.0, 20.191, 0.001, 0.0, 321.032, 12.0, 20.772, 0.0, 0.0, 0.003, -0.126, 1
316.378, 7.884, 20.374, 0.137, 0.007, 382.596, 4.0, 19.085, 0.0, 0.0, 334.408, 8.0, 20.21, 0.001, 0.0, 323.629, 12.0, 20.774, 0.0, 0.0, 0.009, -2.935, 1
318.909, 7.917, 20.006, 0.229, 0.011, 384.983, 4.0, 19.096, 0.0, 0.0, 336.935, 8.0, 20.229, 0.001, 0.0, 326.226, 12.0, 20.775, 0.0, 0.0, -0.013, 0.057, 1
321.41, 7.923, 20.015, 0.096, 0.005, 387.37, 4.0, 19.108, 0.0, 0.0, 339.464, 8.0, 20.246, 0.001, 0.0, 328.823, 12.0, 20.777, 0.0, 0.0, -0.0, -1.121, 1
323.906, 7.934, 19.874, 0.091, 0.005, 389.759, 4.0, 19.12, 0.0, 0.0, 341.995, 8.0, 20.261, 0.0, 0.0, 331.42, 12.0, 20.779, 0.0, 0.0, 0.005, -0.267, 1
326.389, 7.955, 19.841, 0.144, 0.007, 392.15, 4.0, 19.132, 0.0, 0.0, 344.529, 8.0, 20.276, 0.0, 0.0, 334.017, 12.0, 20.782, 0.0, 0.0, -0.012, -1.969, 1
328.859, 7.954, 19.595, 0.03, 0.002, 394.541, 4.0, 19.144, 0.0, 0.0, 347.064, 8.0, 20.29, 0.0, 0.0, 336.615, 12.0, 20.785, 0.0, 0.0, -0.018, 2.042, 1
331.319, 7.928, 19.85, -0.147, -0.007, 396.935, 4.0, 19.157, 0.0, 0.0, 349.6, 8.0, 20.302, 0.0, 0.0, 339.213, 12.0, 20.787, 0.0, 0.0, 0.018, 0.735, 1
333.804, 7.939, 19.942, 0.028, 0.001, 399.33, 4.0, 19.17, 0.0, 0.0, 352.139, 8.0, 20.314, 0.0, 0.0, 341.812, 12.0, 20.79, 0.0, 0.0, -0.011, 0.32, 1
336.298, 7.924, 19.982, -0.08, -0.004, 401.727, 4.0, 19.183, 0.0, 0.0, 354.678, 8.0, 20.324, 0.0, 0.0, 344.411, 12.0, 20.794, 0.0, 0.0, 0.024, 1.319, 1
338.803, 7.954, 20.146, 0.162, 0.008, 404.125, 4.0, 19.196, 0.0, 0.0, 357.219, 8.0, 20.334, 0.0, 0.0, 347.01, 12.0, 20.797, 0.0, 0.0, -0.006, 1.833, 1
341.331, 7.964, 20.376, 0.101, 0.005, 406.525, 4.0, 19.209, 0.0, 0.0, 359.761, 8.0, 20.343, 0.0, 0.0, 349.61, 12.0, 20.8, 0.0, 0.0, -0.006, 2.661, 1
343.892, 7.967, 20.709, 0.044, 0.002, 408.927, 4.0, 19.223, 0.0, 0.0, 362.305, 8.0, 20.351, 0.0, 0.0, 352.21, 12.0, 20.804, 0.0, 0.0, 0.003, -0.825, 1
346.476, 7.978, 20.606, 0.072, 0.004, 411.33, 4.0, 19.236, 0.0, 0.0, 364.849, 8.0, 20.359, 0.0, 0.0, 354.811, 12.0, 20.807, 0.0, 0.0, -0.004, 1.912, 1
349.062, 7.979, 20.845, 0.027, 0.001, 413.735, 4.0, 19.25, 0.0, 0.0, 367.394, 8.0, 20.365, 0.0, 0.0, 357.412, 12.0, 20.811, 0.0, 0.0, -0.0, -2.776, 1
351.653, 7.982, 20.498, 0.026, 0.001, 416.142, 4.0, 19.264, 0.0, 0.0, 369.94, 8.0, 20.372, 0.0, 0.0, 360.013, 12.0, 20.814, 0.0, 0.0, 0.003, -2.163, 1
354.204, 7.991, 20.227, 0.059, 0.003, 418.551, 4.0, 19.278, 0.0, 0.0, 372.487, 8.0, 20.377, 0.0, 0.0, 362.615, 12.0, 20.818, 0.0, 0.0, -0.003, -0.331, 1
356.73, 7.994, 20.186, 0.032, 0.002, 420.961, 4.0, 19.292, 0.0, 0.0, 375.034, 8.0, 20.382, 0.0, 0.0, 365.217, 12.0, 20.821, 0.0, 0.0, 0.013, -1.026, 1
359.248, 8.02, 20.057, 0.165, 0.008, 423.373, 4.0, 19.306, 0.0, 0.0, 377.582, 8.0, 20.387, 0.0, 0.0, 367.82, 12.0, 20.825, 0.0, 0.0, -0.005, 0.721, 1
361.759, 8.032, 20.148, 0.111, 0.005, 425.787, 4.0, 19.321, 0.0, 0.0, 380.13, 8.0, 20.39, 0.0, 0.0, 370.423, 12.0, 20.828, 0.0, 0.0, 0.007, 2.068, 1
364.288, 8.058, 20.405, 0.187, 0.009, 428.203, 4.0, 19.335, 0.0, 0.0, 382.679, 8.0, 20.394, 0.0, 0.0, 373.027, 12.0, 20.831, 0.0, 0.0, -0.016, -1.808, 1
366.829, 8.054, 20.18, 0.024, 0.001, 430.62, 4.0, 19.349, 0.0, 0.0, 385.229, 8.0, 20.397, 0.0, 0.0, 375.631, 12.0, 20.835, 0.0, 0.0, -0.015, -1.42, 1
369.344, 8.032, 20.002, -0.127, -0.006, 433.04, 4.0, 19.364, 0.0, 0.0, 387.778, 8.0, 20.4, 0.0, 0.0, 378.236, 12.0, 20.838, 0.0, 0.0, 0.0, -0.362, 1
371.843, 8.017, 19.957, -0.125, -0.006, 435.461, 4.0, 19.378, 0.0, 0.0, 390.329, 8.0, 20.402, 0.0, 0.0, 380.841, 12.0, 20.841, 0.0, 0.0, 0.007, 0.854, 1
374.342, 8.012, 20.064, -0.058, -0.003, 437.884, 4.0, 19.393, 0.0, 0.0, 392.879, 8.0, 20.404, 0.0, 0.0, 383.446, 12.0, 20.844, 0.0, 0.0, 0.001, 1.088, 1
376.856, 8.007, 20.2, -0.048, -0.002, 440.308, 4.0, 19.407, 0.0, 0.0, 395.429, 8.0, 20.405, 0.0, 0.0, 386.051, 12.0, 20.846, 0.0, 0.0, 0.009, -1.973, 1
379.37, 8.017, 19.954, 0.047, 0.002, 442.735, 4.0, 19.421, 0.0, 0.0, 397.98, 8.0, 20.407, 0.0, 0.0, 388.657, 12.0, 20.848, 0.0, 0.0, -0.025, -0.351, 1
381.863, 7.981, 19.909, -0.202, -0.01, 445.163, 4.0, 19.436, 0.0, 0.0, 400.531, 8.0, 20.408, 0.0, 0.0, 391.263, 12.0, 20.849, 0.0, 0.0, 0.011, -2.272, 1
384.339, 7.975, 19.626, -0.088, -0.004, 447.593, 4.0, 19.45, 0.0, 0.0, 403.082, 8.0, 20.408, 0.0, 0.0, 393.87, 12.0, 20.85, 0.0, 0.0, 0.002, 2.565, 1
