time, x, v
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
1, 0.005, 0.2
1, 0.0025, 0.1
1, 0.00375, 0.15
1, 0.0075, 0.3
1, 0.0025, 0.1
2, 0.02, 0.4
2, 0.01, 0.2
2, 0.015, 0.3
2, 0.03, 0.6
2, 0.01, 0.2
3, 0.045, 0.6
3, 0.0225, 0.3
3, 0.03375, 0.45
3, 0.0675, 0.9
3, 0.0225, 0.3
4, 0.08, 0.8
4, 0.04, 0.4
4, 0.06, 0.6
4, 0.12, 1.2
4, 0.04, 0.4
5, 0.125, 1
5, 0.0625, 0.5
5, 0.09375, 0.75
5, 0.1875, 1.5
5, 0.0625, 0.5
6, 0.18, 1.2
6, 0.09, 0.6
6, 0.135, 0.9
6, 0.27, 1.8
6, 0.09, 0.6
7, 0.245, 1.4
7, 0.1225, 0.7
7, 0.18375, 1.05
7, 0.3675, 2.1
7, 0.1225, 0.7
8, 0.32, 1.6
8, 0.16, 0.8
8, 0.24, 1.2
8, 0.48, 2.4
8, 0.16, 0.8
9, 0.405, 1.8
9, 0.2025, 0.9
9, 0.30375, 1.35
9, 0.6075, 2.7
9, 0.2025, 0.9
10, 0.5, 2
10, 0.25, 1
10, 0.375, 1.5
10, 0.75, 3
10, 0.25, 1
11, 0.605, 2.2
11, 0.3025, 1.1
11, 0.45375, 1.65
11, 0.9075, 3.3
11, 0.3025, 1.1
12, 0.72, 2.4
12, 0.36, 1.2
12, 0.54, 1.8
12, 1.08, 3.6
12, 0.36, 1.2
13, 0.845, 2.6
13, 0.4225, 1.3
13, 0.63375, 1.95
13, 1.2675, 3.9
13, 0.4225, 1.3
14, 0.98, 2.8
14, 0.49, 1.4
14, 0.735, 2.1
14, 1.47, 4.2
14, 0.49, 1.4
15, 1.125, 3
15, 0.5625, 1.5
15, 0.84375, 2.25
15, 1.6875, 4.5
15, 0.5625, 1.5
16, 1.28, 3.2
16, 0.64, 1.6
16, 0.96, 2.4
16, 1.92, 4.8
16, 0.64, 1.6
17, 1.445, 3.4
17, 0.7225, 1.7
17, 1.08375, 2.55
17, 2.1675, 5.1
17, 0.7225, 1.7
18, 1.62, 3.6
