x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
143.655, -0.014, 25.182, -0.102, -0.004, 143.655, -4.014, 25.182, -0.102, -0.004, 194.023, 0.0, 21.553, 0.0, 0.0, 159.485, 4.0, 23.659, 0.0, 0.0, 0.007, 6.041, 0
146.835, -0.011, 25.938, 0.014, 0.001, 146.835, -4.011, 25.938, 0.014, 0.001, 196.698, 0.0, 21.105, 0.0, 0.0, 162.438, 4.0, 23.554, 0.0, 0.0, -0.002, 9.221, 0
150.125, -0.013, 27.09, -0.017, -0.001, 150.125, -4.013, 27.09, -0.017, -0.001, 199.32, 0.0, 20.725, 0.0, 0.0, 165.378, 4.0, 23.447, 0.0, 0.0, 0.009, 13.474, 0
153.581, 0.008, 28.774, 0.166, 0.006, 153.581, -3.992, 28.774, 0.166, 0.006, 201.896, 0.0, 20.399, 0.0, 0.0, 168.304, 4.0, 23.338, 0.0, 0.0, -0.007, 16.749, 0
157.265, 0.01, 30.868, 0.017, 0.001, 157.265, -3.99, 30.868, 0.017, 0.001, 204.434, 0.0, 20.118, 0.0, 0.0, 171.217, 4.0, 23.226, 0.0, 0.0, -0.003, 14.121, 0
161.198, 0.002, 32.633, -0.066, -0.002, 161.198, -3.998, 32.633, -0.066, -0.002, 206.939, 0.0, 19.874, 0.0, 0.0, 174.115, 4.0, 23.11, 0.0, 0.0, -0.007, 12.907, 0
165.344, -0.028, 34.246, -0.257, -0.007, 165.344, -4.028, 34.246, -0.257, -0.007, 209.414, 0.0, 19.661, 0.0, 0.0, 176.999, 4.0, 22.991, 0.0, 0.0, 0.007, 9.951, 0
169.676, -0.035, 35.491, -0.038, -0.001, 169.676, -4.035, 35.491, -0.038, -0.001, 211.863, 0.0, 19.475, 0.0, 0.0, 179.868, 4.0, 22.872, 0.0, 0.0, -0.001, 9.339, 0
174.161, -0.042, 36.658, -0.061, -0.002, 174.161, -4.042, 36.658, -0.061, -0.002, 214.291, 0.0, 19.312, 0.0, 0.0, 182.722, 4.0, 22.754, 0.0, 0.0, -0.014, 7.934, 0
178.785, -0.101, 37.646, -0.537, -0.014, 178.785, -4.101, 37.646, -0.537, -0.014, 216.699, 0.0, 19.169, 0.0, 0.0, 185.561, 4.0, 22.638, 0.0, 0.0, 0.012, 1.135, 1
183.497, -0.12, 37.792, -0.098, -0.003, 183.497, -4.12, 37.792, -0.098, -0.003, 219.089, 0.0, 19.043, 0.0, 0.0, 188.386, 4.0, 22.524, 0.0, 0.0, 0.011, 5.658, 0
188.25, -0.089, 38.498, 0.312, 0.008, 188.25, -4.089, 38.498, 0.312, 0.008, 221.465, 0.0, 18.932, 0.0, 0.0, 191.197, 4.0, 22.414, 0.0, 0.0, -0.008, -0.604, 1
193.059, -0.081, 38.424, 0.026, 0.001, 193.059, -4.081, 38.424, 0.026, 0.001, 223.827, 0.0, 18.835, 0.0, 0.0, 193.994, 4.0, 22.308, 0.0, 0.0, -0.004, -6.427, 1
197.829, -0.094, 37.62, -0.126, -0.003, 197.829, -4.094, 37.62, -0.126, -0.003, 226.178, 0.0, 18.749, 0.0, 0.0, 196.779, 4.0, 22.205, 0.0, 0.0, 0.008, -12.95, 1
202.464, -0.081, 36.001, 0.133, 0.004, 202.464, -4.081, 36.001, 0.133, 0.004, 228.519, 0.0, 18.674, 0.0, 0.0, 199.519, 3.663, 21.913, -2.453, -0.111, 0.002, -17.317, 1
206.874, -0.057, 33.836, 0.194, 0.006, 206.874, -4.057, 33.836, 0.194, 0.006, 230.85, 0.0, 18.608, 0.0, 0.0, 202.185, 3.082, 20.964, -4.021, -0.189, -0.007, -15.656, 1
211.022, -0.057, 31.88, -0.014, -0.0, 211.022, -4.057, 31.88, -0.014, -0.0, 233.173, 0.0, 18.55, 0.0, 0.0, 204.76, 2.513, 20.148, -4.273, -0.209, 0.013, -13.618, 1
214.936, -0.018, 30.176, 0.306, 0.01, 214.936, -4.018, 30.176, 0.306, 0.01, 235.49, 0.0, 18.5, 0.0, 0.0, 207.253, 2.012, 19.451, -3.941, -0.2, -0.011, -11.793, 1
218.646, -0.011, 28.703, 0.06, 0.002, 218.646, -4.011, 28.703, 0.06, 0.002, 209.667, 1.593, 18.792, -3.393, -0.179, 295.874, 4.0, 15.473, 0.0, 0.0, 0.077, -8.326, 3
222.184, 0.198, 27.618, 1.568, 0.057, 222.184, -3.802, 27.618, 1.568, 0.057, 240.106, 0.0, 18.419, 0.0, 0.0, 297.811, 4.0, 15.53, 0.0, 0.0, 0.098, -3.472, 3
225.595, 0.639, 27.018, 3.38, 0.124, 225.595, -3.361, 27.018, 3.38, 0.124, 242.407, 0.0, 18.387, 0.0, 0.0, 299.754, 4.0, 15.594, 0.0, 0.0, 0.022, -0.737, 3
228.962, 1.114, 26.874, 3.766, 0.139, 228.962, -2.886, 26.874, 3.766, 0.139, 244.704, 0.0, 18.36, 0.0, 0.0, 301.707, 4.0, 15.666, 0.0, 0.0, 0.009, 0.05, 3
232.318, 1.607, 26.856, 3.936, 0.146, 232.318, -2.393, 26.856, 3.936, 0.146, 246.998, 0.0, 18.338, 0.0, 0.0, 303.668, 4.0, 15.742, 0.0, 0.0, -0.003, -0.241, 3
235.675, 2.092, 26.834, 3.88, 0.144, 249.29, 0.0, 18.319, 0.0, 0.0, 305.639, 4.0, 15.822, 0.0, 0.0, 274.903, 8.0, 22.024, 0.0, 0.0, 0.002, 0.444, 3
239.031, 2.581, 26.884, 3.917, 0.145, 251.579, 0.0, 18.304, 0.0, 0.0, 307.62, 4.0, 15.906, 0.0, 0.0, 277.656, 8.0, 22.014, 0.0, 0.0, 0.006, 0.658, 3
242.392, 3.086, 26.95, 4.034, 0.149, 253.866, 0.0, 18.292, 0.0, 0.0, 309.612, 4.0, 15.993, 0.0, 0.0, 280.407, 8.0, 22.005, 0.0, 0.0, 0.001, -0.227, 3
245.76, 3.591, 26.92, 4.043, 0.149, 256.153, 0.0, 18.284, 0.0, 0.0, 311.615, 4.0, 16.081, 0.0, 0.0, 283.158, 8.0, 21.996, 0.0, 0.0, -0.002, -0.814, 3
249.121, 4.091, 26.825, 3.991, 0.148, 258.438, 0.0, 18.278, 0.0, 0.0, 313.629, 4.0, 16.171, 0.0, 0.0, 285.907, 8.0, 21.988, 0.0, 0.0, 0.003, -0.429, 3
252.471, 4.598, 26.763, 4.042, 0.15, 260.722, 0.0, 18.275, 0.0, 0.0, 315.654, 4.0, 16.262, 0.0, 0.0, 288.655, 8.0, 21.981, 0.0, 0.0, -0.007, -0.205, 3
255.818, 5.087, 26.756, 3.92, 0.145, 263.007, 0.0, 18.274, 0.0, 0.0, 317.691, 4.0, 16.353, 0.0, 0.0, 291.402, 8.0, 21.974, 0.0, 0.0, 0.015, -0.378, 3
259.155, 5.614, 26.666, 4.192, 0.156, 265.291, 0.0, 18.274, 0.0, 0.0, 319.738, 4.0, 16.444, 0.0, 0.0, 294.149, 8.0, 21.968, 0.0, 0.0, -0.008, -1.847, 3
262.481, 6.118, 26.46, 4.015, 0.151, 321.798, 4.0, 16.535, 0.0, 0.0, 296.894, 8.0, 21.962, 0.0, 0.0, 262.526, 12.211, 21.777, -0.61, -0.028, -0.095, 2.42, 0
265.828, 6.392, 26.964, 2.347, 0.087, 323.868, 4.0, 16.626, 0.0, 0.0, 299.64, 8.0, 21.957, 0.0, 0.0, 265.249, 12.158, 21.787, -0.462, -0.021, -0.031, 7.017, 0
269.24, 6.613, 27.882, 1.841, 0.066, 325.95, 4.0, 16.716, 0.0, 0.0, 302.384, 8.0, 21.952, 0.0, 0.0, 267.973, 12.118, 21.795, -0.348, -0.016, -0.019, 10.698, 0
272.784, 6.797, 29.239, 1.538, 0.053, 328.044, 4.0, 16.805, 0.0, 0.0, 305.128, 8.0, 21.947, 0.0, 0.0, 270.698, 12.089, 21.802, -0.262, -0.012, -0.008, 15.335, 0
276.52, 6.972, 31.163, 1.455, 0.047, 330.148, 4.0, 16.893, 0.0, 0.0, 307.871, 8.0, 21.943, 0.0, 0.0, 273.423, 12.066, 21.808, -0.197, -0.009, -0.016, 13.615, 0
280.488, 7.108, 32.88, 1.109, 0.034, 332.263, 4.0, 16.98, 0.0, 0.0, 310.614, 8.0, 21.939, 0.0, 0.0, 276.15, 12.049, 21.813, -0.148, -0.007, -0.002, 7.276, 1
284.636, 7.242, 33.79, 1.095, 0.032, 334.389, 4.0, 17.065, 0.0, 0.0, 313.356, 8.0, 21.935, 0.0, 0.0, 278.876, 12.037, 21.818, -0.11, -0.005, -0.005, 1.642, 1
288.869, 7.365, 33.999, 0.971, 0.029, 336.526, 4.0, 17.149, 0.0, 0.0, 316.098, 8.0, 21.932, 0.0, 0.0, 281.604, 12.028, 21.822, -0.083, -0.004, -0.006, -4.821, 1
293.094, 7.465, 33.402, 0.781, 0.023, 338.673, 4.0, 17.231, 0.0, 0.0, 318.839, 8.0, 21.929, 0.0, 0.0, 284.332, 12.021, 21.826, -0.062, -0.003, -0.01, -9.722, 1
297.219, 7.53, 32.192, 0.489, 0.015, 340.83, 4.0, 17.312, 0.0, 0.0, 321.58, 8.0, 21.926, 0.0, 0.0, 403.951, 12.0, 22.276, 0.0, 0.0, 0.074, -5.036, 3
