x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
184.826, 0.031, 25.279, 0.221, 0.009, 184.826, -3.969, 25.279, 0.221, 0.009, 245.268, 0.0, 21.393, 0.0, 0.0, 264.412, 4.0, 21.556, 0.0, 0.0, -0.004, 5.183, 0
188.013, 0.05, 25.928, 0.161, 0.006, 188.013, -3.95, 25.928, 0.161, 0.006, 247.941, 0.0, 21.37, 0.0, 0.0, 267.089, 4.0, 21.149, 0.0, 0.0, -0.003, 11.337, 0
191.313, 0.063, 27.345, 0.113, 0.004, 191.313, -3.937, 27.345, 0.113, 0.004, 250.611, 0.0, 21.347, 0.0, 0.0, 269.716, 4.0, 20.752, 0.0, 0.0, -0.011, 9.492, 0
194.78, 0.05, 28.532, -0.098, -0.003, 194.78, -3.95, 28.532, -0.098, -0.003, 253.278, 0.0, 21.324, 0.0, 0.0, 272.294, 4.0, 20.351, 0.0, 0.0, -0.018, 7.95, 0
198.388, -0.012, 29.522, -0.492, -0.017, 198.388, -4.012, 29.522, -0.492, -0.017, 255.943, 0.0, 21.301, 0.0, 0.0, 274.821, 4.0, 19.951, 0.0, 0.0, 0.022, 9.791, 0
202.129, -0.011, 30.75, 0.004, 0.0, 202.129, -4.011, 30.75, 0.004, 0.0, 258.605, 0.0, 21.279, 0.0, 0.0, 277.298, 4.0, 19.559, 0.0, 0.0, -0.002, 10.451, 0
206.027, -0.017, 32.056, -0.051, -0.002, 206.027, -4.017, 32.056, -0.051, -0.002, 261.258, 0.0, 21.124, 0.0, 0.0, 279.728, 4.0, 19.208, 0.0, 0.0, 0.004, 7.382, 0
210.073, -0.01, 32.979, 0.064, 0.002, 210.073, -4.01, 32.979, 0.064, 0.002, 263.892, 0.0, 20.972, 0.0, 0.0, 282.116, 4.0, 18.906, 0.0, 0.0, 0.003, 7.26, 0
214.233, 0.007, 33.886, 0.141, 0.004, 214.233, -3.993, 33.886, 0.141, 0.004, 266.508, 0.0, 20.832, 0.0, 0.0, 284.468, 4.0, 18.719, 0.0, 0.0, 0.003, 6.978, 0
218.505, 0.034, 34.758, 0.226, 0.007, 218.505, -3.966, 34.758, 0.226, 0.007, 269.106, 0.0, 20.709, 0.0, 0.0, 286.807, 4.0, 18.694, 0.0, 0.0, -0.017, 7.175, 0
222.887, 0.002, 35.654, -0.313, -0.009, 222.887, -3.998, 35.654, -0.313, -0.009, 271.69, 0.0, 20.599, 0.0, 0.0, 289.143, 4.0, 18.704, 0.0, 0.0, 0.015, 3.805, 0
227.364, 0.016, 36.131, 0.163, 0.005, 227.364, -3.984, 36.131, 0.163, 0.005, 274.261, 0.0, 20.502, 0.0, 0.0, 291.484, 4.0, 18.774, 0.0, 0.0, 0.003, 2.168, 0
231.891, 0.045, 36.401, 0.247, 0.007, 231.891, -3.955, 36.401, 0.247, 0.007, 276.82, 0.0, 20.416, 0.0, 0.0, 293.833, 4.0, 18.842, 0.0, 0.0, 0.001, 1.472, 0
236.449, 0.079, 36.585, 0.276, 0.008, 236.449, -3.921, 36.585, 0.276, 0.008, 279.369, 0.0, 20.339, 0.0, 0.0, 296.191, 4.0, 18.907, 0.0, 0.0, -0.024, 2.602, 0
241.036, 0.027, 36.908, -0.519, -0.014, 241.036, -3.973, 36.908, -0.519, -0.014, 281.908, 0.0, 20.27, 0.0, 0.0, 298.557, 4.0, 18.969, 0.0, 0.0, 0.0, 0.736, 0
245.653, -0.037, 37.0, -0.513, -0.014, 245.653, -4.037, 37.0, -0.513, -0.014, 284.439, 0.0, 20.208, 0.0, 0.0, 300.931, 4.0, 19.029, 0.0, 0.0, 0.018, 0.574, 0
250.281, -0.035, 37.075, 0.093, 0.003, 250.281, -4.035, 37.075, 0.093, 0.003, 286.963, 0.0, 20.152, 0.0, 0.0, 303.312, 4.0, 19.087, 0.0, 0.0, 0.055, -7.864, 3
254.869, 0.18, 36.041, 1.916, 0.053, 254.869, -3.82, 36.041, 1.916, 0.053, 289.48, 0.0, 20.103, 0.0, 0.0, 305.7, 4.0, 19.143, 0.0, 0.0, 0.097, -7.148, 3
259.304, 0.764, 34.852, 4.926, 0.14, 259.304, -3.236, 34.852, 4.926, 0.14, 291.991, 0.0, 20.058, 0.0, 0.0, 308.095, 4.0, 19.197, 0.0, 0.0, 0.048, -2.536, 3
263.621, 1.541, 34.305, 6.318, 0.182, 263.621, -2.459, 34.305, 6.318, 0.182, 294.496, 0.0, 20.018, 0.0, 0.0, 310.497, 4.0, 19.249, 0.0, 0.0, -0.006, -3.74, 3
267.894, 2.306, 33.88, 6.042, 0.176, 296.997, 0.0, 19.982, 0.0, 0.0, 312.905, 4.0, 19.298, 0.0, 0.0, 263.407, 8.0, 21.664, 0.0, 0.0, -0.032, -10.628, 1
272.092, 2.945, 32.719, 4.911, 0.149, 299.493, 0.0, 19.95, 0.0, 0.0, 315.32, 4.0, 19.346, 0.0, 0.0, 266.113, 8.0, 21.628, 0.0, 0.0, -0.078, -11.641, 1
276.15, 3.305, 31.516, 2.691, 0.085, 301.986, 0.0, 19.921, 0.0, 0.0, 317.74, 4.0, 19.392, 0.0, 0.0, 268.815, 8.0, 21.594, 0.0, 0.0, -0.047, -11.22, 1
280.041, 3.497, 30.193, 1.457, 0.048, 304.475, 0.0, 19.895, 0.0, 0.0, 320.166, 4.0, 19.436, 0.0, 0.0, 271.513, 8.0, 21.563, 0.0, 0.0, -0.018, -12.189, 1
283.753, 3.627, 28.687, 1.009, 0.035, 306.961, 0.0, 19.872, 0.0, 0.0, 322.597, 4.0, 19.479, 0.0, 0.0, 274.207, 8.0, 21.534, 0.0, 0.0, -0.031, -10.463, 1
287.286, 3.671, 27.394, 0.365, 0.013, 309.444, 0.0, 19.851, 0.0, 0.0, 325.033, 4.0, 19.519, 0.0, 0.0, 362.692, 7.99, 18.863, 0.029, 0.002, 0.001, -4.272, 3
290.688, 3.719, 26.86, 0.379, 0.014, 311.924, 0.0, 19.832, 0.0, 0.0, 327.475, 4.0, 19.558, 0.0, 0.0, 365.052, 7.992, 18.907, 0.022, 0.001, 0.052, -1.866, 3
294.032, 3.893, 26.597, 1.311, 0.049, 314.403, 0.0, 19.816, 0.0, 0.0, 329.921, 4.0, 19.596, 0.0, 0.0, 367.417, 7.994, 18.948, 0.017, 0.001, 0.094, 5.129, 3
297.364, 4.287, 27.098, 3.061, 0.112, 316.879, 0.0, 19.801, 0.0, 0.0, 332.372, 4.0, 19.632, 0.0, 0.0, 369.787, 7.996, 18.984, 0.013, 0.001, 0.054, 2.023, 3
300.744, 4.803, 27.217, 4.093, 0.149, 319.354, 0.0, 19.787, 0.0, 0.0, 334.828, 4.0, 19.666, 0.0, 0.0, 372.161, 7.997, 19.015, 0.01, 0.001, -0.001, 0.281, 3
304.148, 5.312, 27.256, 4.073, 0.148, 321.826, 0.0, 19.775, 0.0, 0.0, 337.288, 4.0, 19.699, 0.0, 0.0, 374.54, 7.997, 19.044, 0.007, 0.0, -0.011, 5.505, 3
307.587, 5.797, 27.968, 3.961, 0.141, 324.298, 0.0, 19.765, 0.0, 0.0, 339.751, 4.0, 19.731, 0.0, 0.0, 376.921, 7.998, 19.072, 0.006, 0.0, 0.019, 1.383, 3
311.083, 6.342, 28.083, 4.364, 0.154, 342.219, 4.0, 19.762, 0.0, 0.0, 379.306, 7.998, 19.101, 0.004, 0.0, 312.881, 12.0, 21.002, 0.0, 0.0, -0.03, 7.416, 0
314.643, 6.814, 29.09, 3.874, 0.132, 344.69, 4.0, 19.791, 0.0, 0.0, 381.695, 7.999, 19.13, 0.003, 0.0, 315.506, 12.0, 20.99, 0.0, 0.0, -0.069, 10.971, 0
318.356, 7.113, 30.618, 2.473, 0.081, 347.165, 4.0, 19.819, 0.0, 0.0, 384.091, 7.999, 19.238, 0.003, 0.0, 318.129, 12.0, 20.978, 0.0, 0.0, -0.055, 11.564, 0
322.253, 7.265, 32.141, 1.215, 0.038, 349.644, 4.0, 19.844, 0.0, 0.0, 386.5, 7.999, 19.341, 0.002, 0.0, 320.751, 12.0, 20.965, 0.0, 0.0, -0.019, 10.005, 0
326.324, 7.36, 33.406, 0.755, 0.023, 352.125, 4.0, 19.864, 0.0, 0.0, 388.922, 7.999, 19.347, 0.001, 0.0, 323.371, 12.0, 20.952, 0.0, 0.0, -0.003, 6.555, 0
330.534, 7.445, 34.227, 0.685, 0.02, 354.609, 4.0, 19.883, 0.0, 0.0, 391.333, 8.0, 19.18, 0.001, 0.0, 325.989, 12.0, 20.939, 0.0, 0.0, 0.005, 7.279, 0
334.85, 7.55, 35.133, 0.864, 0.025, 357.095, 4.0, 19.902, 0.0, 0.0, 393.724, 8.0, 19.035, 0.001, 0.0, 328.606, 12.0, 20.926, 0.0, 0.0, 0.007, 4.847, 0
339.266, 7.684, 35.732, 1.109, 0.031, 359.584, 4.0, 19.922, 0.0, 0.0, 396.099, 8.0, 18.913, 0.001, 0.0, 331.221, 12.0, 20.913, 0.0, 0.0, -0.015, 2.586, 0
343.747, 7.768, 36.067, 0.626, 0.017, 362.075, 4.0, 19.943, 0.0, 0.0, 398.458, 8.0, 18.811, 0.0, 0.0, 333.835, 12.0, 20.9, 0.0, 0.0, -0.005, 3.834, 0
348.276, 7.827, 36.549, 0.454, 0.012, 364.57, 4.0, 20.007, 0.0, 0.0, 400.806, 8.0, 18.725, 0.0, 0.0, 401.62, 12.0, 21.645, 0.0, 0.0, -0.003, 4.281, 0
352.867, 7.874, 37.085, 0.363, 0.01, 367.074, 4.0, 20.088, 0.0, 0.0, 403.143, 8.0, 18.654, 0.0, 0.0, 404.323, 12.0, 21.586, 0.0, 0.0, -0.009, -0.49, 0
357.5, 7.884, 37.026, 0.043, 0.001, 369.588, 4.0, 20.165, 0.0, 0.0, 405.473, 8.0, 18.595, 0.0, 0.0, 407.019, 12.0, 21.531, 0.0, 0.0, -0.008, 2.017, 0
362.139, 7.858, 37.277, -0.244, -0.007, 372.112, 4.0, 20.238, 0.0, 0.0, 407.795, 8.0, 18.547, 0.0, 0.0, 409.708, 12.0, 21.48, 0.0, 0.0, 0.005, 5.055, 0
366.825, 7.846, 37.91, -0.078, -0.002, 374.645, 4.0, 20.307, 0.0, 0.0, 410.112, 8.0, 18.508, 0.0, 0.0, 412.391, 12.0, 21.434, 0.0, 0.0, 0.006, 3.497, 0
371.582, 7.86, 38.346, 0.144, 0.004, 377.186, 4.0, 20.372, 0.0, 0.0, 412.424, 8.0, 18.476, 0.0, 0.0, 415.069, 12.0, 21.39, 0.0, 0.0, 0.007, 2.662, 0
376.389, 7.906, 38.677, 0.409, 0.011, 379.735, 4.0, 20.365, 0.0, 0.0, 414.732, 8.0, 18.452, 0.0, 0.0, 417.741, 12.0, 21.35, 0.0, 0.0, 0.033, -4.399, 3
381.197, 8.087, 38.095, 1.614, 0.042, 382.275, 4.0, 20.228, 0.0, 0.0, 417.038, 8.0, 18.435, 0.0, 0.0, 420.408, 12.0, 21.312, 0.0, 0.0, 0.077, -8.297, 3
385.893, 8.583, 36.847, 4.264, 0.115, 384.798, 4.0, 20.103, 0.0, 0.0, 419.342, 8.0, 18.422, 0.0, 0.0, 423.07, 12.0, 21.278, 0.0, 0.0, 0.061, -16.423, 1
390.382, 9.326, 34.531, 5.951, 0.171, 387.306, 4.0, 19.994, 0.0, 0.0, 421.644, 8.0, 18.415, 0.0, 0.0, 425.729, 12.0, 21.245, 0.0, 0.0, 0.01, -11.197, 3
394.635, 10.095, 33.099, 6.007, 0.18, 423.946, 8.0, 18.413, 0.0, 0.0, 428.383, 12.0, 21.216, 0.0, 0.0, 394.635, 14.095, 33.099, 6.007, 0.18, -0.025, -11.589, 1
398.727, 10.756, 31.785, 5.096, 0.159, 426.247, 8.0, 18.414, 0.0, 0.0, 431.034, 12.0, 21.188, 0.0, 0.0, 398.727, 14.756, 31.785, 5.096, 0.159, -0.061, -9.0, 1
402.678, 11.201, 30.877, 3.42, 0.11, 428.549, 8.0, 18.419, 0.0, 0.0, 433.681, 12.0, 21.162, 0.0, 0.0, 402.678, 15.201, 30.877, 3.42, 0.11, -0.088, -6.775, 1
