
iter 0
3.79 0.94 2.85
4.24 1.40 2.84
5.56 2.74 2.82
5.07 3.20 1.87
3.91 4.22 -0.31
4.20 5.59 -1.39
5.93 6.02 -0.09
7.59 5.74 1.86
5.58 6.23 -0.65
6.34 6.10 0.24
6.62 7.06 -0.44
7.44 6.19 1.26
6.57 6.51 0.06
8.06 6.39 1.66
6.41 5.94 0.48
6.46 5.83 0.63
4.52 4.49 0.03
6.66 4.14 2.52
2.86 2.67 0.19
4.90 0.34 4.57
1.13 -0.39 1.51
0.84 -0.26 1.10
1.80 -1.01 2.80
0.49 0.02 0.47
0.44 -0.45 0.89
-0.50 -0.01 -0.50
2.03 -0.09 2.12
0.87 -0.34 1.21
2.84 -0.04 2.87
1.55 0.43 1.12
-0.31 0.19 -0.50
0.78 -0.37 1.16
1.35 0.70 0.65
1.77 0.40 1.36
2.10 -0.17 2.26
2.48 0.34 2.15
-0.31 0.61 -0.91
0.11 0.02 0.08
0.57 -0.14 0.71
0.27 0.58 -0.30
1.34 -0.66 1.99
0.75 -0.07 0.82
0.43 -0.24 0.67
-1.21 0.04 -1.24
0.80 0.84 -0.04
-1.02 -0.01 -1.01
-0.77 -0.20 -0.56
1.24 -0.16 1.39
1.85 -0.30 2.15
0.11 -0.80 0.91
-0.94 -0.49 -0.45
-2.07 0.40 -2.46
0.26 0.55 -0.30
0.52 -0.66 1.19
-1.30 -0.49 -0.82
-1.75 0.78 -2.53
0.18 0.08 0.10
0.85 -0.08 0.93
-2.79 0.71 -3.50
0.19 -1.00 1.19
0.49 0.28 0.21
-1.87 -0.01 -1.86
0.29 0.26 0.03
-0.21 -0.60 0.39
-1.22 0.56 -1.78
1.12 0.28 0.84
-0.37 -0.72 0.34
-0.49 -0.06 -0.43
-1.40 0.47 -1.87
-1.14 -0.11 -1.03
-0.47 -0.21 -0.26
-1.34 -0.52 -0.81
0.13 -0.07 0.20
0.11 -0.55 0.66
-1.40 0.37 -1.78
0.30 -0.04 0.34
-1.37 0.05 -1.42
-1.26 -0.03 -1.23
-1.57 0.01 -1.58
-1.08 0.57 -1.66
0.53 -0.08 0.61
-0.08 0.66 -0.75
-0.84 0.55 -1.39
-0.09 0.23 -0.31
0.91 0.07 0.84
-0.99 0.03 -1.02
-1.31 0.06 -1.38
0.67 -0.93 1.59
0.63 0.50 0.14
0.57 -0.11 0.68
-0.87 0.47 -1.34
0.15 0.50 -0.35
-0.24 -0.37 0.13
-1.45 0.02 -1.47
0.38 1.00 -0.62
-1.16 -0.06 -1.10
-0.12 0.39 -0.51
-1.97 -1.43 -0.54
-3.85 0.24 -4.09
-1.75 -0.13 -1.62
-1.54 -0.25 -1.30
1.14 -0.21 1.35
-1.16 -0.29 -0.87
-0.17 0.80 -0.97
-0.09 0.46 -0.55
-0.33 0.25 -0.58
-0.63 -0.62 -0.01
-1.05 0.28 -1.33
-0.92 -0.44 -0.48
-0.95 -1.51 0.57
-3.26 -2.97 -0.29
-2.29 -4.47 2.18
-5.78 -5.35 -0.43
-5.73 -4.54 -1.19
-4.75 -5.19 0.44
-4.72 -4.40 -0.32
-4.48 -5.18 0.70
-7.16 -5.17 -1.99
-4.12 -5.22 1.10
-5.89 -5.14 -0.75
-4.15 -4.40 0.26
-5.40 -4.73 -0.67
-3.02 -4.65 1.63
-4.50 -4.34 -0.16
-4.26 -5.83 1.56
-5.50 -4.55 -0.94
0


iter 1
18.24 1.04 17.20
19.79 1.52 18.27
21.34 3.35 17.99
20.35 4.71 15.64
19.76 5.79 13.98
17.78 6.71 11.06
18.41 6.78 11.63
17.69 8.07 9.62
14.90 10.30 4.60
17.05 11.70 5.35
15.74 11.73 4.02
15.22 12.21 3.01
13.66 12.14 1.52
12.01 12.64 -0.62
10.32 13.56 -3.23
12.44 14.42 -1.99
13.07 15.59 -2.51
12.83 15.45 -2.62
12.47 16.02 -3.55
10.88 14.75 -3.87
10.03 14.46 -4.43
11.13 15.16 -4.03
10.11 14.32 -4.21
8.82 12.25 -3.44
