x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
182.466, 7.995, 25.389, -0.048, -0.002, 46.07, -3.995, -1.709, 0.048, 0.0, 66.899, 0.005, -2.207, 0.048, 0.0, 23.388, 4.005, -1.524, 0.048, 0.0, -0.007, 1.842, 0
187.571, 7.977, 25.748, -0.093, -0.004, 45.695, -3.977, -2.148, 0.093, 0.0, 66.418, 0.023, -2.725, 0.093, 0.0, 23.052, 4.023, -1.937, 0.093, 0.0, 0.004, 1.704, 0
192.746, 7.974, 26.079, 0.003, 0.0, 45.234, -3.974, -2.552, -0.003, 0.0, 65.837, 0.026, -3.198, -0.003, 0.0, 22.635, 4.026, -2.318, -0.003, 0.0, 0.001, 1.58, 0
197.985, 7.981, 26.382, 0.058, 0.002, 44.696, -3.981, -2.922, -0.058, 0.0, 65.164, 0.019, -3.629, -0.058, 0.0, 22.145, 4.019, -2.665, -0.058, 0.0, -0.002, 1.463, 0
203.283, 7.983, 26.663, -0.002, -0.0, 44.085, -3.983, -3.267, 0.002, 0.0, 64.408, 0.017, -4.025, 0.002, 0.0, 21.588, 4.017, -2.986, 0.002, 0.0, -0.001, 1.347, 0
208.635, 7.978, 26.921, -0.039, -0.001, 43.407, -3.978, -3.586, 0.039, 0.0, 63.575, 0.022, -4.389, 0.039, 0.0, 20.968, 4.022, -3.281, 0.039, 0.0, 0.003, 1.226, 0
214.038, 7.965, 27.161, -0.038, -0.001, 42.667, -3.965, -3.883, 0.038, 0.0, 62.672, 0.035, -4.723, 0.038, 0.0, 20.291, 4.035, -3.554, 0.038, 0.0, 0.001, 1.128, 0
219.487, 7.974, 27.381, 0.04, 0.001, 41.87, -3.974, -4.158, -0.04, 0.0, 61.704, 0.026, -5.03, -0.04, 0.0, 19.561, 4.026, -3.805, -0.04, 0.0, -0.003, 1.052, 0
224.978, 7.985, 27.584, 0.077, 0.003, 41.019, -3.985, -4.412, -0.077, 0.0, 60.676, 0.015, -5.312, -0.077, 0.0, 18.782, 4.015, -4.035, -0.077, 0.0, -0.001, 0.976, 0
230.51, 7.991, 27.771, 0.015, 0.001, 40.118, -3.991, -4.647, -0.015, 0.0, 59.594, 0.009, -5.572, -0.015, 0.0, 17.959, 4.009, -4.248, -0.015, 0.0, 0.0, 0.877, 0
236.077, 7.992, 27.944, 0.008, 0.0, 39.172, -3.992, -4.865, -0.008, 0.0, 58.462, 0.008, -5.811, -0.008, 0.0, 17.094, 4.008, -4.444, -0.008, 0.0, -0.004, 0.815, 0
241.678, 7.994, 28.105, 0.024, 0.001, 38.184, -3.994, -5.069, -0.024, 0.0, 57.282, 0.006, -6.034, -0.024, 0.0, 16.191, 4.006, -4.627, -0.024, 0.0, 0.004, 0.759, 0
247.31, 8.009, 28.254, 0.076, 0.003, 37.155, -4.009, -5.258, -0.076, 0.0, 56.06, -0.009, -6.239, -0.076, 0.0, 15.253, 3.991, -4.795, -0.076, 0.0, 0.001, 0.708, 0
252.971, 8.02, 28.388, 0.013, 0.0, 36.091, -4.02, -5.43, -0.013, 0.0, 54.797, -0.02, -6.427, -0.013, 0.0, 14.282, 3.98, -4.948, -0.013, 0.0, -0.001, 0.653, 0
258.659, 8.016, 28.515, -0.02, -0.001, 34.992, -4.016, -5.592, 0.02, 0.0, 53.499, -0.016, -6.602, 0.02, 0.0, 13.282, 3.984, -5.092, 0.02, 0.0, -0.003, 0.573, 0
264.371, 8.001, 28.632, -0.036, -0.001, 33.863, -4.001, -5.742, 0.036, 0.0, 52.166, -0.001, -6.764, 0.036, 0.0, 12.253, 3.999, -5.224, 0.036, 0.0, 0.005, 0.555, 0
270.105, 7.997, 28.737, -0.016, -0.001, 32.704, -3.997, -5.879, 0.016, 0.0, 50.802, 0.003, -6.912, 0.016, 0.0, 11.199, 4.003, -5.344, 0.016, 0.0, -0.004, 0.494, 0
275.86, 7.986, 28.835, -0.066, -0.002, 31.518, -3.986, -6.007, 0.066, 0.0, 49.409, 0.014, -7.05, 0.066, 0.0, 10.122, 4.014, -5.456, 0.066, 0.0, -0.001, 0.46, 0
281.634, 7.982, 28.927, 0.005, 0.0, 30.308, -3.982, -6.126, -0.005, 0.0, 47.989, 0.018, -7.179, -0.005, 0.0, 9.023, 4.018, -5.56, -0.005, 0.0, -0.002, 0.445, 0
287.426, 7.992, 29.01, 0.084, 0.003, 29.074, -3.992, -6.235, -0.084, 0.0, 46.544, 0.008, -7.297, -0.084, 0.0, 7.904, 4.008, -5.655, -0.084, 0.0, 0.002, 0.394, 0
293.233, 8.002, 29.085, 0.095, 0.003, 27.819, -4.002, -6.336, -0.095, 0.0, 45.077, -0.002, -7.406, -0.095, 0.0, 6.766, 3.998, -5.741, -0.095, 0.0, -0.0, 0.364, 0
299.056, 8.006, 29.155, -0.011, -0.0, 26.545, -4.006, -6.429, 0.011, 0.0, 43.588, -0.006, -7.507, 0.011, 0.0, 5.612, 3.994, -5.821, 0.011, 0.0, 0.003, 0.349, 0
304.892, 8.008, 29.221, -0.004, -0.0, 25.253, -4.008, -6.518, 0.004, 0.0, 42.079, -0.008, -7.603, 0.004, 0.0, 4.442, 3.992, -5.898, 0.004, 0.0, 0.001, 0.317, 0
310.74, 8.02, 29.282, 0.05, 0.002, 23.943, -4.02, -6.599, -0.05, 0.0, 40.552, -0.02, -7.692, -0.05, 0.0, 3.257, 3.98, -5.968, -0.05, 0.0, -0.007, 0.267, 0
316.601, 8.018, 29.336, 0.012, 0.0, 22.618, -4.018, -6.674, -0.012, 0.0, 39.007, -0.018, -7.773, -0.012, 0.0, 2.059, 3.982, -6.031, -0.012, 0.0, -0.003, 0.259, 0
322.472, 8.008, 29.389, -0.028, -0.001, 21.277, -4.008, -6.746, 0.028, 0.0, 37.447, -0.008, -7.852, 0.028, 0.0, 0.848, 3.992, -6.093, 0.028, 0.0, 0.004, 0.267, 0
328.354, 8.0, 29.438, -0.052, -0.002, 19.923, -4.0, -6.813, 0.052, 0.0, 35.871, -0.0, -7.926, 0.052, 0.0, -0.375, 4.0, -6.15, 0.052, 0.0, 0.003, 0.228, 0
334.244, 7.988, 29.481, -0.083, -0.003, 18.556, -3.988, -6.874, 0.083, 0.0, 34.281, 0.012, -7.993, 0.083, 0.0, -1.609, 4.012, -6.201, 0.083, 0.0, 0.003, 0.214, 0
340.144, 7.981, 29.522, 0.001, 0.0, 17.177, -3.981, -6.932, -0.001, 0.0, 32.677, 0.019, -8.057, -0.001, 0.0, -2.853, 4.019, -6.25, -0.001, 0.0, 0.011, 0.186, 0
346.051, 7.989, 29.559, 0.059, 0.002, 15.786, -3.989, -6.985, -0.059, 0.0, 31.061, 0.011, -8.116, -0.059, 0.0, -4.107, 4.011, -6.295, -0.059, 0.0, 0.005, 0.174, 0
351.966, 7.959, 29.594, -0.212, -0.007, 14.385, -3.959, -7.036, 0.212, 0.0, 29.434, 0.041, -8.173, 0.212, 0.0, -5.369, 4.041, -6.337, 0.212, 0.0, 0.001, -5.463, 1
357.804, 7.942, 28.538, -0.083, -0.003, 13.057, -3.942, -5.995, 0.083, 0.0, 27.878, 0.058, -7.138, 0.083, 0.0, -6.556, 4.058, -5.288, 0.083, 0.0, 0.002, -5.011, 1
363.437, 7.934, 27.567, -0.008, -0.0, 11.931, -3.934, -5.038, 0.008, 0.0, 26.523, 0.066, -6.187, 0.008, 0.0, -7.54, 4.066, -4.324, 0.008, 0.0, 0.008, -4.627, 1
368.882, 7.94, 26.668, 0.029, 0.001, 10.991, -3.94, -4.153, -0.029, 0.0, 25.353, 0.06, -5.307, -0.029, 0.0, -8.337, 4.06, -3.431, -0.029, 0.0, -0.004, -4.275, 1
374.152, 7.938, 25.839, -0.007, -0.0, 10.223, -3.938, -3.338, 0.007, 0.0, 24.353, 0.062, -4.498, 0.007, 0.0, -8.96, 4.062, -2.61, 0.007, 0.0, 0.002, -3.931, 1
379.262, 7.947, 25.075, 0.048, 0.002, 9.612, -3.947, -2.587, -0.048, 0.0, 23.51, 0.053, -3.752, -0.048, 0.0, -9.424, 4.053, -1.851, -0.048, 0.0, -0.001, -3.61, 1
384.223, 7.942, 24.371, -0.038, -0.002, 9.148, -3.942, -1.896, 0.038, 0.0, 22.812, 0.058, -3.067, 0.038, 0.0, -9.741, 4.058, -1.154, 0.038, 0.0, -0.001, -3.344, 1
389.048, 7.931, 23.721, -0.073, -0.003, 8.817, -3.931, -1.259, 0.073, 0.0, 22.247, 0.069, -2.435, 0.073, 0.0, -9.923, 4.069, -0.51, 0.073, 0.0, 0.005, -3.096, 1
393.746, 7.919, 23.122, -0.061, -0.003, 8.61, -3.919, -0.672, 0.061, 0.0, 21.804, 0.081, -1.853, 0.061, 0.0, -9.98, 4.081, 0.083, 0.061, 0.0, 0.0, -2.852, 1
398.329, 7.91, 22.57, -0.029, -0.001, 8.517, -3.91, -0.132, 0.029, 0.0, 21.474, 0.09, -1.319, 0.029, 0.0, -9.922, 4.09, 0.628, 0.029, 0.0, 0.001, -2.623, 1
402.803, 7.906, 22.058, -0.013, -0.001, 8.529, -3.906, 0.368, 0.013, 0.0, 21.248, 0.094, -0.825, 0.013, 0.0, -9.758, 4.094, 1.133, 0.013, 0.0, -0.002, -2.414, 1
407.179, 7.907, 21.587, -0.005, -0.0, 8.638, -3.907, 0.828, 0.005, 0.0, 21.118, 0.093, -0.37, 0.005, 0.0, -9.495, 4.093, 1.599, 0.005, 0.0, -0.002, -2.245, 1
411.463, 7.914, 21.153, 0.019, 0.001, 8.836, -3.914, 1.25, -0.019, 0.0, 21.076, 0.086, 0.047, -0.019, 0.0, -9.143, 4.086, 2.026, -0.019, 0.0, 0.007, -2.049, 1
415.663, 7.921, 20.752, 0.052, 0.002, 9.115, -3.921, 1.641, -0.052, 0.0, 21.115, 0.079, 0.432, -0.052, 0.0, -8.707, 4.079, 2.422, -0.052, 0.0, 0.004, -1.908, 1
419.786, 7.934, 20.383, 0.053, 0.003, 9.471, -3.934, 1.998, -0.053, 0.0, 21.228, 0.066, 0.785, -0.053, 0.0, -8.195, 4.066, 2.785, -0.053, 0.0, -0.002, -1.73, 1
423.836, 7.952, 20.043, 0.086, 0.004, 9.895, -3.952, 2.327, -0.086, 0.0, 21.41, 0.048, 1.108, -0.086, 0.0, -7.613, 4.048, 3.118, -0.086, 0.0, 0.003, -1.607, 1
427.821, 7.964, 19.73, 0.052, 0.003, 10.384, -3.964, 2.63, -0.052, 0.0, 21.654, 0.036, 1.406, -0.052, 0.0, -6.966, 4.036, 3.426, -0.052, 0.0, -0.008, -1.482, 1
431.745, 7.967, 19.44, 0.031, 0.002, 10.931, -3.967, 2.909, -0.031, 0.0, 21.956, 0.033, 1.68, -0.031, 0.0, -6.259, 4.033, 3.709, -0.031, 0.0, -0.007, -1.381, 1
435.613, 7.972, 19.172, 0.025, 0.001, 11.533, -3.972, 3.166, -0.025, 0.0, 22.312, 0.028, 1.932, -0.025, 0.0, -5.497, 4.028, 3.971, -0.025, 0.0, -0.012, -1.263, 1
439.428, 7.963, 18.925, -0.045, -0.002, 12.184, -3.963, 3.403, 0.045, 0.0, 22.716, 0.037, 2.164, 0.045, 0.0, -4.685, 4.037, 4.212, 0.045, 0.0, 0.003, -1.175, 1
443.196, 7.958, 18.7, -0.025, -0.001, 12.881, -3.958, 3.617, 0.025, 0.0, 23.165, 0.042, 2.374, 0.025, 0.0, -3.826, 4.042, 4.431, 0.025, 0.0, 0.002, -1.096, 1
446.92, 7.958, 18.491, -0.005, -0.0, 13.619, -3.958, 3.816, 0.005, 0.0, 23.654, 0.042, 2.567, 0.005, 0.0, -2.924, 4.042, 4.634, 0.005, 0.0, 0.006, -0.997, 1
450.604, 7.957, 18.298, 0.005, 0.0, 14.397, -3.957, 3.999, -0.005, 0.0, 24.181, 0.043, 2.746, -0.005, 0.0, -1.983, 4.043, 4.821, -0.005, 0.0, -0.001, -0.919, 1
454.25, 7.954, 18.118, -0.02, -0.001, 15.209, -3.954, 4.169, 0.02, 0.0, 24.743, 0.046, 2.91, 0.02, 0.0, -1.005, 4.046, 4.994, 0.02, 0.0, 0.004, -0.848, 1
457.861, 7.949, 17.955, -0.029, -0.002, 16.055, -3.949, 4.322, 0.029, 0.0, 25.336, 0.051, 3.059, 0.029, 0.0, 0.005, 4.051, 5.152, 0.029, 0.0, 0.006, -0.798, 1
461.44, 7.949, 17.803, -0.003, -0.0, 16.93, -3.949, 4.464, 0.003, 0.0, 25.959, 0.051, 3.196, 0.003, 0.0, 1.047, 4.051, 5.298, 0.003, 0.0, 0.005, -0.701, 1
464.99, 7.95, 17.662, 0.01, 0.001, 17.833, -3.95, 4.595, -0.01, 0.0, 26.607, 0.05, 3.322, -0.01, 0.0, 2.117, 4.05, 5.432, -0.01, 0.0, 0.001, -0.662, 1
468.512, 7.953, 17.532, 0.021, 0.001, 18.761, -3.953, 4.715, -0.021, 0.0, 27.281, 0.047, 3.438, -0.021, 0.0, 3.212, 4.047, 5.556, -0.021, 0.0, 0.007, -0.611, 1
472.01, 7.958, 17.413, 0.016, 0.001, 19.712, -3.958, 4.824, -0.016, 0.0, 27.976, 0.042, 3.542, -0.016, 0.0, 4.332, 4.042, 5.669, -0.016, 0.0, -0.002, -0.568, 1
475.484, 7.964, 17.303, 0.026, 0.002, 20.685, -3.964, 4.925, -0.026, 0.0, 28.692, 0.036, 3.638, -0.026, 0.0, 5.474, 4.036, 5.773, -0.026, 0.0, 0.004, -0.521, 1
478.937, 7.967, 17.2, 0.013, 0.001, 21.677, -3.967, 5.017, -0.013, 0.0, 29.426, 0.033, 3.726, -0.013, 0.0, 6.636, 4.033, 5.869, -0.013, 0.0, 0.001, -0.496, 1
482.37, 7.967, 17.106, -0.008, -0.0, 22.687, -3.967, 5.101, 0.008, 0.0, 30.177, 0.033, 3.806, 0.008, 0.0, 7.816, 4.033, 5.956, 0.008, 0.0, -0.002, 5.144, 0
485.867, 7.955, 18.107, -0.052, -0.003, 23.63, -3.955, 4.091, 0.052, 0.0, 30.861, 0.045, 2.791, 0.052, 0.0, 8.93, 4.045, 4.949, 0.052, 0.0, -0.003, 4.752, 0
489.559, 7.952, 19.031, -0.022, -0.001, 24.377, -3.952, 3.156, 0.022, 0.0, 31.348, 0.048, 1.852, 0.022, 0.0, 9.849, 4.048, 4.018, 0.022, 0.0, 0.01, -1.216, 1
493.348, 7.951, 18.798, 0.001, 0.0, 25.025, -3.951, 3.38, -0.001, 0.0, 31.735, 0.049, 2.072, -0.001, 0.0, 10.67, 4.049, 4.245, -0.001, 0.0, 0.006, 4.471, 0
497.174, 7.957, 19.669, 0.021, 0.001, 25.634, -3.957, 2.499, -0.021, 0.0, 32.082, 0.043, 1.187, -0.021, 0.0, 11.452, 4.043, 3.367, -0.021, 0.0, 0.003, 4.137, 0
501.168, 7.963, 20.47, 0.017, 0.001, 26.072, -3.963, 1.688, -0.017, 0.0, 32.257, 0.037, 0.371, -0.017, 0.0, 12.064, 4.037, 2.559, -0.017, 0.0, 0.003, 3.818, 0
