x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
147.066, 11.984, 24.108, -0.088, -0.004, 100, -4, 0, 0, 0, 80.515, 0.016, -4.163, 0.088, 0.0, 16.416, 4.016, -2.725, 0.088, 0.0, 0.005, 3.463, 0
151.929, 11.985, 24.699, 0.0, 0.0, 100, -4, 0, 0, 0, 79.524, 0.238, -6.029, 1.673, 0.089, 15.828, 4.015, -3.353, -0.0, 0.0, -0.001, 2.47, 0
156.921, 12.004, 25.333, 0.075, 0.003, 100, -4, 0, 0, 0, 78.074, 1.187, -8.06, 4.133, 0.239, 15.101, 3.996, -4.048, -0.075, 0.0, -0.004, 2.23, 0
162.024, 12.012, 25.818, 0.054, 0.002, 113.737, -5.675, -4.221, 3.693, 0.172, 97.503, -0.012, -3.124, -0.054, 0.0, 14.224, 3.988, -4.934, -0.054, 0.0, -0.007, 3.172, 0
167.227, 12.021, 26.351, 0.055, 0.002, 112.878, -5.121, -4.653, 2.705, 0.127, 96.831, -0.021, -3.762, -0.055, 0.0, 13.171, 3.979, -5.819, -0.055, 0.0, -0.005, 2.447, 0
172.534, 12.033, 26.81, 0.039, 0.001, 111.925, -4.745, -5.064, 1.866, 0.087, 96.034, -0.033, -4.327, -0.039, 0.0, 11.947, 3.967, -6.566, -0.039, 0.0, -0.004, 1.653, 0
177.932, 12.04, 27.241, 0.021, 0.001, 110.882, -4.496, -5.489, 1.246, 0.058, 95.125, -0.04, -4.862, -0.021, 0.0, 10.58, 3.96, -7.235, -0.021, 0.0, -0.0, 1.681, 0
183.408, 12.021, 27.603, -0.105, -0.004, 109.757, -4.31, -5.869, 0.928, 0.038, 94.117, -0.021, -5.315, 0.105, 0.0, 9.089, 3.979, -7.796, 0.105, 0.0, 0.002, 1.616, 0
188.954, 12.007, 27.951, -0.096, -0.003, 108.558, -4.19, -6.244, 0.624, 0.024, 93.024, -0.007, -5.695, 0.096, 0.0, 7.492, 3.993, -8.31, 0.096, 0.0, 0.006, 1.999, 0
194.568, 11.983, 28.228, -0.121, -0.004, 107.283, -4.098, -6.552, 0.456, 0.015, 91.862, 0.017, -5.959, 0.121, 0.0, 5.795, 4.017, -8.728, 0.121, 0.0, 0.001, 1.308, 0
