x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
191.06, -0.05, 21.976, 0.024, 0.001, 191.06, -4.05, 21.976, 0.024, 0.001, 318.489, 0.0, 18.5, 0.0, 0.0, 230.914, 4.0, 18.412, 0.0, 0.0, 0.031, 3.99, 0
202.477, -0.08, 24.006, -0.334, -0.014, 202.477, -4.08, 24.006, -0.334, -0.014, 327.337, 0.0, 16.883, 0.0, 0.0, 262.474, 4.0, 21.444, 0.0, 0.0, 0.031, 5.199, 0
214.765, -0.241, 24.886, -0.361, -0.015, 214.765, -4.241, 24.886, -0.361, -0.015, 361.688, 0.0, 19.586, 0.0, 0.0, 273.123, 4.0, 20.853, 0.0, 0.0, 0.021, 4.508, 0
227.344, -0.155, 25.547, 0.367, 0.014, 227.344, -4.155, 25.547, 0.367, 0.014, 371.392, 0.0, 19.206, 0.0, 0.0, 283.368, 4.0, 20.091, 0.0, 0.0, -0.015, -2.297, 0
240.293, -0.115, 26.109, 0.201, 0.008, 240.293, -4.115, 26.109, 0.201, 0.008, 380.936, 0.0, 18.955, 0.0, 0.0, 293.3, 4.0, 19.613, 0.0, 0.0, -0.011, 2.507, 0
253.454, 0.107, 26.78, 0.341, 0.013, 253.454, -3.893, 26.78, 0.341, 0.013, 390.374, 0.0, 18.792, 0.0, 0.0, 303.033, 4.0, 19.3, 0.0, 0.0, 0.01, 4.946, 0
267.038, 0.17, 27.725, 0.282, 0.01, 267.038, -3.83, 27.725, 0.282, 0.01, 399.746, 0.0, 18.693, 0.0, 0.0, 312.634, 4.0, 19.095, 0.0, 0.0, -0.027, -0.482, 0
281.006, 0.324, 27.989, 0.14, 0.005, 281.006, -3.676, 27.989, 0.14, 0.005, 409.08, 0.0, 18.64, 0.0, 0.0, 322.15, 4.0, 18.962, 0.0, 0.0, -0.013, 2.911, 0
295.001, 0.206, 27.804, -0.518, -0.019, 295.001, -3.794, 27.804, -0.518, -0.019, 418.394, 0.0, 18.621, 0.0, 0.0, 331.612, 4.0, 18.878, 0.0, 0.0, 0.04, -0.784, 0
308.952, 0.074, 27.94, -0.29, -0.01, 308.952, -3.926, 27.94, -0.29, -0.01, 427.705, 0.0, 18.626, 0.0, 0.0, 341.041, 4.0, 18.846, 0.0, 0.0, -0.002, -0.543, 0
