x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
191.209, 0.067, 23.629, -0.002, -0.0, 191.209, -3.933, 23.629, -0.002, -0.0, 212.086, 0.0, 21.453, 0.0, 0.0, 334.292, 4.0, 22.449, 0.0, 0.0, 0.081, 1.176, 3
202.955, 1.025, 23.319, 2.52, 0.108, 202.955, -2.975, 23.319, 2.52, 0.108, 222.693, 0.251, 20.934, 2.112, 0.101, 345.461, 4.0, 22.201, 0.0, 0.0, 0.005, 2.68, 3
214.538, 2.51, 23.032, 3.077, 0.133, 233.14, 0.216, 20.728, -0.314, -0.015, 272.626, 5.214, 19.209, -3.026, -0.156, 336.297, 8.0, 22.337, 0.0, 0.0, -0.046, 3.31, 0
226.373, 3.41, 24.57, 1.261, 0.051, 243.451, 0.083, 20.497, -0.206, -0.01, 282.388, 4.411, 19.743, -1.149, -0.058, 347.424, 8.0, 22.157, 0.0, 0.0, -0.011, 2.291, 0
238.886, 3.823, 25.599, 0.633, 0.025, 253.659, 0.028, 20.322, -0.077, -0.004, 292.332, 4.133, 20.034, -0.385, -0.019, 272.937, 8.941, 19.365, -2.436, -0.125, -0.02, 0.863, 0
251.864, 4.034, 26.318, 0.252, 0.01, 263.789, 0.009, 20.188, -0.026, -0.001, 302.397, 4.042, 20.241, -0.124, -0.006, 282.731, 8.315, 19.748, -0.886, -0.045, 0.001, 1.734, 0
265.177, 4.015, 26.991, -0.284, -0.011, 273.86, 0.003, 20.086, -0.008, -0.0, 312.554, 4.013, 20.399, -0.039, -0.002, 292.657, 8.102, 19.959, -0.294, -0.015, -0.003, 1.086, 0
278.791, 3.864, 27.457, -0.265, -0.01, 283.885, 0.001, 20.007, -0.003, -0.0, 322.781, 4.004, 20.521, -0.012, -0.001, 302.671, 8.032, 20.107, -0.095, -0.005, 0.035, 0.969, 0
292.575, 3.895, 27.88, 0.135, 0.005, 293.875, 0.0, 19.947, -0.001, -0.0, 333.064, 4.001, 20.616, -0.004, -0.0, 312.751, 8.01, 20.218, -0.03, -0.001, -0.012, 0.092, 0
306.676, 3.926, 28.484, -0.087, -0.003, 303.838, 0.0, 19.901, -0.0, -0.0, 343.388, 4.0, 20.689, -0.001, -0.0, 322.879, 8.003, 20.302, -0.009, -0.0, 0.023, 0.827, 0
321.012, 3.934, 28.786, -0.136, -0.005, 313.78, 0.0, 19.865, -0.0, -0.0, 353.746, 4.0, 20.746, -0.0, -0.0, 333.045, 8.001, 20.366, -0.003, -0.0, 0.021, 0.665, 0
335.394, 3.921, 28.876, -0.075, -0.003, 390.751, 0.0, 20.404, 0.0, 0.0, 364.129, 4.0, 20.79, -0.0, -0.0, 343.239, 8.0, 20.415, -0.001, -0.0, -0.08, -1.464, 2
349.755, 2.644, 28.7, -3.211, -0.111, 400.934, 0.0, 20.319, 0.0, 0.0, 374.532, 4.0, 20.826, -0.0, -0.0, 353.455, 8.0, 20.453, -0.0, -0.0, -0.01, -0.016, 2
363.968, 0.57, 28.384, -4.398, -0.154, 363.968, -3.43, 28.384, -4.398, -0.154, 411.076, 0.0, 20.24, 0.0, 0.0, 384.951, 4.0, 20.854, -0.0, -0.0, 0.057, 1.685, 0
378.327, -0.484, 28.797, -1.122, -0.039, 378.327, -4.484, 28.797, -1.122, -0.039, 421.179, 0.0, 20.165, 0.0, 0.0, 395.384, 4.0, 20.877, -0.0, -0.0, 0.027, 1.001, 0
392.746, -0.571, 28.768, 0.158, 0.005, 392.746, -4.571, 28.768, 0.158, 0.005, 431.246, 0.0, 20.094, 0.0, 0.0, 405.826, 4.0, 20.896, -0.0, -0.0, 0.027, 1.099, 0
407.182, -0.337, 29.211, 0.441, 0.015, 407.182, -4.337, 29.211, 0.441, 0.015, 441.278, 0.0, 20.027, 0.0, 0.0, 416.278, 4.0, 20.912, -0.0, -0.0, -0.013, 1.034, 0
421.876, -0.193, 29.44, 0.337, 0.011, 421.876, -4.193, 29.44, 0.337, 0.011, 451.278, 0.0, 19.964, 0.0, 0.0, 426.737, 4.0, 20.925, -0.0, -0.0, -0.002, -11.68, 1
435.695, -0.105, 25.626, 0.054, 0.002, 435.695, -4.105, 25.626, 0.054, 0.002, 461.246, 0.0, 19.903, 0.0, 0.0, 437.202, 4.0, 20.937, -0.0, -0.0, 0.005, -5.215, 1
