x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
180.022, 7.974, 25.175, -0.188, -0.007, 224.251, 4.0, 22.381, 0.0, 0.0, 280.022, 8, 25.175, -0.188, -0.007, 201.867, 12.0, 21.743, 0.0, 0.0, 0.001, 6.276, 0
183.202, 7.953, 25.96, -0.17, -0.007, 227.017, 4.0, 21.631, 0.0, 0.0, 283.202, 8, 25.96, -0.17, -0.007, 204.583, 12.0, 21.704, 0.0, 0.0, 0.015, 11.144, 0
186.505, 7.968, 27.353, 0.095, 0.003, 229.69, 4.0, 20.881, 0.0, 0.0, 286.505, 8, 27.353, 0.095, 0.003, 207.295, 12.0, 21.663, 0.0, 0.0, -0.004, 13.022, 0
189.992, 7.969, 28.981, 0.02, 0.001, 232.269, 4.0, 20.131, 0.0, 0.0, 289.992, 8, 28.981, 0.02, 0.001, 210.001, 12.0, 21.622, 0.0, 0.0, 0.002, 14.578, 0
193.69, 7.976, 30.803, 0.057, 0.002, 234.754, 4.0, 19.381, 0.0, 0.0, 256.773, 6.402, 19.627, 3.496, 0.176, 212.702, 12.0, 21.579, 0.0, 0.0, -0.013, 4.492, 0
197.564, 7.945, 31.364, -0.262, -0.008, 237.145, 4.0, 18.631, 0.0, 0.0, 259.244, 6.75, 19.798, 2.971, 0.149, 215.397, 12.0, 21.534, 0.0, 0.0, -0.004, 6.321, 0
201.517, 7.898, 32.153, -0.382, -0.012, 239.444, 4.0, 17.96, 0.0, 0.0, 261.734, 7.031, 19.954, 2.438, 0.122, 218.087, 12.0, 21.488, 0.0, 0.0, 0.007, 8.503, 0
205.581, 7.873, 33.217, -0.198, -0.006, 241.692, 4.0, 18.018, 0.0, 0.0, 264.24, 7.254, 20.088, 1.955, 0.097, 220.771, 12.0, 21.44, 0.0, 0.0, 0.025, 4.526, 0
209.756, 7.93, 33.78, 0.507, 0.015, 243.946, 4.0, 18.074, 0.0, 0.0, 266.76, 7.429, 20.202, 1.543, 0.076, 223.449, 12.0, 21.392, 0.0, 0.0, -0.006, 4.734, 0
214.003, 7.974, 34.374, 0.346, 0.01, 246.208, 4.0, 18.129, 0.0, 0.0, 269.293, 7.564, 20.3, 1.203, 0.059, 226.121, 12.0, 21.347, 0.0, 0.0, 0.005, 1.9, 0
218.31, 8.034, 34.609, 0.495, 0.014, 248.476, 4.0, 18.182, 0.0, 0.0, 271.835, 7.669, 20.381, 0.93, 0.046, 228.788, 12.0, 21.305, 0.0, 0.0, -0.012, 8.171, 0
222.679, 8.054, 35.634, 0.129, 0.004, 250.751, 4.0, 18.233, 0.0, 0.0, 274.387, 7.749, 20.448, 0.714, 0.035, 231.449, 12.0, 21.266, 0.0, 0.0, -0.019, 7.957, 0
227.174, 8.001, 36.625, -0.504, -0.014, 253.032, 4.0, 18.281, 0.0, 0.0, 276.946, 7.81, 20.508, 0.546, 0.027, 234.106, 12.0, 21.229, 0.0, 0.0, 0.012, 4.661, 0
231.777, 7.984, 37.211, -0.085, -0.002, 255.319, 4.0, 18.325, 0.0, 0.0, 279.512, 7.856, 20.564, 0.416, 0.02, 236.758, 12.0, 21.195, 0.0, 0.0, -0.0, 5.088, 0
236.455, 7.972, 37.847, -0.095, -0.003, 257.612, 4.0, 18.364, 0.0, 0.0, 282.085, 7.892, 20.618, 0.316, 0.015, 239.406, 12.0, 21.163, 0.0, 0.0, 0.0, 2.444, 0
241.199, 7.961, 38.153, -0.093, -0.002, 259.908, 4.0, 18.398, 0.0, 0.0, 284.665, 7.918, 20.671, 0.239, 0.012, 242.05, 12.0, 21.132, 0.0, 0.0, 0.009, 1.513, 0
245.976, 7.985, 38.341, 0.245, 0.006, 262.21, 4.0, 18.429, 0.0, 0.0, 287.251, 7.938, 20.745, 0.181, 0.009, 244.69, 12.0, 21.104, 0.0, 0.0, -0.021, 3.89, 0
250.788, 7.935, 38.825, -0.52, -0.013, 264.514, 4.0, 18.457, 0.0, 0.0, 289.849, 7.954, 20.863, 0.137, 0.007, 247.327, 12.0, 21.076, 0.0, 0.0, 0.005, 2.326, 0
255.654, 7.891, 39.118, -0.319, -0.008, 266.823, 4.0, 18.482, 0.0, 0.0, 292.462, 7.965, 20.974, 0.103, 0.005, 249.961, 12.0, 21.05, 0.0, 0.0, 0.005, -8.015, 1
260.502, 7.871, 38.117, -0.133, -0.003, 269.134, 4.0, 18.505, 0.0, 0.0, 295.088, 7.974, 21.079, 0.078, 0.004, 252.591, 12.0, 21.025, 0.0, 0.0, 0.015, -17.021, 1
265.178, 7.91, 35.988, 0.368, 0.01, 271.448, 4.0, 18.525, 0.0, 0.0, 297.727, 7.98, 21.177, 0.058, 0.003, 255.218, 12.0, 21.0, 0.0, 0.0, -0.01, -15.284, 1
269.597, 7.921, 34.079, 0.049, 0.001, 273.764, 4.0, 18.544, 0.0, 0.0, 300.375, 7.985, 21.144, 0.044, 0.002, 372.719, 10.563, 16.16, -4.279, -0.259, 0.019, -9.597, 3
273.806, 7.988, 32.875, 0.564, 0.017, 276.083, 4.0, 18.561, 0.0, 0.0, 303.014, 7.989, 21.05, 0.033, 0.002, 374.745, 10.057, 16.161, -4.097, -0.248, 0.066, -5.254, 3
277.879, 8.267, 32.141, 2.294, 0.071, 278.404, 4.0, 18.576, 0.0, 0.0, 305.642, 7.992, 20.962, 0.024, 0.001, 418.078, 12.0, 16.26, 0.0, 0.0, 0.084, -1.768, 3
281.86, 8.811, 31.694, 4.431, 0.139, 280.726, 4.0, 18.59, 0.0, 0.0, 308.259, 7.994, 20.885, 0.018, 0.001, 420.071, 11.779, 16.133, -1.428, -0.088, 0.037, -4.461, 3
285.781, 9.473, 31.0, 5.265, 0.168, 283.051, 4.0, 18.603, 0.0, 0.0, 310.866, 7.995, 20.818, 0.014, 0.001, 421.987, 11.134, 15.704, -3.698, -0.231, -0.012, -0.201, 3
289.661, 10.096, 31.023, 4.973, 0.159, 313.466, 7.997, 20.759, 0.01, 0.0, 423.914, 10.548, 15.495, -4.262, -0.268, 289.661, 14.096, 31.023, 4.973, 0.159, -0.064, 3.548, 0
293.582, 10.529, 31.675, 3.448, 0.108, 316.059, 7.997, 20.702, 0.008, 0.0, 425.856, 10.046, 15.486, -4.075, -0.257, 293.582, 14.529, 31.675, 3.448, 0.108, -0.059, 6.594, 0
297.591, 10.781, 32.627, 1.98, 0.061, 318.644, 7.998, 20.647, 0.006, 0.0, 397.591, 12, 32.627, 1.98, 0.061, 297.591, 14.781, 32.627, 1.98, 0.061, -0.032, 8.624, 0
301.719, 10.93, 33.745, 1.164, 0.034, 321.223, 7.999, 20.592, 0.004, 0.0, 469.009, 12.0, 16.359, 0.0, 0.0, 301.719, 14.93, 33.745, 1.164, 0.034, -0.009, 8.301, 0
