x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
142.658, 0.0, 25.0, 0.0, 0.0, 142.658, -4.0, 25.0, 0.0, 0.0, 271.27, 0.0, 21.634, 0.0, 0.0, 172.551, 4.0, 21.324, 0.0, 0.0, 0.082, -0.598, 3
145.774, 0.182, 24.892, 1.279, 0.051, 145.774, -3.818, 24.892, 1.279, 0.051, 273.958, 0.0, 21.267, 0.0, 0.0, 175.185, 4.0, 20.574, 0.0, 0.0, 0.094, -0.988, 3
148.862, 0.548, 24.652, 2.72, 0.11, 148.862, -3.452, 24.652, 2.72, 0.11, 276.603, 0.0, 20.955, 0.0, 0.0, 177.725, 4.0, 19.824, 0.0, 0.0, 0.045, -0.017, 3
151.931, 0.986, 24.564, 3.41, 0.138, 151.931, -3.014, 24.564, 3.41, 0.138, 279.211, 0.0, 20.689, 0.0, 0.0, 180.172, 4.0, 19.074, 0.0, 0.0, 0.021, -0.668, 3
154.992, 1.456, 24.436, 3.711, 0.151, 154.992, -2.544, 24.436, 3.711, 0.151, 281.787, 0.0, 20.461, 0.0, 0.0, 182.525, 4.0, 18.324, 0.0, 0.0, -0.001, -0.729, 3
158.043, 1.917, 24.349, 3.676, 0.15, 158.043, -2.083, 24.349, 3.676, 0.15, 284.336, 0.0, 20.265, 0.0, 0.0, 184.784, 4.0, 17.579, 0.0, 0.0, -0.014, 0.252, 3
161.092, 2.347, 24.411, 3.473, 0.141, 286.862, 0.0, 20.096, 0.0, 0.0, 186.954, 4.0, 16.944, 0.0, 0.0, 261.092, 8, 24.411, 3.473, 0.141, 0.006, -0.681, 3
164.138, 2.793, 24.314, 3.55, 0.145, 289.368, 0.0, 19.951, 0.0, 0.0, 189.015, 4.215, 16.368, 1.414, 0.086, 257.232, 9.982, 20.0, -4.073, -0.201, 0.006, -1.07, 3
167.17, 3.249, 24.168, 3.619, 0.149, 291.856, 0.0, 19.826, 0.0, 0.0, 191.05, 4.212, 15.988, 0.505, 0.032, 259.75, 9.558, 20.152, -3.552, -0.174, -0.007, -0.354, 3
170.192, 3.686, 24.14, 3.507, 0.144, 294.33, 0.0, 19.718, 0.0, 0.0, 193.033, 4.187, 15.611, 0.076, 0.005, 262.287, 9.212, 20.297, -2.961, -0.145, 0.013, -0.659, 3
173.201, 4.152, 24.029, 3.692, 0.152, 296.791, 0.0, 19.627, 0.0, 0.0, 194.97, 4.157, 15.281, -0.109, -0.007, 216.352, 6.032, 18.608, 4.018, 0.213, -0.006, -1.15, 3
176.201, 4.6, 23.9, 3.583, 0.149, 299.241, 0.0, 19.548, 0.0, 0.0, 196.868, 4.129, 15.014, -0.174, -0.012, 218.695, 6.447, 18.702, 3.506, 0.185, 0.006, -0.177, 3
179.186, 5.059, 23.866, 3.659, 0.152, 301.681, 0.0, 19.482, 0.0, 0.0, 198.736, 4.104, 14.813, -0.185, -0.012, 221.049, 6.786, 18.798, 2.93, 0.155, 0.005, 0.183, 3
182.168, 5.527, 23.878, 3.733, 0.155, 304.114, 0.0, 19.426, 0.0, 0.0, 200.581, 4.084, 14.663, -0.171, -0.012, 223.411, 7.057, 18.878, 2.383, 0.126, -0.013, 0.174, 3
185.158, 5.966, 23.928, 3.549, 0.147, 306.54, 0.0, 19.38, 0.0, 0.0, 202.424, 4.067, 14.913, -0.152, -0.01, 225.781, 7.271, 18.938, 1.903, 0.1, 0.004, -0.294, 3
188.146, 6.419, 23.882, 3.607, 0.15, 204.299, 4.053, 15.155, -0.128, -0.008, 228.154, 7.438, 18.981, 1.5, 0.079, 246.076, 12.0, 19.044, 0.0, 0.0, 0.009, -0.424, 3
191.127, 6.888, 23.81, 3.727, 0.155, 206.07, 3.355, 15.022, -3.341, -0.219, 230.531, 7.568, 19.011, 1.172, 0.062, 248.464, 12.0, 19.221, 0.0, 0.0, -0.013, -0.002, 3
194.107, 7.328, 23.838, 3.545, 0.148, 207.901, 2.735, 15.001, -4.325, -0.281, 232.91, 7.669, 19.033, 0.91, 0.048, 250.874, 12.0, 19.391, 0.0, 0.0, 0.0, -0.115, 3
197.086, 7.771, 23.823, 3.544, 0.148, 209.787, 2.2, 15.226, -4.311, -0.276, 235.291, 7.746, 19.048, 0.704, 0.037, 253.305, 12.0, 19.554, 0.0, 0.0, 0.0, 0.276, 3
200.065, 8.214, 23.857, 3.551, 0.148, 274.464, 4.0, 20.87, 0.0, 0.0, 237.673, 7.806, 19.059, 0.542, 0.028, 255.755, 12.0, 19.709, 0.0, 0.0, -0.003, -0.956, 3
203.043, 8.651, 23.745, 3.489, 0.146, 277.073, 4.0, 20.874, 0.0, 0.0, 240.056, 7.852, 19.067, 0.416, 0.022, 258.225, 12.0, 19.857, 0.0, 0.0, 0.01, 0.431, 3
206.011, 9.109, 23.777, 3.642, 0.152, 279.682, 4.0, 20.877, 0.0, 0.0, 242.44, 7.887, 19.073, 0.319, 0.017, 260.713, 12.0, 19.999, 0.0, 0.0, -0.0, -0.75, 3
208.979, 9.563, 23.685, 3.625, 0.152, 282.292, 4.0, 20.88, 0.0, 0.0, 244.824, 7.914, 19.077, 0.244, 0.013, 263.219, 12.0, 20.136, 0.0, 0.0, -0.006, -0.567, 3
211.938, 10.003, 23.628, 3.526, 0.148, 247.209, 7.934, 19.08, 0.187, 0.01, 265.741, 12.0, 20.271, 0.0, 0.0, 217.76, 17.074, 21.01, -2.577, -0.122, -0.092, 3.151, 0
214.93, 10.254, 24.179, 2.252, 0.093, 249.594, 7.95, 19.082, 0.143, 0.007, 268.282, 12.0, 20.418, 0.0, 0.0, 220.396, 16.828, 21.101, -2.101, -0.099, -0.036, 7.548, 0
217.998, 10.462, 25.164, 1.787, 0.071, 251.98, 7.962, 19.083, 0.109, 0.006, 270.84, 12.0, 20.558, 0.0, 0.0, 223.041, 16.635, 21.176, -1.675, -0.079, -0.021, 12.499, 0
221.211, 10.641, 26.745, 1.535, 0.057, 254.365, 7.971, 19.084, 0.083, 0.004, 273.415, 12.0, 20.677, 0.0, 0.0, 225.694, 16.484, 21.236, -1.315, -0.062, -0.005, 16.838, 0
224.643, 10.825, 28.852, 1.55, 0.054, 256.75, 7.978, 19.083, 0.064, 0.003, 276.004, 12.0, 20.764, 0.0, 0.0, 228.352, 16.367, 21.285, -1.02, -0.048, -0.011, 15.923, 0
228.334, 10.992, 30.852, 1.404, 0.045, 259.136, 7.983, 19.082, 0.048, 0.003, 278.601, 12.0, 20.813, 0.0, 0.0, 231.016, 16.278, 21.326, -0.785, -0.037, -0.018, 14.234, 0
232.266, 11.117, 32.648, 1.018, 0.031, 261.521, 7.987, 19.079, 0.037, 0.002, 281.205, 12.0, 20.858, 0.0, 0.0, 233.684, 16.209, 21.361, -0.6, -0.028, -0.002, 12.208, 0
236.411, 11.24, 34.175, 1.013, 0.03, 263.906, 7.99, 19.077, 0.028, 0.001, 283.814, 12.0, 20.901, 0.0, 0.0, 236.355, 16.158, 21.391, -0.456, -0.021, -0.005, 10.982, 0
240.741, 11.351, 35.551, 0.902, 0.025, 266.29, 7.992, 19.073, 0.022, 0.001, 286.428, 12.0, 20.941, 0.0, 0.0, 239.031, 16.118, 21.419, -0.346, -0.016, -0.001, 10.665, 0
245.24, 11.461, 36.885, 0.896, 0.024, 268.674, 7.994, 19.07, 0.016, 0.001, 289.047, 12.0, 20.978, 0.0, 0.0, 241.709, 16.089, 21.444, -0.261, -0.012, -0.012, 7.885, 0
249.893, 11.529, 37.878, 0.498, 0.013, 271.058, 7.996, 19.07, 0.013, 0.001, 291.671, 12.0, 21.013, 0.0, 0.0, 244.391, 16.067, 21.467, -0.197, -0.009, 0.01, 7.892, 0
254.668, 11.63, 38.858, 0.874, 0.023, 273.442, 7.997, 19.073, 0.01, 0.001, 294.299, 12.0, 21.045, 0.0, 0.0, 247.075, 16.05, 21.489, -0.148, -0.007, -0.007, 6.172, 0
259.558, 11.711, 39.634, 0.61, 0.015, 275.826, 7.997, 19.078, 0.007, 0.0, 296.931, 12.0, 21.072, 0.0, 0.0, 249.762, 16.037, 21.509, -0.111, -0.005, -0.001, 5.558, 0
264.541, 11.784, 40.094, 0.583, 0.015, 278.211, 7.998, 19.081, 0.006, 0.0, 299.566, 12.0, 21.095, 0.0, 0.0, 407.808, 16.001, 19.412, -0.002, -0.0, 0.078, -0.272, 3
269.535, 12.185, 39.89, 3.733, 0.093, 280.596, 7.999, 19.083, 0.004, 0.0, 302.203, 12.0, 21.115, 0.0, 0.0, 410.235, 16.0, 19.426, -0.001, -0.0, 0.063, -0.285, 3
274.487, 12.913, 39.539, 6.24, 0.157, 282.982, 7.999, 19.084, 0.003, 0.0, 304.844, 12.0, 21.134, 0.0, 0.0, 412.664, 16.0, 19.44, -0.001, -0.0, -0.003, -0.361, 3
279.43, 13.68, 39.514, 6.107, 0.153, 285.367, 7.999, 19.084, 0.002, 0.0, 307.486, 12.0, 21.152, 0.0, 0.0, 415.095, 16.0, 19.452, -0.001, -0.0, -0.005, -0.407, 3
284.37, 14.424, 39.491, 5.919, 0.149, 310.135, 12.0, 21.261, 0.0, 0.0, 417.527, 16.0, 19.463, -0.001, -0.0, 354.619, 19.999, 20.208, 0.004, 0.0, 0.003, -0.637, 3
289.301, 15.174, 39.397, 6.012, 0.151, 312.797, 12.0, 21.365, 0.0, 0.0, 419.96, 16.0, 19.474, -0.0, -0.0, 357.145, 19.999, 20.215, 0.003, 0.0, 0.001, -1.153, 3
294.22, 15.927, 39.251, 6.012, 0.152, 315.472, 12.0, 21.465, 0.0, 0.0, 422.395, 16.0, 19.484, -0.0, -0.0, 359.672, 19.999, 20.223, 0.002, 0.0, 0.001, -0.45, 3
299.123, 16.68, 39.192, 6.025, 0.153, 318.159, 12.0, 21.524, 0.0, 0.0, 424.831, 16.0, 19.494, -0.0, -0.0, 362.201, 19.999, 20.23, 0.002, 0.0, 0.002, 0.087, 3
304.021, 17.442, 39.191, 6.106, 0.155, 320.849, 12.0, 21.511, 0.0, 0.0, 427.268, 16.0, 19.503, -0.0, -0.0, 364.73, 20.0, 20.237, 0.001, 0.0, -0.015, -0.794, 3
308.925, 18.145, 39.177, 5.524, 0.14, 429.706, 16.0, 19.512, -0.0, -0.0, 367.26, 20.0, 20.244, 0.001, 0.0, 308.925, 22.145, 39.177, 5.524, 0.14, -0.085, 2.615, 0
313.871, 18.488, 39.829, 2.215, 0.056, 432.145, 16.0, 19.52, -0.0, -0.0, 369.79, 20.0, 20.25, 0.001, 0.0, 313.871, 22.488, 39.829, 2.215, 0.056, -0.007, 4.971, 0
318.868, 18.739, 40.042, 1.961, 0.049, 434.586, 16.0, 19.527, -0.0, -0.0, 372.322, 20.0, 20.257, 0.001, 0.0, 318.868, 22.739, 40.042, 1.961, 0.049, -0.004, 4.396, 0
323.874, 18.968, 40.038, 1.806, 0.045, 437.027, 16.0, 19.535, -0.0, -0.0, 374.854, 20.0, 20.263, 0.0, 0.0, 323.874, 22.968, 40.038, 1.806, 0.045, -0.017, 4.866, 0
328.881, 19.122, 40.053, 1.118, 0.028, 439.469, 16.0, 19.542, -0.0, -0.0, 377.387, 20.0, 20.268, 0.0, 0.0, 328.881, 23.122, 40.053, 1.118, 0.028, -0.005, 4.328, 0
333.888, 19.239, 40.05, 0.897, 0.022, 441.912, 16.0, 19.549, -0.0, -0.0, 379.921, 20.0, 20.274, 0.0, 0.0, 333.888, 23.239, 40.05, 0.897, 0.022, -0.007, 3.636, 0
338.894, 19.32, 40.048, 0.602, 0.015, 444.356, 16.0, 19.555, -0.0, -0.0, 382.456, 20.0, 20.279, 0.0, 0.0, 338.894, 23.32, 40.048, 0.602, 0.015, 0.017, 4.52, 0
343.898, 19.466, 40.026, 1.278, 0.032, 446.8, 16.0, 19.562, -0.0, -0.0, 384.991, 20.0, 20.284, 0.0, 0.0, 343.898, 23.466, 40.026, 1.278, 0.032, -0.008, 4.265, 0
348.902, 19.59, 40.029, 0.942, 0.024, 449.246, 16.0, 19.568, -0.0, -0.0, 387.526, 20.0, 20.289, 0.0, 0.0, 348.902, 23.59, 40.029, 0.942, 0.024, -0.014, -6.327, 1
353.874, 19.65, 39.248, 0.378, 0.01, 451.692, 16.0, 19.574, -0.0, -0.0, 390.063, 20.0, 20.294, 0.0, 0.0, 353.874, 23.65, 39.248, 0.378, 0.01, 0.003, -11.486, 1
358.72, 19.71, 37.811, 0.489, 0.013, 454.139, 16.0, 19.579, -0.0, -0.0, 392.6, 20.0, 20.298, 0.0, 0.0, 358.72, 23.71, 37.811, 0.489, 0.013, -0.001, -16.844, 1
363.359, 19.767, 35.706, 0.434, 0.012, 456.587, 16.0, 19.585, -0.0, -0.0, 395.137, 20.0, 20.303, 0.0, 0.0, 363.359, 23.767, 35.706, 0.434, 0.012, 0.003, -16.267, 1
367.737, 19.829, 33.671, 0.485, 0.014, 459.035, 16.0, 19.591, -0.0, -0.0, 397.675, 20.0, 20.307, 0.0, 0.0, 367.737, 23.829, 33.671, 0.485, 0.014, -0.016, -13.228, 1
371.877, 19.839, 32.021, 0.049, 0.002, 461.484, 16.0, 19.596, -0.0, -0.0, 400.214, 20.0, 20.311, 0.0, 0.0, 371.877, 23.839, 32.021, 0.049, 0.002, 0.004, -11.83, 1
375.818, 19.857, 30.542, 0.149, 0.005, 463.934, 16.0, 19.601, -0.0, -0.0, 402.753, 20.0, 20.316, 0.0, 0.0, 375.818, 23.857, 30.542, 0.149, 0.005, -0.003, -11.107, 1
379.578, 19.867, 29.154, 0.071, 0.002, 466.384, 16.0, 19.606, -0.0, -0.0, 405.293, 20.0, 20.32, 0.0, 0.0, 379.578, 23.867, 29.154, 0.071, 0.002, 0.006, -9.673, 1
383.172, 19.89, 27.944, 0.182, 0.007, 468.835, 16.0, 19.611, -0.0, -0.0, 407.833, 20.0, 20.323, 0.0, 0.0, 383.172, 23.89, 27.944, 0.182, 0.007, -0.004, -7.794, 1
386.625, 19.902, 26.97, 0.095, 0.004, 471.287, 16.0, 19.616, -0.0, -0.0, 410.373, 20.0, 20.327, 0.0, 0.0, 386.625, 23.902, 26.97, 0.095, 0.004, 0.001, -6.91, 1
389.96, 19.915, 26.107, 0.104, 0.004, 473.739, 16.0, 19.621, -0.0, -0.0, 412.914, 20.0, 20.331, 0.0, 0.0, 389.96, 23.915, 26.107, 0.104, 0.004, 0.002, -5.62, 1
393.194, 19.932, 25.404, 0.13, 0.005, 476.192, 16.0, 19.626, -0.0, -0.0, 415.456, 20.0, 20.334, 0.0, 0.0, 393.194, 23.932, 25.404, 0.13, 0.005, -0.009, -5.539, 1
396.341, 19.929, 24.712, -0.008, -0.0, 478.645, 16.0, 19.631, -0.0, -0.0, 417.998, 20.0, 20.338, 0.0, 0.0, 396.341, 23.929, 24.712, -0.008, -0.0, -0.002, -4.385, 1
399.407, 19.923, 24.164, -0.042, -0.002, 481.1, 16.0, 19.636, -0.0, -0.0, 420.54, 20.0, 20.341, 0.0, 0.0, 399.407, 23.923, 24.164, -0.042, -0.002, -0.003, -3.914, 1
402.407, 19.911, 23.674, -0.089, -0.004, 483.554, 16.0, 19.641, -0.0, -0.0, 423.083, 20.0, 20.344, 0.0, 0.0, 402.407, 23.911, 23.674, -0.089, -0.004, 0.003, -3.143, 1
405.35, 19.906, 23.282, -0.046, -0.002, 486.01, 16.0, 19.645, -0.0, -0.0, 425.626, 20.0, 20.348, 0.0, 0.0, 405.35, 23.906, 23.282, -0.046, -0.002, -0.001, -2.14, 1
