x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
180.747, -0.006, 24.951, -0.039, -0.002, 180.747, -4.006, 24.951, -0.039, -0.002, 290.522, 0.0, 23.055, 0.0, 0.0, 203.518, 4.326, 22.617, 2.442, 0.108, -0.001, 3.637, 0
183.885, -0.012, 25.405, -0.051, -0.002, 183.885, -4.012, 25.405, -0.051, -0.002, 293.389, 0.0, 22.7, 0.0, 0.0, 206.285, 4.903, 21.971, 4.071, 0.183, -0.003, 7.628, 0
187.1, -0.024, 26.358, -0.097, -0.004, 187.1, -4.024, 26.358, -0.097, -0.004, 296.213, 0.0, 22.39, 0.0, 0.0, 209.003, 5.475, 21.547, 4.377, 0.2, 0.005, 11.775, 0
190.456, -0.025, 27.831, -0.014, -0.001, 190.456, -4.025, 27.831, -0.014, -0.001, 299.0, 0.0, 22.119, 0.0, 0.0, 211.69, 5.985, 21.29, 4.074, 0.189, 0.003, 15.901, 0
194.018, -0.02, 29.818, 0.044, 0.001, 194.018, -4.02, 29.818, 0.044, 0.001, 301.755, 0.0, 21.879, 0.0, 0.0, 255.864, 4.0, 22.524, 0.0, 0.0, 0.083, 9.846, 3
197.788, 0.222, 30.985, 1.995, 0.064, 197.788, -3.778, 30.985, 1.995, 0.064, 304.481, 0.0, 21.666, 0.0, 0.0, 258.678, 4.0, 22.502, 0.0, 0.0, 0.086, 3.79, 3
201.655, 0.727, 31.249, 4.142, 0.132, 201.655, -3.273, 31.249, 4.142, 0.132, 307.181, 0.0, 21.477, 0.0, 0.0, 261.49, 4.0, 22.481, 0.0, 0.0, 0.016, -0.618, 3
205.552, 1.293, 31.118, 4.528, 0.144, 205.552, -2.707, 31.118, 4.528, 0.144, 309.858, 0.0, 21.308, 0.0, 0.0, 264.3, 4.0, 22.461, 0.0, 0.0, 0.009, -0.641, 3
209.434, 1.884, 31.007, 4.727, 0.151, 209.434, -2.116, 31.007, 4.727, 0.151, 312.515, 0.0, 21.158, 0.0, 0.0, 267.106, 4.0, 22.442, 0.0, 0.0, 0.0, -0.546, 3
213.307, 2.475, 30.938, 4.724, 0.152, 315.154, 0.0, 21.024, 0.0, 0.0, 269.911, 4.0, 22.424, 0.0, 0.0, 227.729, 7.581, 21.388, 1.161, 0.054, -0.084, 3.71, 0
217.223, 2.819, 31.644, 2.716, 0.086, 317.777, 0.0, 20.904, 0.0, 0.0, 272.713, 4.0, 22.407, 0.0, 0.0, 230.404, 7.683, 21.381, 0.893, 0.042, -0.047, 7.529, 0
221.227, 3.018, 32.664, 1.568, 0.048, 320.386, 0.0, 20.797, 0.0, 0.0, 275.513, 4.0, 22.392, 0.0, 0.0, 233.077, 7.761, 21.37, 0.682, 0.032, -0.015, 11.493, 0
225.372, 3.168, 34.117, 1.21, 0.035, 322.981, 0.0, 20.702, 0.0, 0.0, 278.312, 4.0, 22.377, 0.0, 0.0, 235.748, 7.82, 21.358, 0.519, 0.024, -0.014, 11.005, 0
229.695, 3.273, 35.504, 0.825, 0.023, 325.566, 0.0, 20.617, 0.0, 0.0, 281.108, 4.0, 22.363, 0.0, 0.0, 238.418, 7.864, 21.346, 0.393, 0.018, -0.0, 9.523, 0
234.183, 3.378, 36.694, 0.851, 0.023, 328.139, 0.0, 20.541, 0.0, 0.0, 283.903, 4.0, 22.35, 0.0, 0.0, 241.086, 7.898, 21.333, 0.297, 0.014, 0.001, 8.334, 0
238.813, 3.489, 37.735, 0.917, 0.024, 330.704, 0.0, 20.473, 0.0, 0.0, 286.696, 4.0, 22.338, 0.0, 0.0, 243.752, 7.923, 21.321, 0.224, 0.011, -0.008, 7.252, 0
243.568, 3.574, 38.647, 0.643, 0.017, 333.261, 0.0, 20.413, 0.0, 0.0, 289.488, 4.0, 22.327, 0.0, 0.0, 246.416, 7.943, 21.31, 0.169, 0.008, -0.006, 6.455, 0
248.433, 3.63, 39.457, 0.42, 0.011, 335.81, 0.0, 20.36, 0.0, 0.0, 292.279, 4.0, 22.316, 0.0, 0.0, 249.08, 7.957, 21.299, 0.127, 0.006, -0.001, 5.561, 0
253.394, 3.677, 40.153, 0.375, 0.009, 338.353, 0.0, 20.313, 0.0, 0.0, 295.068, 4.0, 22.306, 0.0, 0.0, 251.742, 7.968, 21.289, 0.095, 0.004, -0.002, 4.824, 0
258.412, 3.717, 40.134, 0.301, 0.008, 340.89, 0.0, 20.272, 0.0, 0.0, 297.856, 4.0, 22.296, 0.0, 0.0, 254.402, 7.976, 21.28, 0.072, 0.003, -0.002, 3.735, 0
263.429, 3.744, 40.118, 0.205, 0.005, 343.423, 0.0, 20.236, 0.0, 0.0, 300.642, 4.0, 22.287, 0.0, 0.0, 257.062, 7.982, 21.271, 0.054, 0.003, 0.002, -5.99, 1
268.412, 3.779, 39.369, 0.289, 0.007, 345.951, 0.0, 20.204, 0.0, 0.0, 303.428, 4.0, 22.279, 0.0, 0.0, 259.721, 7.986, 21.264, 0.04, 0.002, -0.009, -12.142, 1
273.27, 3.778, 37.852, -0.058, -0.002, 348.475, 0.0, 20.177, 0.0, 0.0, 306.212, 4.0, 22.271, 0.0, 0.0, 330.559, 8.0, 22.489, 0.0, 0.0, 0.063, -8.096, 3
277.953, 4.009, 36.78, 2.105, 0.057, 350.997, 0.0, 20.154, 0.0, 0.0, 308.996, 4.0, 22.263, 0.0, 0.0, 333.369, 8.0, 22.467, 0.0, 0.0, 0.086, -4.017, 3
282.499, 4.587, 36.003, 4.924, 0.136, 353.515, 0.0, 20.134, 0.0, 0.0, 311.778, 4.0, 22.256, 0.0, 0.0, 336.176, 8.0, 22.447, 0.0, 0.0, 0.014, -0.436, 3
286.99, 5.253, 35.882, 5.38, 0.149, 356.031, 0.0, 20.118, 0.0, 0.0, 314.56, 4.0, 22.249, 0.0, 0.0, 338.981, 8.0, 22.427, 0.0, 0.0, -0.006, -0.508, 3
291.476, 5.904, 35.848, 5.174, 0.143, 358.545, 0.0, 20.105, 0.0, 0.0, 317.341, 4.0, 22.242, 0.0, 0.0, 341.784, 8.0, 22.409, 0.0, 0.0, 0.01, -0.352, 3
295.95, 6.586, 35.757, 5.487, 0.152, 320.121, 4.0, 22.236, 0.0, 0.0, 344.584, 8.0, 22.391, 0.0, 0.0, 295.035, 12.0, 20.318, 0.0, 0.0, -0.066, 3.584, 0
300.468, 7.037, 36.467, 3.389, 0.093, 322.9, 4.0, 22.23, 0.0, 0.0, 347.382, 8.0, 22.374, 0.0, 0.0, 297.574, 12.0, 20.303, 0.0, 0.0, -0.059, 7.602, 0
305.08, 7.244, 37.547, 1.425, 0.038, 325.679, 4.0, 22.225, 0.0, 0.0, 350.178, 8.0, 22.358, 0.0, 0.0, 300.111, 12.0, 20.288, 0.0, 0.0, -0.005, 7.341, 0
309.812, 7.405, 38.47, 1.29, 0.034, 328.457, 4.0, 22.219, 0.0, 0.0, 352.973, 8.0, 22.342, 0.0, 0.0, 302.646, 12.0, 20.274, 0.0, 0.0, -0.011, 6.406, 0
314.656, 7.523, 39.282, 0.887, 0.023, 331.234, 4.0, 22.214, 0.0, 0.0, 355.765, 8.0, 22.327, 0.0, 0.0, 305.18, 12.0, 20.261, 0.0, 0.0, -0.007, 5.697, 0
319.596, 7.604, 40.0, 0.609, 0.015, 334.011, 4.0, 22.209, 0.0, 0.0, 358.555, 8.0, 22.313, 0.0, 0.0, 395.451, 12.0, 19.723, 0.0, 0.0, 0.072, -0.42, 3
324.579, 7.979, 39.8, 3.478, 0.087, 336.787, 4.0, 22.205, 0.0, 0.0, 361.344, 8.0, 22.299, 0.0, 0.0, 397.916, 12.0, 19.705, 0.0, 0.0, 0.069, -0.316, 3
329.519, 8.698, 39.428, 6.203, 0.156, 339.562, 4.0, 22.2, 0.0, 0.0, 364.13, 8.0, 22.286, 0.0, 0.0, 400.378, 12.0, 19.69, 0.0, 0.0, -0.01, -0.62, 3
334.451, 9.431, 39.413, 5.784, 0.146, 342.337, 4.0, 22.196, 0.0, 0.0, 366.916, 8.0, 22.273, 0.0, 0.0, 402.839, 12.0, 19.675, 0.0, 0.0, -0.009, -0.319, 3
339.381, 10.118, 39.422, 5.436, 0.137, 369.699, 8.0, 22.261, 0.0, 0.0, 405.298, 12.0, 19.663, 0.0, 0.0, 339.381, 14.118, 39.422, 5.436, 0.137, -0.068, 3.723, 0
344.357, 10.52, 40.004, 2.784, 0.069, 372.481, 8.0, 22.25, 0.0, 0.0, 407.755, 12.0, 19.653, 0.0, 0.0, 344.357, 14.52, 40.004, 2.784, 0.069, -0.018, 3.836, 0
349.362, 10.794, 40.035, 2.072, 0.052, 375.262, 8.0, 22.238, 0.0, 0.0, 410.211, 12.0, 19.643, 0.0, 0.0, 349.362, 14.794, 40.035, 2.072, 0.052, -0.009, 3.867, 0
354.367, 11.016, 40.04, 1.717, 0.043, 378.042, 8.0, 22.228, 0.0, 0.0, 412.666, 12.0, 19.636, 0.0, 0.0, 354.367, 15.016, 40.04, 1.717, 0.043, -0.005, 3.919, 0
359.373, 11.212, 40.038, 1.532, 0.038, 380.82, 8.0, 22.217, 0.0, 0.0, 415.121, 12.0, 19.629, 0.0, 0.0, 359.373, 15.212, 40.038, 1.532, 0.038, -0.022, 3.96, 0
364.38, 11.312, 40.054, 0.655, 0.016, 383.596, 8.0, 22.207, 0.0, 0.0, 417.574, 12.0, 19.624, 0.0, 0.0, 364.38, 15.312, 40.054, 0.655, 0.016, 0.004, 3.961, 0
369.386, 11.41, 40.044, 0.81, 0.02, 386.372, 8.0, 22.197, 0.0, 0.0, 420.027, 12.0, 19.62, 0.0, 0.0, 369.386, 15.41, 40.044, 0.81, 0.02, 0.001, 3.948, 0
374.391, 11.516, 40.036, 0.854, 0.021, 389.146, 8.0, 22.188, 0.0, 0.0, 422.479, 12.0, 19.617, 0.0, 0.0, 374.391, 15.516, 40.036, 0.854, 0.021, -0.006, 3.946, 0
379.396, 11.598, 40.035, 0.614, 0.015, 391.919, 8.0, 22.179, 0.0, 0.0, 424.931, 12.0, 19.615, 0.0, 0.0, 379.396, 15.598, 40.035, 0.614, 0.015, -0.004, 3.955, 0
384.4, 11.657, 40.032, 0.446, 0.011, 394.691, 8.0, 22.17, 0.0, 0.0, 427.383, 12.0, 19.614, 0.0, 0.0, 384.4, 15.657, 40.032, 0.446, 0.011, 0.005, 4.016, 0
389.404, 11.732, 40.025, 0.637, 0.016, 397.462, 8.0, 22.161, 0.0, 0.0, 429.835, 12.0, 19.614, 0.0, 0.0, 389.404, 15.732, 40.025, 0.637, 0.016, -0.008, 4.056, 0
394.407, 11.777, 40.025, 0.298, 0.007, 400.232, 8.0, 22.153, 0.0, 0.0, 432.287, 12.0, 19.614, 0.0, 0.0, 394.407, 15.777, 40.025, 0.298, 0.007, 0.002, -5.795, 1
399.38, 11.821, 39.301, 0.357, 0.009, 403.001, 8.0, 22.145, 0.0, 0.0, 434.739, 12.0, 19.616, 0.0, 0.0, 399.38, 15.821, 39.301, 0.357, 0.009, -0.008, -11.904, 1
