x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
139.756, 0.02, 24.218, 0.14, 0.006, 139.756, -3.98, 24.218, 0.14, 0.006, 226.155, 0.0, 22.548, 0.0, 0.0, 157.029, 4.0, 23.301, 0.0, 0.0, -0.011739866093911802, -1.6341282618272974, 0.0
142.766, 0.023, 23.816, 0.035, 0.001, 142.766, -3.977, 23.816, 0.035, 0.001, 228.97, 0.0, 22.484, 0.0, 0.0, 159.929, 4.0, 22.986, 0.0, 0.0, 0.021883790099647672, 0.30218329176093606, 0.0
145.748, 0.022, 23.934, 0.0, 0.0, 145.748, -3.978, 23.934, 0.0, 0.0, 231.778, 0.0, 22.422, 0.0, 0.0, 162.79, 4.0, 22.702, 0.0, 0.0, 0.03465896536111766, 5.084446182075167, 0.0
148.766, 0.02, 24.564, -0.015, -0.001, 148.766, -3.98, 24.564, -0.015, -0.001, 234.579, 0.0, 22.362, 0.0, 0.0, 165.568, 4.518, 22.213, 3.211, 0.144, 0.0010357152552447027, 8.462386652884407, 0.0
151.88, 0.02, 25.609, -0.004, -0.0, 151.88, -3.98, 25.609, -0.004, -0.0, 237.371, 0.0, 22.303, 0.0, 0.0, 168.301, 5.104, 21.781, 4.298, 0.195, -0.048558641795079086, 10.622993584749334, 0.0
155.142, 0.004, 27.073, -0.119, -0.004, 155.142, -3.996, 27.073, -0.119, -0.004, 240.157, 0.0, 22.246, 0.0, 0.0, 171.011, 5.66, 21.543, 4.345, 0.199, 0.022589275199054418, 14.740941288284345, 0.0
158.602, 0.021, 28.88, 0.127, 0.004, 158.602, -3.979, 28.88, 0.127, 0.004, 242.935, 0.0, 22.192, 0.0, 0.0, 224.644, 4.0, 21.232, 0.0, 0.0, 0.08155703821684589, 8.316834817117051, 3.0
162.247, 0.273, 29.865, 2.033, 0.068, 162.247, -3.727, 29.865, 2.033, 0.068, 245.707, 0.0, 22.139, 0.0, 0.0, 227.295, 4.0, 21.156, 0.0, 0.0, 0.06742493087739432, 0.1330490599395744, 3.0
165.969, 0.763, 29.991, 3.945, 0.131, 165.969, -3.237, 29.991, 3.945, 0.131, 248.472, 0.0, 22.088, 0.0, 0.0, 229.936, 4.0, 21.083, 0.0, 0.0, -0.01549912063879327, -0.5312304675568766, 3.0
169.709, 1.306, 29.89, 4.348, 0.144, 169.709, -2.694, 29.89, 4.348, 0.144, 251.231, 0.0, 22.039, 0.0, 0.0, 232.569, 4.0, 21.011, 0.0, 0.0, 0.0020873009692070716, -2.6368829599287325, 3.0
173.442, 1.866, 29.846, 4.478, 0.149, 173.442, -2.134, 29.846, 4.478, 0.149, 253.984, 0.0, 21.992, 0.0, 0.0, 235.192, 4.0, 20.943, 0.0, 0.0, -0.018391734717935097, -3.0340538154415424, 3.0
177.165, 2.423, 29.668, 4.434, 0.148, 256.731, 0.0, 21.946, 0.0, 0.0, 237.807, 4.0, 20.876, 0.0, 0.0, 187.256, 7.503, 21.873, 1.376, 0.063, -0.0755649470554163, 3.113523698602065, 0.0
180.909, 2.754, 30.105, 2.661, 0.088, 259.473, 0.0, 21.902, 0.0, 0.0, 240.414, 4.0, 20.812, 0.0, 0.0, 189.995, 7.625, 21.943, 1.061, 0.048, -0.04330246150710034, 7.93795208954635, 0.0
184.714, 2.945, 30.95, 1.544, 0.05, 262.209, 0.0, 21.86, 0.0, 0.0, 243.013, 4.0, 20.751, 0.0, 0.0, 192.741, 7.718, 22.002, 0.811, 0.037, -0.02934460527487218, 9.658568630993443, 0.0
188.636, 3.099, 32.194, 1.247, 0.039, 264.939, 0.0, 21.82, 0.0, 0.0, 245.604, 4.0, 20.692, 0.0, 0.0, 195.494, 7.789, 22.054, 0.616, 0.028, -0.022425326286937566, 14.631556307992668, 0.0
192.73, 3.215, 33.853, 0.941, 0.028, 267.665, 0.0, 21.78, 0.0, 0.0, 248.188, 4.0, 20.635, 0.0, 0.0, 198.254, 7.842, 22.1, 0.466, 0.021, -0.031825755560117255, 8.112172967435566, 0.0
197.014, 3.29, 35.101, 0.579, 0.016, 270.386, 0.0, 21.743, 0.0, 0.0, 250.765, 4.0, 20.581, 0.0, 0.0, 201.018, 7.882, 22.142, 0.351, 0.016, 0.00418455931822838, 12.05012388017192, 0.0
