x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
186.764, 0.044, 24.699, 0.308, 0.012, 186.764, -3.956, 24.699, 0.308, 0.012, 270.205, 0.0, 22.395, 0.0, 0.0, 249.194, 4.0, 23.364, 0.0, 0.0, 0.059, -2.163, 3
189.836, 0.211, 24.401, 1.194, 0.049, 189.836, -3.789, 24.401, 1.194, 0.049, 273.001, 0.0, 22.32, 0.0, 0.0, 252.114, 4.0, 23.34, 0.0, 0.0, 0.076, -0.34, 3
192.872, 0.523, 24.278, 2.319, 0.095, 192.872, -3.477, 24.278, 2.319, 0.095, 275.788, 0.0, 22.251, 0.0, 0.0, 255.028, 4.0, 23.237, 0.0, 0.0, 0.027, -2.353, 3
195.888, 0.867, 23.945, 2.677, 0.111, 195.888, -3.133, 23.945, 2.677, 0.111, 278.567, 0.0, 22.188, 0.0, 0.0, 257.927, 4.0, 23.1, 0.0, 0.0, 0.031, 0.838, 3
198.878, 1.268, 23.994, 3.142, 0.13, 198.878, -2.732, 23.994, 3.142, 0.13, 281.338, 0.0, 22.13, 0.0, 0.0, 260.809, 4.0, 22.971, 0.0, 0.0, 0.042, -0.674, 3
201.86, 1.749, 23.823, 3.741, 0.156, 201.86, -2.251, 23.823, 3.741, 0.156, 284.102, 0.0, 22.076, 0.0, 0.0, 263.676, 4.0, 22.854, 0.0, 0.0, -0.039, -0.36, 3
204.848, 2.135, 23.86, 3.172, 0.132, 286.859, 0.0, 22.027, 0.0, 0.0, 266.528, 4.0, 22.749, 0.0, 0.0, 304.686, 9.452, 17.357, -3.291, -0.187, 0.019, 2.649, 3
207.839, 2.574, 24.149, 3.498, 0.144, 289.61, 0.0, 21.98, 0.0, 0.0, 269.368, 4.0, 22.653, 0.0, 0.0, 306.878, 9.14, 17.597, -2.768, -0.156, -0.029, 2.944, 3
210.881, 2.95, 24.573, 3.109, 0.126, 292.356, 0.0, 21.936, 0.0, 0.0, 272.196, 4.0, 22.566, 0.0, 0.0, 226.575, 9.685, 17.627, -3.664, -0.205, 0.038, -3.123, 3
213.925, 3.418, 24.107, 3.624, 0.149, 295.096, 0.0, 21.894, 0.0, 0.0, 275.013, 4.0, 22.486, 0.0, 0.0, 228.803, 9.326, 17.879, -3.136, -0.174, 0.011, 0.9, 3
216.939, 3.896, 24.193, 3.807, 0.156, 297.831, 0.0, 21.853, 0.0, 0.0, 277.821, 4.0, 22.413, 0.0, 0.0, 231.059, 9.035, 18.111, -2.589, -0.142, -0.034, -4.666, 3
219.95, 4.296, 23.689, 3.223, 0.135, 300.561, 0.0, 21.815, 0.0, 0.0, 280.62, 4.0, 22.346, 0.0, 0.0, 233.34, 8.803, 18.314, -2.09, -0.114, -0.021, 1.754, 3
222.926, 4.655, 23.946, 2.945, 0.122, 303.287, 0.0, 21.779, 0.0, 0.0, 283.41, 4.0, 22.285, 0.0, 0.0, 235.642, 8.621, 18.49, -1.66, -0.09, 0.056, 0.029, 3
225.902, 5.141, 23.836, 3.759, 0.156, 306.008, 0.0, 21.744, 0.0, 0.0, 286.194, 4.0, 22.23, 0.0, 0.0, 237.964, 8.478, 18.646, -1.304, -0.07, -0.035, 1.404, 0
228.899, 5.539, 24.084, 3.276, 0.135, 308.724, 0.0, 21.711, 0.0, 0.0, 288.97, 4.0, 22.179, 0.0, 0.0, 240.303, 8.367, 18.786, -1.016, -0.054, -0.126, 6.06, 0
231.965, 5.68, 25.022, 1.442, 0.058, 311.437, 0.0, 21.68, 0.0, 0.0, 291.741, 4.0, 22.133, 0.0, 0.0, 242.658, 8.281, 18.915, -0.787, -0.042, -0.114, 10.946, 0
235.154, 5.604, 26.429, -0.402, -0.015, 314.146, 0.0, 21.651, 0.0, 0.0, 294.505, 4.0, 22.091, 0.0, 0.0, 245.028, 8.215, 19.034, -0.607, -0.032, -0.038, 17.051, 0
238.543, 5.458, 28.539, -1.179, -0.041, 316.851, 0.0, 21.623, 0.0, 0.0, 297.265, 4.0, 22.052, 0.0, 0.0, 247.413, 8.164, 19.147, -0.466, -0.024, -0.061, 17.899, 0
242.193, 5.141, 30.687, -2.643, -0.086, 319.553, 0.0, 21.597, 0.0, 0.0, 300.02, 4.0, 22.017, 0.0, 0.0, 249.811, 8.125, 19.253, -0.357, -0.019, 0.041, 15.694, 0
246.118, 4.927, 32.715, -1.75, -0.053, 322.251, 0.0, 21.572, 0.0, 0.0, 302.771, 4.0, 21.985, 0.0, 0.0, 252.222, 8.095, 19.354, -0.273, -0.014, -0.004, 10.176, 0
250.26, 4.692, 33.979, -1.934, -0.057, 324.947, 0.0, 21.548, 0.0, 0.0, 305.518, 4.0, 21.956, 0.0, 0.0, 254.645, 8.072, 19.45, -0.208, -0.011, 0.04, 11.158, 0
254.571, 4.583, 35.42, -0.787, -0.022, 327.639, 0.0, 21.526, 0.0, 0.0, 308.261, 4.0, 21.93, 0.0, 0.0, 257.08, 8.055, 19.542, -0.159, -0.008, 0.024, 8.299, 0
259.043, 4.571, 36.466, -0.012, -0.0, 330.329, 0.0, 21.505, 0.0, 0.0, 311.002, 4.0, 21.906, 0.0, 0.0, 259.527, 8.042, 19.63, -0.121, -0.006, -0.042, 10.153, 0
263.651, 4.415, 37.707, -1.457, -0.039, 333.016, 0.0, 21.485, 0.0, 0.0, 313.739, 4.0, 21.884, 0.0, 0.0, 261.984, 8.032, 19.714, -0.092, -0.005, 0.034, 7.038, 0
268.404, 4.362, 38.614, -0.256, -0.007, 335.701, 0.0, 21.466, 0.0, 0.0, 316.473, 4.0, 21.864, 0.0, 0.0, 264.452, 8.024, 19.794, -0.07, -0.004, 0.016, 5.426, 0
273.259, 4.393, 39.292, 0.341, 0.009, 338.384, 0.0, 21.448, 0.0, 0.0, 319.206, 4.0, 21.846, 0.0, 0.0, 266.929, 8.018, 19.87, -0.053, -0.003, -0.037, 4.828, 0
278.194, 4.287, 39.882, -1.095, -0.027, 341.064, 0.0, 21.431, 0.0, 0.0, 321.936, 4.0, 21.829, 0.0, 0.0, 269.416, 8.014, 19.943, -0.04, -0.002, 0.07, 1.64, 0
283.187, 4.442, 39.995, 1.715, 0.043, 343.742, 0.0, 21.415, 0.0, 0.0, 324.664, 4.0, 21.814, 0.0, 0.0, 354.464, 8.005, 20.101, -0.015, -0.001, 0.096, -2.538, 3
288.138, 5.055, 39.331, 5.507, 0.139, 346.419, 0.0, 21.4, 0.0, 0.0, 327.39, 4.0, 21.801, 0.0, 0.0, 356.979, 8.004, 20.166, -0.011, -0.001, -0.003, -2.705, 3
293.042, 5.731, 39.011, 5.358, 0.136, 349.093, 0.0, 21.386, 0.0, 0.0, 330.114, 4.0, 21.789, 0.0, 0.0, 359.503, 8.003, 20.228, -0.009, -0.0, 0.023, -1.237, 3
297.898, 6.494, 38.724, 6.23, 0.16, 332.837, 4.0, 21.778, 0.0, 0.0, 362.034, 8.002, 20.285, -0.007, -0.0, 310.255, 12.0, 21.202, 0.0, 0.0, -0.083, 1.748, 0
