x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
184.718, -0.006, 25.568, -0.042, -0.002, 184.718, -4.006, 25.568, -0.042, -0.002, 207.01, 0.0, 23.527, 0.0, 0.0, 100, 4, 25.568, -0.042, -0.002, -0.039, 2.244, 1
187.924, -0.1, 25.839, -0.687, -0.027, 187.924, -4.1, 25.839, -0.687, -0.027, 209.949, 0.0, 23.48, 0.0, 0.0, 100, 4, 25.839, -0.687, -0.027, 0.05, 4.721, 1
191.18, -0.069, 26.438, 0.163, 0.006, 191.18, -4.069, 26.438, 0.163, 0.006, 212.882, 0.0, 23.432, 0.0, 0.0, 100, 4, 26.438, 0.163, 0.006, -0.019, 1.153, 1
194.49, -0.094, 26.582, -0.171, -0.006, 194.49, -4.094, 26.582, -0.171, -0.006, 215.809, 0.0, 23.382, 0.0, 0.0, 100, 4, 26.582, -0.171, -0.006, -0.016, -2.889, 1
197.797, -0.153, 26.218, -0.443, -0.017, 197.797, -4.153, 26.218, -0.443, -0.017, 218.729, 0.0, 23.33, 0.0, 0.0, 366.054, 2.283, 23.107, 3.78, 0.162, 0.022, 2.706, 3
201.089, -0.156, 26.56, -0.058, -0.002, 201.089, -4.156, 26.56, -0.058, -0.002, 221.643, 0.0, 23.276, 0.0, 0.0, 368.946, 2.667, 22.993, 3.165, 0.137, 0.118, -0.516, 3
204.394, 0.12, 26.418, 2.021, 0.076, 204.394, -3.88, 26.418, 2.021, 0.076, 224.551, 0.0, 23.222, 0.0, 0.0, 264.274, 5.831, 20.163, -3.92, -0.192, 0.054, 0.427, 3
207.686, 0.501, 26.382, 2.967, 0.112, 207.686, -3.499, 26.382, 2.967, 0.112, 227.451, 0.0, 23.167, 0.0, 0.0, 266.81, 5.434, 20.269, -3.351, -0.164, -0.026, -3.141, 3
210.974, 0.809, 26.038, 2.485, 0.095, 210.974, -3.191, 26.038, 2.485, 0.095, 230.345, 0.0, 23.118, 0.0, 0.0, 269.358, 5.112, 20.363, -2.759, -0.135, 0.024, 5.675, 3
214.252, 1.18, 26.7, 2.98, 0.111, 214.252, -2.82, 26.7, 2.98, 0.111, 233.233, 0.0, 23.073, 0.0, 0.0, 271.914, 4.856, 20.435, -2.217, -0.108, 0.069, -4.555, 3
217.543, 1.715, 25.971, 4.119, 0.157, 217.543, -2.285, 25.971, 4.119, 0.157, 236.115, 0.0, 23.033, 0.0, 0.0, 274.476, 4.656, 20.485, -1.752, -0.085, 0.057, -1.3, 3
220.759, 2.362, 25.638, 5.065, 0.195, 238.993, 0.0, 22.997, 0.0, 0.0, 277.041, 4.5, 20.52, -1.367, -0.067, 340.25, 7.646, 20.643, -2.457, -0.118, -0.037, -1.998, 3
223.969, 2.909, 25.505, 4.41, 0.171, 241.866, 0.0, 22.964, 0.0, 0.0, 279.609, 4.381, 20.543, -1.058, -0.051, 342.774, 7.056, 20.239, -4.084, -0.199, -0.054, -1.058, 3
227.17, 3.336, 25.512, 3.501, 0.136, 244.735, 0.0, 22.935, 0.0, 0.0, 282.178, 4.289, 20.479, -0.811, -0.04, 345.286, 6.485, 20.041, -4.383, -0.215, -0.014, -1.017, 3
230.358, 3.74, 25.418, 3.247, 0.127, 247.601, 0.0, 22.909, 0.0, 0.0, 284.734, 4.219, 20.376, -0.618, -0.03, 260.113, 9.926, 16.655, -3.412, -0.202, 0.039, -2.062, 3
233.512, 4.233, 25.074, 3.841, 0.152, 250.464, 0.0, 22.886, 0.0, 0.0, 287.277, 4.166, 20.279, -0.471, -0.023, 262.212, 9.54, 16.932, -3.218, -0.188, -0.046, -3.867, 3
