x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
143.189, -0.024, 24.088, -0.166, -0.007, 143.189, -4.024, 24.088, -0.166, -0.007, 157.403, 0.0, 21.363, 0.0, 0.0, 243.189, 4.0, 24.088, -0.166, -0.007, 0.07204996869150448, -3.022519051577789, 3.0
146.18, 0.099, 23.657, 0.808, 0.034, 146.18, -3.901, 23.657, 0.808, 0.034, 160.072, 0.0, 21.337, 0.0, 0.0, 246.18, 4.0, 23.657, 0.808, 0.034, 0.1196123491181538, -0.1300660444070909, 3.0
149.113, 0.452, 23.428, 2.51, 0.107, 149.113, -3.548, 23.428, 2.51, 0.107, 162.738, 0.0, 21.312, 0.0, 0.0, 249.113, 4.0, 23.428, 2.51, 0.107, 0.04862743577217285, 0.40165147921541844, 3.0
152.03, 0.868, 23.386, 3.206, 0.136, 152.03, -3.132, 23.386, 3.206, 0.136, 165.401, 0.0, 21.287, 0.0, 0.0, 252.03, 4.0, 23.386, 3.206, 0.136, 0.020472154572133194, -0.9229122097264221, 3.0
154.943, 1.309, 23.242, 3.471, 0.148, 154.943, -2.691, 23.242, 3.471, 0.148, 168.061, 0.0, 21.262, 0.0, 0.0, 254.943, 4.0, 23.242, 3.471, 0.148, -0.0084609592806724, 1.3660941317067505, 3.0
157.845, 1.743, 23.164, 3.465, 0.148, 157.845, -2.257, 23.164, 3.465, 0.148, 170.718, 0.0, 21.236, 0.0, 0.0, 257.845, 4.0, 23.164, 3.465, 0.148, 0.00859222794987496, -0.23709027733003218, 3.0
160.738, 2.172, 23.083, 3.427, 0.147, 173.371, 0.0, 21.211, 0.0, 0.0, 260.738, 4.0, 23.083, 3.427, 0.147, 204.152, 8.0, 20.892, 0.0, 0.0, 0.001127451627058738, -0.5727067247951618, 3.0
163.618, 2.598, 22.968, 3.397, 0.147, 176.021, 0.0, 21.185, 0.0, 0.0, 263.618, 4.0, 22.968, 3.397, 0.147, 206.757, 8.0, 20.741, 0.0, 0.0, -0.00572726985757211, -3.4108217238258893, 3.0
166.485, 3.014, 22.837, 3.326, 0.145, 178.669, 0.0, 21.16, 0.0, 0.0, 266.485, 4.0, 22.837, 3.326, 0.145, 209.343, 8.0, 20.592, 0.0, 0.0, 0.0047975227928303815, -0.8640011071879163, 3.0
169.334, 3.449, 22.762, 3.449, 0.15, 181.313, 0.0, 21.135, 0.0, 0.0, 269.334, 4.0, 22.762, 3.449, 0.15, 211.911, 8.0, 20.45, 0.0, 0.0, -0.012008933019072989, 0.6217924384585111, 3.0
172.175, 3.876, 22.651, 3.412, 0.149, 183.953, 0.0, 21.112, 0.0, 0.0, 266.646, 5.688, 19.635, -3.722, -0.187, 214.462, 8.0, 20.319, 0.0, 0.0, 0.004528365149194425, -1.779892801632646, 3.0
174.998, 4.3, 22.449, 3.374, 0.149, 186.592, 0.0, 21.091, 0.0, 0.0, 269.116, 5.319, 19.73, -3.14, -0.158, 216.997, 8.0, 20.203, 0.0, 0.0, 0.0011165279279500475, 0.23136648503439622, 3.0
177.803, 4.718, 22.417, 3.34, 0.148, 189.227, 0.0, 21.071, 0.0, 0.0, 271.595, 5.023, 19.81, -2.566, -0.129, 219.518, 8.0, 20.1, 0.0, 0.0, 0.008750512854844277, 0.8043387399377454, 3.0
180.603, 5.141, 22.378, 3.376, 0.15, 191.86, 0.0, 21.053, 0.0, 0.0, 274.081, 4.788, 19.869, -2.053, -0.103, 222.029, 8.0, 20.119, 0.0, 0.0, 0.006475442259544619, -1.3268817834185591, 3.0
183.398, 5.554, 22.3, 3.305, 0.147, 194.491, 0.0, 21.036, 0.0, 0.0, 276.571, 4.605, 19.911, -1.619, -0.081, 224.547, 8.0, 20.192, 0.0, 0.0, 0.0012886503131311657, 0.4327726605017166, 3.0
186.186, 5.978, 22.336, 3.386, 0.15, 197.12, 0.0, 21.02, 0.0, 0.0, 279.064, 4.463, 19.939, -1.263, -0.063, 227.074, 8.0, 20.261, 0.0, 0.0, 0.006235910605765677, 0.385712226449779, 3.0
188.976, 6.404, 22.307, 3.4, 0.151, 281.56, 4.353, 19.959, -0.978, -0.049, 229.609, 8.0, 20.327, 0.0, 0.0, 300.117, 12.0, 20.047, 0.0, 0.0, -0.00952994055747261, -0.691529374013804, 3.0
191.763, 6.827, 22.257, 3.379, 0.151, 284.056, 4.269, 19.974, -0.753, -0.038, 232.153, 8.0, 20.389, 0.0, 0.0, 302.624, 12.0, 20.074, 0.0, 0.0, -0.01264390121784263, 0.4018188599711302, 3.0
194.545, 7.239, 22.24, 3.311, 0.148, 286.554, 4.204, 19.985, -0.578, -0.029, 234.704, 8.0, 20.447, 0.0, 0.0, 305.134, 12.0, 20.099, 0.0, 0.0, -0.017140965660165833, -0.3526039044317588, 3.0
197.322, 7.643, 22.133, 3.234, 0.145, 289.053, 4.155, 19.994, -0.442, -0.022, 237.262, 8.0, 20.502, 0.0, 0.0, 307.648, 12.0, 20.122, 0.0, 0.0, 0.0034409285470629017, -1.0181495554022428, 3.0
200.088, 8.054, 22.13, 3.275, 0.147, 291.553, 4.118, 20.003, -0.337, -0.017, 239.827, 8.0, 20.555, 0.0, 0.0, 310.164, 12.0, 20.143, 0.0, 0.0, -0.005357900256089388, -0.5444034078738298, 3.0
202.852, 8.471, 22.098, 3.324, 0.149, 294.054, 4.089, 20.011, -0.256, -0.013, 242.398, 8.0, 20.604, 0.0, 0.0, 312.683, 12.0, 20.163, 0.0, 0.0, -0.0010507384126030618, -0.2563395692774093, 3.0
205.607, 8.895, 21.963, 3.362, 0.152, 296.555, 4.068, 20.018, -0.195, -0.01, 244.976, 8.0, 20.65, 0.0, 0.0, 315.204, 12.0, 20.18, 0.0, 0.0, -0.0009198224310067592, -1.5323635069886872, 3.0
208.349, 9.317, 21.888, 3.37, 0.153, 299.058, 4.051, 20.026, -0.148, -0.007, 247.559, 8.0, 20.694, 0.0, 0.0, 317.727, 12.0, 20.196, 0.0, 0.0, -0.001338096268495171, 0.33513625195322516, 3.0
211.083, 9.748, 21.87, 3.434, 0.156, 301.562, 4.039, 20.033, -0.112, -0.006, 250.147, 8.0, 20.735, 0.0, 0.0, 320.252, 12.0, 20.211, 0.0, 0.0, -0.011204008173695984, 0.5850131432514403, 3.0
213.82, 10.168, 21.92, 3.375, 0.153, 252.741, 8.0, 20.774, 0.0, 0.0, 322.779, 12.0, 20.225, 0.0, 0.0, 286.346, 15.977, 20.091, 0.066, 0.003, 0.0043999382320562275, -1.9208690017768904, 3.0
216.556, 10.569, 21.774, 3.221, 0.147, 255.339, 8.0, 20.81, 0.0, 0.0, 325.308, 12.0, 20.237, 0.0, 0.0, 288.859, 15.983, 20.128, 0.05, 0.002, 0.005729910726956891, -0.20635368037792656, 3.0
219.272, 10.969, 21.636, 3.193, 0.147, 257.942, 8.0, 20.845, 0.0, 0.0, 327.838, 12.0, 20.248, 0.0, 0.0, 291.377, 15.987, 20.163, 0.038, 0.002, 0.002132581970892713, -1.9487045290773375, 3.0
221.972, 11.392, 21.577, 3.339, 0.154, 260.549, 8.0, 20.877, 0.0, 0.0, 330.369, 12.0, 20.258, 0.0, 0.0, 293.898, 15.99, 20.197, 0.028, 0.001, -0.014446339260389528, 0.6328622655524545, 3.0
224.664, 11.806, 21.439, 3.304, 0.153, 263.16, 8.0, 20.907, 0.0, 0.0, 332.902, 12.0, 20.267, 0.0, 0.0, 296.424, 15.993, 20.229, 0.022, 0.001, -0.0019017737458830084, 0.5191659624378158, 3.0
227.348, 12.21, 21.533, 3.254, 0.15, 265.774, 8.0, 20.936, 0.0, 0.0, 335.436, 12.0, 20.276, 0.0, 0.0, 298.954, 15.994, 20.26, 0.016, 0.001, -0.0027690541984956504, -0.05436741638174458, 3.0
230.04, 12.605, 21.506, 3.173, 0.146, 268.393, 8.0, 20.963, 0.0, 0.0, 337.97, 12.0, 20.283, 0.0, 0.0, 301.488, 15.996, 20.289, 0.012, 0.001, -0.001664966235968486, 0.9607385194326918, 3.0
232.732, 13.005, 21.594, 3.203, 0.147, 271.014, 8.0, 20.988, 0.0, 0.0, 340.506, 12.0, 20.29, 0.0, 0.0, 304.025, 15.997, 20.317, 0.009, 0.0, 0.008377545124959489, -2.361721793534418, 3.0
235.426, 13.4, 21.465, 3.154, 0.146, 273.638, 8.0, 21.011, 0.0, 0.0, 343.043, 12.0, 20.296, 0.0, 0.0, 306.566, 15.998, 20.344, 0.007, 0.0, 0.010238259287700151, -1.666690095561034, 3.0
238.102, 13.809, 21.339, 3.242, 0.151, 276.266, 8.0, 21.033, 0.0, 0.0, 345.58, 12.0, 20.302, 0.0, 0.0, 309.11, 15.998, 20.369, 0.005, 0.0, 0.008563725399533727, -0.9416802119877427, 3.0
240.765, 14.22, 21.24, 3.266, 0.153, 348.118, 12.0, 20.307, 0.0, 0.0, 311.657, 15.999, 20.394, 0.004, 0.0, 259.159, 19.99, 19.593, 0.029, 0.001, 0.0011173382541735432, -1.5041643932074038, 3.0
243.417, 14.619, 21.155, 3.197, 0.15, 350.656, 12.0, 20.311, 0.0, 0.0, 314.207, 15.999, 20.415, 0.003, 0.0, 261.609, 19.992, 19.623, 0.022, 0.001, 0.007033506513286738, -0.9032539320372432, 3.0
246.057, 15.02, 21.045, 3.192, 0.151, 353.196, 12.0, 20.315, 0.0, 0.0, 316.76, 15.999, 20.432, 0.002, 0.0, 264.063, 19.994, 19.652, 0.017, 0.001, -0.014868205041738311, -2.5166646766469487, 3.0
248.682, 15.415, 20.9, 3.151, 0.15, 355.735, 12.0, 20.319, 0.0, 0.0, 319.315, 15.999, 20.446, 0.002, 0.0, 266.521, 19.996, 19.68, 0.013, 0.001, 0.006912874446295146, -0.3350040344521875, 3.0
251.289, 15.801, 20.767, 3.086, 0.148, 358.275, 12.0, 20.322, 0.0, 0.0, 321.871, 16.0, 20.461, 0.001, 0.0, 268.982, 19.997, 19.704, 0.01, 0.0, -0.01394843251159875, -0.19286982289340615, 3.0
253.89, 16.163, 20.821, 2.941, 0.14, 360.816, 12.0, 20.325, 0.0, 0.0, 324.429, 16.0, 20.478, 0.001, 0.0, 271.446, 19.997, 19.726, 0.007, 0.0, 0.016443860565873585, 0.8157741033664689, 3.0
256.489, 16.548, 20.765, 3.042, 0.145, 363.356, 12.0, 20.327, 0.0, 0.0, 326.99, 16.0, 20.495, 0.001, 0.0, 273.912, 19.998, 19.745, 0.006, 0.0, 0.002851771898972861, 0.6389521731634451, 3.0
259.079, 16.944, 20.673, 3.132, 0.15, 365.897, 12.0, 20.33, 0.0, 0.0, 329.554, 16.0, 20.569, 0.001, 0.0, 276.381, 19.999, 19.762, 0.004, 0.0, 0.0009316409191224852, -1.032711845118997, 3.0
261.659, 17.331, 20.566, 3.097, 0.149, 368.439, 12.0, 20.332, 0.0, 0.0, 332.129, 16.0, 20.666, 0.0, 0.0, 278.852, 19.999, 19.778, 0.003, 0.0, -0.0017399784322835563, -1.6050014801910555, 3.0
264.225, 17.716, 20.453, 3.069, 0.149, 370.98, 12.0, 20.333, 0.0, 0.0, 334.716, 16.0, 20.758, 0.0, 0.0, 281.325, 19.999, 19.792, 0.002, 0.0, -0.010914996544290309, 0.0696586956706749, 3.0
266.782, 18.093, 20.441, 3.027, 0.147, 337.314, 16.0, 20.846, 0.0, 0.0, 283.799, 19.999, 19.805, 0.002, 0.0, 266.782, 22.093, 20.441, 3.027, 0.147, -0.07062468447147867, -2.236447753218707, 1.0
269.343, 18.34, 20.314, 2.203, 0.108, 339.924, 16.0, 20.929, 0.0, 0.0, 286.276, 20.0, 19.817, 0.001, 0.0, 269.343, 22.34, 20.314, 2.203, 0.108, -0.04511801900677494, -1.1074219721860832, 1.0
271.886, 18.53, 20.263, 1.677, 0.083, 342.543, 16.0, 21.008, 0.0, 0.0, 288.753, 20.0, 19.828, 0.001, 0.0, 271.886, 22.53, 20.263, 1.677, 0.083, -0.03852805160837958, -2.168731667154727, 1.0
274.417, 18.675, 20.136, 1.277, 0.063, 345.172, 16.0, 21.082, 0.0, 0.0, 291.232, 20.0, 19.838, 0.001, 0.0, 274.417, 22.675, 20.136, 1.277, 0.063, -0.017658314567351667, -0.849442303142918, 1.0
276.933, 18.791, 20.068, 1.01, 0.05, 347.81, 16.0, 21.153, 0.0, 0.0, 293.712, 20.0, 19.848, 0.001, 0.0, 276.933, 22.791, 20.068, 1.01, 0.05, -0.0249190105313684, 0.2045410645878022, 1.0
279.443, 18.897, 20.11, 0.891, 0.044, 350.457, 16.0, 21.22, 0.0, 0.0, 296.194, 20.0, 19.857, 0.0, 0.0, 279.443, 22.897, 20.11, 0.891, 0.044, 0.009395625886679353, 0.47876272243043816, 1.0
281.954, 19.004, 20.021, 0.86, 0.043, 353.112, 16.0, 21.283, 0.0, 0.0, 298.676, 20.0, 19.866, 0.0, 0.0, 281.954, 23.004, 20.021, 0.86, 0.043, -0.008923802476961016, -0.7588788343923831, 1.0
284.455, 19.085, 19.978, 0.701, 0.035, 355.775, 16.0, 21.343, 0.0, 0.0, 301.16, 20.0, 19.874, 0.0, 0.0, 284.455, 23.085, 19.978, 0.701, 0.035, -0.007411591888099899, 0.5066340936730864, 1.0
286.95, 19.154, 19.909, 0.587, 0.029, 358.446, 16.0, 21.4, 0.0, 0.0, 303.644, 20.0, 19.882, 0.0, 0.0, 286.95, 23.154, 19.909, 0.587, 0.029, -0.009376225022304261, 0.9223600875503317, 1.0
289.442, 19.224, 20.001, 0.566, 0.028, 361.123, 16.0, 21.453, 0.0, 0.0, 306.13, 20.0, 19.89, 0.0, 0.0, 289.442, 23.224, 20.001, 0.566, 0.028, 0.004574250880183063, -1.5486843779665755, 1.0
291.937, 19.301, 19.876, 0.599, 0.03, 363.807, 16.0, 21.504, 0.0, 0.0, 308.617, 20.0, 19.898, 0.0, 0.0, 291.937, 23.301, 19.876, 0.599, 0.03, -0.012033197353141751, 0.423757316965119, 1.0
294.423, 19.371, 19.891, 0.574, 0.029, 366.497, 16.0, 21.551, 0.0, 0.0, 311.104, 20.0, 19.906, 0.0, 0.0, 294.423, 23.371, 19.891, 0.574, 0.029, -0.012528722549362787, -0.039446721624786844, 1.0
296.909, 19.419, 19.885, 0.433, 0.022, 369.192, 16.0, 21.596, 0.0, 0.0, 313.593, 20.0, 19.914, 0.0, 0.0, 296.909, 23.419, 19.885, 0.433, 0.022, -0.007173504760378123, 0.39098729989507097, 1.0
299.397, 19.475, 19.933, 0.446, 0.022, 371.894, 16.0, 21.638, 0.0, 0.0, 316.082, 20.0, 19.921, 0.0, 0.0, 299.397, 23.475, 19.933, 0.446, 0.022, 0.015610379388103158, 0.4961772866456583, 1.0
301.892, 19.522, 20.022, 0.394, 0.02, 374.6, 16.0, 21.678, 0.0, 0.0, 318.573, 20.0, 19.929, 0.0, 0.0, 301.892, 23.522, 20.022, 0.394, 0.02, 0.004549693268348828, 0.2545129764578277, 1.0
304.397, 19.575, 20.062, 0.416, 0.021, 377.312, 16.0, 21.716, 0.0, 0.0, 321.064, 20.0, 19.937, 0.0, 0.0, 304.397, 23.575, 20.062, 0.416, 0.021, -0.022941427927002482, 0.8305415890412975, 1.0
306.903, 19.613, 20.035, 0.329, 0.016, 380.028, 16.0, 21.751, 0.0, 0.0, 323.557, 20.0, 19.944, 0.0, 0.0, 306.903, 23.613, 20.035, 0.329, 0.016, -0.014323361976956862, 0.03175986863508107, 1.0
309.411, 19.64, 20.102, 0.247, 0.012, 382.748, 16.0, 21.784, 0.0, 0.0, 326.05, 20.0, 19.952, 0.0, 0.0, 309.411, 23.64, 20.102, 0.247, 0.012, 0.002213602474426007, -1.3031266111493627, 1.0
311.924, 19.672, 20.108, 0.252, 0.013, 385.472, 16.0, 21.816, 0.0, 0.0, 328.544, 20.0, 19.96, 0.0, 0.0, 311.924, 23.672, 20.108, 0.252, 0.013, 0.007416071117095363, 0.5613919960581892, 1.0
314.44, 19.697, 20.175, 0.214, 0.011, 388.2, 16.0, 21.845, 0.0, 0.0, 331.04, 20.0, 19.968, 0.0, 0.0, 314.44, 23.697, 20.175, 0.214, 0.011, -0.01971328849096117, -0.9469673583469775, 1.0
316.96, 19.713, 20.119, 0.152, 0.008, 390.932, 16.0, 21.873, 0.0, 0.0, 333.536, 20.0, 19.976, 0.0, 0.0, 316.96, 23.713, 20.119, 0.152, 0.008, 0.005439686597582237, 0.3384774308263834, 1.0
319.473, 19.739, 20.092, 0.195, 0.01, 393.667, 16.0, 21.899, 0.0, 0.0, 336.033, 20.0, 19.984, 0.0, 0.0, 319.473, 23.739, 20.092, 0.195, 0.01, -0.005375167147685165, -0.796666196952747, 1.0
321.983, 19.768, 20.058, 0.217, 0.011, 396.406, 16.0, 21.923, 0.0, 0.0, 338.532, 20.0, 19.992, 0.0, 0.0, 321.983, 23.768, 20.058, 0.217, 0.011, 0.0006433674394680801, -0.5245046055341859, 1.0
324.49, 19.791, 20.052, 0.197, 0.01, 399.147, 16.0, 21.946, 0.0, 0.0, 341.031, 20.0, 20.0, 0.0, 0.0, 324.49, 23.791, 20.052, 0.197, 0.01, -0.00738537925541611, 0.14715311687377908, 1.0
