x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
180.998, -0.004, 25.65, -0.029, -0.001, 180.998, -4.004, 25.65, -0.029, -0.001, 201.727, 0.0, 22.406, 0.0, 0.0, 288.536, 4.0, 22.21, 0.0, 0.0, 0.081, 0.753, 3
184.203, 0.179, 25.71, 1.315, 0.051, 184.203, -3.821, 25.71, 1.315, 0.051, 204.525, 0.0, 22.338, 0.0, 0.0, 291.309, 4.0, 22.139, 0.0, 0.0, 0.085, 0.276, 3
187.401, 0.54, 25.633, 2.733, 0.106, 187.401, -3.46, 25.633, 2.733, 0.106, 207.315, 0.0, 22.273, 0.0, 0.0, 294.073, 4.0, 22.066, 0.0, 0.0, 0.04, -2.137, 3
190.583, 0.971, 25.29, 3.355, 0.132, 190.583, -3.029, 25.29, 3.355, 0.132, 210.096, 0.0, 22.211, 0.0, 0.0, 296.829, 4.0, 21.992, 0.0, 0.0, 0.008, -1.918, 3
193.732, 1.406, 25.036, 3.444, 0.137, 193.732, -2.594, 25.036, 3.444, 0.137, 212.87, 0.0, 22.151, 0.0, 0.0, 299.574, 4.0, 21.915, 0.0, 0.0, 0.019, -2.08, 3
196.845, 1.878, 24.735, 3.712, 0.149, 196.845, -2.122, 24.735, 3.712, 0.149, 215.636, 0.0, 22.093, 0.0, 0.0, 302.311, 4.0, 21.836, 0.0, 0.0, 0.001, -1.382, 3
199.929, 2.344, 24.561, 3.706, 0.15, 218.396, 0.0, 22.037, 0.0, 0.0, 305.037, 4.0, 21.755, 0.0, 0.0, 347.427, 8.0, 20.575, 0.0, 0.0, -0.007, -0.824, 3
202.997, 2.791, 24.475, 3.581, 0.145, 221.148, 0.0, 21.984, 0.0, 0.0, 307.753, 4.0, 21.67, 0.0, 0.0, 349.993, 8.0, 20.435, 0.0, 0.0, 0.011, 1.62, 3
206.062, 3.262, 24.652, 3.771, 0.152, 223.894, 0.0, 21.933, 0.0, 0.0, 310.458, 4.0, 21.584, 0.0, 0.0, 352.542, 8.0, 20.31, 0.0, 0.0, -0.019, 0.888, 3
209.154, 3.693, 24.805, 3.493, 0.14, 226.634, 0.0, 21.884, 0.0, 0.0, 313.152, 4.0, 21.497, 0.0, 0.0, 355.076, 8.0, 20.203, 0.0, 0.0, 0.013, -0.363, 3
212.248, 4.159, 24.73, 3.694, 0.148, 229.367, 0.0, 21.837, 0.0, 0.0, 315.836, 4.0, 21.411, 0.0, 0.0, 357.598, 8.0, 20.11, 0.0, 0.0, 0.01, -1.232, 3
215.33, 4.642, 24.553, 3.831, 0.155, 232.095, 0.0, 21.792, 0.0, 0.0, 318.508, 4.0, 21.325, 0.0, 0.0, 270.464, 9.8, 17.575, -3.85, -0.216, -0.018, -2.49, 3
218.392, 5.08, 24.286, 3.514, 0.144, 234.817, 0.0, 21.749, 0.0, 0.0, 321.171, 4.0, 21.242, 0.0, 0.0, 272.688, 9.418, 17.867, -3.323, -0.184, 0.014, -1.013, 3
221.418, 5.55, 24.129, 3.709, 0.153, 237.534, 0.0, 21.707, 0.0, 0.0, 323.822, 4.0, 21.165, 0.0, 0.0, 274.946, 9.107, 18.141, -2.758, -0.151, 0.006, 0.048, 3
224.432, 6.026, 24.122, 3.794, 0.156, 326.465, 4.0, 21.096, 0.0, 0.0, 277.233, 8.86, 18.383, -2.233, -0.121, 252.623, 11.801, 14.64, 0.444, 0.03, -0.007, -0.974, 3
227.445, 6.484, 24.018, 3.671, 0.152, 329.099, 4.0, 21.03, 0.0, 0.0, 279.546, 8.664, 18.596, -1.777, -0.095, 254.464, 11.842, 14.906, 0.379, 0.025, -0.0, 0.796, 3
230.451, 6.943, 24.116, 3.683, 0.152, 331.726, 4.0, 20.965, 0.0, 0.0, 281.883, 8.511, 18.785, -1.397, -0.074, 256.339, 11.875, 15.164, 0.314, 0.021, 0.024, -1.563, 3
233.449, 7.452, 23.868, 4.0, 0.166, 334.343, 4.0, 20.899, 0.0, 0.0, 284.241, 8.391, 18.955, -1.089, -0.057, 258.245, 11.901, 15.415, 0.256, 0.017, 0.003, -0.23, 3
236.431, 7.958, 23.833, 4.035, 0.168, 336.953, 4.0, 20.833, 0.0, 0.0, 286.618, 8.299, 19.11, -0.843, -0.044, 260.182, 11.922, 15.657, 0.206, 0.013, 0.009, 0.242, 3
239.408, 8.481, 23.841, 4.165, 0.173, 339.554, 4.0, 20.768, 0.0, 0.0, 289.014, 8.228, 19.253, -0.65, -0.034, 262.149, 11.939, 15.892, 0.164, 0.01, -0.022, 1.001, 3
242.401, 8.956, 24.018, 3.865, 0.16, 342.148, 4.0, 20.704, 0.0, 0.0, 291.427, 8.174, 19.387, -0.498, -0.026, 264.145, 11.952, 16.119, 0.129, 0.008, -0.019, -0.833, 3
245.405, 9.398, 23.958, 3.574, 0.148, 344.733, 4.0, 20.642, 0.0, 0.0, 293.856, 8.132, 19.513, -0.381, -0.02, 266.169, 11.963, 16.338, 0.102, 0.006, 0.008, -0.451, 3
248.395, 9.862, 23.884, 3.686, 0.153, 347.311, 4.0, 20.58, 0.0, 0.0, 296.3, 8.1, 19.632, -0.291, -0.015, 268.22, 11.971, 16.549, 0.08, 0.005, 0.002, -1.404, 3
251.372, 10.326, 23.706, 3.689, 0.154, 298.759, 8.076, 19.744, -0.221, -0.011, 270.297, 11.978, 16.752, 0.062, 0.004, 251.372, 14.326, 23.706, 3.689, 0.154, -0.068, -6.881, 1
254.318, 10.642, 22.982, 2.627, 0.114, 301.232, 8.058, 19.85, -0.168, -0.008, 272.4, 11.983, 16.948, 0.049, 0.003, 254.318, 14.642, 22.982, 2.627, 0.114, -0.059, -6.081, 1
257.17, 10.849, 22.3, 1.783, 0.08, 303.717, 8.044, 19.95, -0.128, -0.006, 274.526, 11.987, 17.135, 0.038, 0.002, 257.17, 14.849, 22.3, 1.783, 0.08, -0.033, -4.596, 1
259.938, 11.008, 21.755, 1.344, 0.062, 306.215, 8.033, 20.042, -0.097, -0.005, 276.676, 11.99, 17.316, 0.029, 0.002, 259.938, 15.008, 21.755, 1.344, 0.062, -0.012, -5.054, 1
262.633, 11.152, 21.133, 1.162, 0.055, 308.724, 8.025, 20.129, -0.073, -0.004, 278.847, 11.992, 17.488, 0.023, 0.001, 262.633, 15.152, 21.133, 1.162, 0.055, -0.024, -4.523, 1
265.253, 11.253, 20.581, 0.872, 0.042, 311.243, 8.019, 20.21, -0.055, -0.003, 281.04, 11.994, 17.653, 0.017, 0.001, 265.253, 15.253, 20.581, 0.872, 0.042, -0.015, -3.577, 1
267.808, 11.335, 20.14, 0.693, 0.034, 313.773, 8.014, 20.285, -0.042, -0.002, 283.253, 11.995, 17.811, 0.013, 0.001, 267.808, 15.335, 20.14, 0.693, 0.034, -0.003, -1.303, 1
270.318, 11.417, 19.979, 0.659, 0.033, 316.311, 8.011, 20.355, -0.031, -0.002, 285.486, 11.996, 17.962, 0.01, 0.001, 270.318, 15.417, 19.979, 0.659, 0.033, -0.02, -2.472, 1
272.804, 11.465, 19.675, 0.451, 0.023, 318.859, 8.008, 20.42, -0.024, -0.001, 287.738, 11.997, 18.106, 0.008, 0.0, 272.804, 15.465, 19.675, 0.451, 0.023, -0.002, -1.668, 1
275.255, 11.518, 19.467, 0.426, 0.022, 321.414, 8.006, 20.48, -0.018, -0.001, 290.006, 11.998, 18.243, 0.006, 0.0, 275.255, 15.518, 19.467, 0.426, 0.022, -0.024, -0.683, 1
277.685, 11.532, 19.386, 0.194, 0.01, 323.976, 8.005, 20.536, -0.013, -0.001, 292.292, 11.998, 18.373, 0.005, 0.0, 277.685, 15.532, 19.386, 0.194, 0.01, 0.018, -2.301, 1
280.096, 11.585, 19.096, 0.359, 0.019, 326.545, 8.003, 20.588, -0.01, -0.0, 294.594, 11.999, 18.497, 0.004, 0.0, 280.096, 15.585, 19.096, 0.359, 0.019, 0.016, 0.859, 1
282.487, 11.655, 19.2, 0.506, 0.026, 329.121, 8.003, 20.637, -0.008, -0.0, 296.911, 11.999, 18.615, 0.003, 0.0, 282.487, 15.655, 19.2, 0.506, 0.026, -0.018, 0.21, 1
284.888, 11.689, 19.229, 0.339, 0.018, 331.702, 8.002, 20.681, -0.006, -0.0, 299.243, 11.999, 18.727, 0.002, 0.0, 284.888, 15.689, 19.229, 0.339, 0.018, 0.006, -0.47, 1
287.289, 11.741, 19.17, 0.391, 0.02, 334.289, 8.001, 20.722, -0.004, -0.0, 301.588, 11.999, 18.833, 0.002, 0.0, 287.289, 15.741, 19.17, 0.391, 0.02, -0.021, 0.636, 1
289.689, 11.757, 19.252, 0.203, 0.011, 336.881, 8.001, 20.761, -0.003, -0.0, 303.947, 12.0, 18.934, 0.001, 0.0, 289.689, 15.757, 19.252, 0.203, 0.011, 0.008, -0.972, 1
292.09, 11.794, 19.13, 0.271, 0.014, 339.478, 8.001, 20.796, -0.002, -0.0, 306.317, 12.0, 19.03, 0.001, 0.0, 292.09, 15.794, 19.13, 0.271, 0.014, -0.026, 1.414, 1
294.489, 11.787, 19.308, 0.031, 0.002, 342.078, 8.001, 20.828, -0.002, -0.0, 308.7, 12.0, 19.12, 0.001, 0.0, 294.489, 15.787, 19.308, 0.031, 0.002, 0.002, 1.032, 1
296.908, 11.794, 19.437, 0.052, 0.003, 344.683, 8.0, 20.858, -0.001, -0.0, 311.094, 12.0, 19.206, 0.001, 0.0, 296.908, 15.794, 19.437, 0.052, 0.003, 0.013, 1.007, 1
299.343, 11.821, 19.563, 0.173, 0.009, 347.292, 8.0, 20.885, -0.001, -0.0, 313.498, 12.0, 19.287, 0.0, 0.0, 299.343, 15.821, 19.563, 0.173, 0.009, -0.005, 1.049, 1
301.794, 11.835, 19.694, 0.126, 0.006, 349.903, 8.0, 20.911, -0.001, -0.0, 315.912, 12.0, 19.363, 0.0, 0.0, 301.794, 15.835, 19.694, 0.126, 0.006, -0.004, 1.421, 1
