time, LA.acc, pos, decMax, accMax, vMax, vel, target, HA
0.000000, 0.337374, 0.000000, -12.000000, 10.000000, 10.000000, 0.000000, 100.000000, 0
1.000000, 1.466868, 0.001687, -12.000000, 10.000000, 10.000000, 0.033737, 100.000000, 0
2.000000, 3.616136, 0.012395, -12.000000, 10.000000, 10.000000, 0.180424, 100.000000, 0
3.000000, 4.943175, 0.048518, -12.000000, 10.000000, 10.000000, 0.542038, 100.000000, 0
4.000000, 5.459653, 0.127438, -12.000000, 10.000000, 10.000000, 1.036355, 100.000000, 0
5.000000, 6.394216, 0.258372, -12.000000, 10.000000, 10.000000, 1.582321, 100.000000, 0
6.000000, 6.827502, 0.448575, -12.000000, 10.000000, 10.000000, 2.221742, 100.000000, 0
7.000000, 7.506673, 0.704886, -12.000000, 10.000000, 10.000000, 2.904492, 100.000000, 0
8.000000, 8.511847, 1.032869, -12.000000, 10.000000, 10.000000, 3.655160, 100.000000, 0
9.000000, 9.983477, 1.440944, -12.000000, 10.000000, 10.000000, 4.506344, 100.000000, 0
10.000000, 9.835194, 1.941496, -12.000000, 10.000000, 10.000000, 5.504692, 100.000000, 0
11.000000, 9.781621, 2.541141, -12.000000, 10.000000, 10.000000, 6.488211, 100.000000, 0
12.000000, 10.303801, 3.238870, -12.000000, 10.000000, 10.000000, 7.466374, 100.000000, 0
13.000000, 10.198311, 4.037027, -12.000000, 10.000000, 10.000000, 8.496754, 100.000000, 0
14.000000, 9.297414, 4.937694, -12.000000, 10.000000, 10.000000, 9.516585, 100.000000, 1
15.000000, 9.500860, 5.935839, -12.000000, 10.000000, 10.000000, 10.446326, 100.000000, 1
16.000000, 8.084535, 7.027976, -12.000000, 10.000000, 10.000000, 11.396412, 100.000000, 1
17.000000, 6.852253, 8.208040, -12.000000, 10.000000, 10.000000, 12.204866, 100.000000, 1
18.000000, 5.551765, 9.462788, -12.000000, 10.000000, 10.000000, 12.890091, 100.000000, 1
19.000000, 4.968629, 10.779556, -12.000000, 10.000000, 10.000000, 13.445267, 100.000000, 1
20.000000, 4.915946, 12.148926, -12.000000, 10.000000, 10.000000, 13.942130, 100.000000, 1
21.000000, 3.088868, 13.567718, -12.000000, 10.000000, 10.000000, 14.433725, 100.000000, 1
22.000000, 2.215660, 15.026535, -12.000000, 10.000000, 10.000000, 14.742612, 100.000000, 1
23.000000, 1.199179, 16.511875, -12.000000, 10.000000, 10.000000, 14.964178, 100.000000, 1
24.000000, 0.388700, 18.014288, -12.000000, 10.000000, 10.000000, 15.084096, 100.000000, 1
25.000000, 1.099226, 19.524642, -12.000000, 10.000000, 10.000000, 15.122966, 100.000000, 1
26.000000, -0.841429, 21.042434, -12.000000, 10.000000, 10.000000, 15.232888, 100.000000, 1
27.000000, 0.408684, 22.561516, -12.000000, 10.000000, 10.000000, 15.148745, 100.000000, 1
28.000000, 0.201640, 24.078434, -12.000000, 10.000000, 10.000000, 15.189614, 100.000000, 1
29.000000, 0.382854, 25.598403, -12.000000, 10.000000, 10.000000, 15.209778, 100.000000, 1
30.000000, 0.100500, 27.121296, -12.000000, 10.000000, 10.000000, 15.248063, 100.000000, 1
31.000000, -0.261926, 28.646604, -12.000000, 10.000000, 10.000000, 15.258113, 100.000000, 1
32.000000, 1.313300, 30.171106, -12.000000, 10.000000, 10.000000, 15.231921, 100.000000, 1
33.000000, 0.814747, 31.700865, -12.000000, 10.000000, 10.000000, 15.363251, 100.000000, 1
34.000000, 0.404589, 33.241263, -12.000000, 10.000000, 10.000000, 15.444725, 100.000000, 1
35.000000, -0.611260, 34.787759, -12.000000, 10.000000, 10.000000, 15.485184, 100.000000, 1
36.000000, -0.687126, 36.333221, -12.000000, 10.000000, 10.000000, 15.424058, 100.000000, 1
37.000000, -0.384762, 37.872191, -12.000000, 10.000000, 10.000000, 15.355346, 100.000000, 1
38.000000, -0.392951, 39.405802, -12.000000, 10.000000, 10.000000, 15.316870, 100.000000, 1
