time, LA.acc, pos, decMax, accMax, vMax, vel, target, HA
0.000000, 0.765065, 0.000000, -10.000000, 10.000000, 50.000000, 0.000000, 100.000000, 0
1.000000, 1.845130, 0.003825, -10.000000, 10.000000, 50.000000, 0.076506, 100.000000, 0
2.000000, 2.144721, 0.020702, -10.000000, 10.000000, 50.000000, 0.261019, 100.000000, 0
3.000000, 1.961770, 0.057527, -10.000000, 10.000000, 50.000000, 0.475492, 100.000000, 0
4.000000, 2.404367, 0.114885, -10.000000, 10.000000, 50.000000, 0.671669, 100.000000, 0
5.000000, 2.637210, 0.194074, -10.000000, 10.000000, 50.000000, 0.912105, 100.000000, 0
6.000000, 3.750883, 0.298470, -10.000000, 10.000000, 50.000000, 1.175826, 100.000000, 0
7.000000, 5.308506, 0.434808, -10.000000, 10.000000, 50.000000, 1.550915, 100.000000, 0
8.000000, 6.729486, 0.616442, -10.000000, 10.000000, 50.000000, 2.081765, 100.000000, 0
9.000000, 6.620103, 0.858265, -10.000000, 10.000000, 50.000000, 2.754714, 100.000000, 0
10.000000, 7.543766, 1.166837, -10.000000, 10.000000, 50.000000, 3.416724, 100.000000, 0
11.000000, 8.281499, 1.546229, -10.000000, 10.000000, 50.000000, 4.171101, 100.000000, 0
12.000000, 9.098681, 2.004746, -10.000000, 10.000000, 50.000000, 4.999251, 100.000000, 0
13.000000, 10.382962, 2.550165, -10.000000, 10.000000, 50.000000, 5.909119, 100.000000, 0
14.000000, 10.655579, 3.192991, -10.000000, 10.000000, 50.000000, 6.947415, 100.000000, 0
15.000000, 9.757730, 3.941011, -10.000000, 10.000000, 50.000000, 8.012973, 100.000000, 0
16.000000, 8.921265, 4.791097, -10.000000, 10.000000, 50.000000, 8.988746, 100.000000, 0
17.000000, 9.354578, 5.734578, -10.000000, 10.000000, 50.000000, 9.880872, 100.000000, 0
18.000000, 9.439382, 6.769438, -10.000000, 10.000000, 50.000000, 10.816330, 100.000000, 0
19.000000, 9.505201, 7.898268, -10.000000, 10.000000, 50.000000, 11.760268, 100.000000, 0
20.000000, 9.876830, 9.121820, -10.000000, 10.000000, 50.000000, 12.710788, 100.000000, 0
21.000000, 9.746260, 10.442283, -10.000000, 10.000000, 50.000000, 13.698471, 100.000000, 0
22.000000, 10.635912, 11.860862, -10.000000, 10.000000, 50.000000, 14.673097, 100.000000, 0
23.000000, 10.187731, 13.381351, -10.000000, 10.000000, 50.000000, 15.736689, 100.000000, 0
24.000000, 10.068587, 15.005959, -10.000000, 10.000000, 50.000000, 16.755462, 100.000000, 0
25.000000, 10.561118, 16.731848, -10.000000, 10.000000, 50.000000, 17.762320, 100.000000, 0
26.000000, 10.312074, 18.560885, -10.000000, 10.000000, 50.000000, 18.818432, 100.000000, 0
27.000000, 10.129279, 20.494289, -10.000000, 10.000000, 50.000000, 19.849640, 100.000000, 0
28.000000, 9.334146, 22.529899, -10.000000, 10.000000, 50.000000, 20.862568, 100.000000, 0
29.000000, 9.961301, 24.662827, -10.000000, 10.000000, 50.000000, 21.795982, 100.000000, 0
30.000000, 10.234032, 26.892232, -10.000000, 10.000000, 50.000000, 22.792112, 100.000000, 0
31.000000, 10.342015, 29.222613, -10.000000, 10.000000, 50.000000, 23.815516, 100.000000, 0
32.000000, 10.397716, 31.655875, -10.000000, 10.000000, 50.000000, 24.849717, 100.000000, 0
33.000000, 10.302825, 34.192835, -10.000000, 10.000000, 50.000000, 25.889489, 100.000000, 0
34.000000, 9.460610, 36.833298, -10.000000, 10.000000, 50.000000, 26.919771, 100.000000, 0
35.000000, 10.083485, 39.572578, -10.000000, 10.000000, 50.000000, 27.865832, 100.000000, 0
36.000000, 9.245802, 42.409579, -10.000000, 10.000000, 50.000000, 28.874181, 100.000000, 0
37.000000, 10.252087, 45.343226, -10.000000, 10.000000, 50.000000, 29.798761, 100.000000, 0
38.000000, 9.746600, 48.374362, -10.000000, 10.000000, 50.000000, 30.823970, 100.000000, 0
39.000000, 8.919450, 51.505492, -10.000000, 10.000000, 50.000000, 31.798630, 100.000000, 2
40.000000, 7.369873, 54.729953, -10.000000, 10.000000, 50.000000, 32.690575, 100.000000, 2
41.000000, 6.736494, 58.035859, -10.000000, 10.000000, 50.000000, 33.427562, 100.000000, 2
42.000000, 6.514304, 61.412298, -10.000000, 10.000000, 50.000000, 34.101211, 100.000000, 2
43.000000, 5.364886, 64.854991, -10.000000, 10.000000, 50.000000, 34.752642, 100.000000, 2
44.000000, 4.712376, 68.357079, -10.000000, 10.000000, 50.000000, 35.289130, 100.000000, 2
45.000000, 3.237543, 71.909554, -10.000000, 10.000000, 50.000000, 35.760368, 100.000000, 2
46.000000, 2.107480, 75.501779, -10.000000, 10.000000, 50.000000, 36.084122, 100.000000, 2
47.000000, 1.065512, 79.120728, -10.000000, 10.000000, 50.000000, 36.294870, 100.000000, 2
48.000000, 0.420932, 82.755543, -10.000000, 10.000000, 50.000000, 36.401421, 100.000000, 2
49.000000, -0.154405, 86.397790, -10.000000, 10.000000, 50.000000, 36.443515, 100.000000, 2
50.000000, -1.104708, 90.041369, -10.000000, 10.000000, 50.000000, 36.428074, 100.000000, 2
51.000000, -2.821765, 93.678653, -10.000000, 10.000000, 50.000000, 36.317603, 100.000000, 2
52.000000, -4.312173, 97.296304, -10.000000, 10.000000, 50.000000, 36.035427, 100.000000, 2
53.000000, -5.235880, 100.878286, -10.000000, 10.000000, 50.000000, 35.604209, 100.000000, 2
54.000000, -6.428042, 104.412528, -10.000000, 10.000000, 50.000000, 35.080621, 100.000000, 2
55.000000, -7.055115, 107.888450, -10.000000, 10.000000, 50.000000, 34.437817, 100.000000, 2
56.000000, -7.756697, 111.296956, -10.000000, 10.000000, 50.000000, 33.732306, 100.000000, 2
57.000000, -9.322087, 114.631403, -10.000000, 10.000000, 50.000000, 32.956636, 100.000000, 2
58.000000, -9.587766, 117.880456, -10.000000, 10.000000, 50.000000, 32.024427, 100.000000, 2
59.000000, -10.285700, 121.034960, -10.000000, 10.000000, 50.000000, 31.065651, 100.000000, 2
60.000000, -10.270268, 124.090097, -10.000000, 10.000000, 50.000000, 30.037081, 100.000000, 2
61.000000, -9.312009, 127.042453, -10.000000, 10.000000, 50.000000, 29.010054, 100.000000, 2
62.000000, -10.397474, 129.896899, -10.000000, 10.000000, 50.000000, 28.078853, 100.000000, 2
63.000000, -9.849877, 132.652797, -10.000000, 10.000000, 50.000000, 27.039106, 100.000000, 2
64.000000, -9.340099, 135.307458, -10.000000, 10.000000, 50.000000, 26.054118, 100.000000, 2
65.000000, -10.041914, 137.866169, -10.000000, 10.000000, 50.000000, 25.120108, 100.000000, 2
66.000000, -10.017854, 140.327970, -10.000000, 10.000000, 50.000000, 24.115916, 100.000000, 2
67.000000, -9.745463, 142.689473, -10.000000, 10.000000, 50.000000, 23.114131, 100.000000, 2
68.000000, -9.121418, 144.952158, -10.000000, 10.000000, 50.000000, 22.139585, 100.000000, 2
