x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
196.248, 11.081, 25.296, -2.496, -0.098, 232.64, 8.0, 20.877, 0.0, 0.0, 295.251, 12.0, 21.51, 0.0, 0.0, 196.248, 15.081, 25.296, -2.496, -0.098, 0.056, 3.383, 0
209.14, 10.693, 26.391, 0.145, 0.005, 242.829, 8.0, 19.838, 0.0, 0.0, 305.734, 12.0, 20.376, 0.0, 0.0, 209.14, 14.693, 26.391, 0.145, 0.005, -0.019, 1.429, 0
222.485, 10.954, 27.383, 0.663, 0.024, 252.599, 8.0, 19.204, 0.0, 0.0, 315.757, 12.0, 19.684, 0.0, 0.0, 222.485, 14.954, 27.383, 0.663, 0.024, 0.02, -0.1, 0
236.23, 11.417, 27.699, 0.751, 0.027, 262.104, 8.0, 18.799, 0.0, 0.0, 325.497, 12.0, 19.256, 0.0, 0.0, 236.23, 15.417, 27.699, 0.751, 0.027, -0.003, 0.388, 0
250.238, 11.764, 28.345, 0.308, 0.011, 271.443, 8.0, 18.544, 0.0, 0.0, 335.062, 12.0, 18.997, 0.0, 0.0, 250.238, 15.764, 28.345, 0.308, 0.011, -0.004, 1.334, 0
264.556, 11.773, 29.051, -0.08, -0.003, 280.677, 8.0, 18.387, 0.0, 0.0, 344.525, 12.0, 18.851, 0.0, 0.0, 264.556, 15.773, 29.051, -0.08, -0.003, 0.014, 2.165, 0
279.237, 11.953, 29.543, 0.459, 0.016, 289.85, 8.0, 18.299, 0.0, 0.0, 353.933, 12.0, 18.781, 0.0, 0.0, 279.237, 15.953, 29.543, 0.459, 0.016, 0.012, 1.298, 0
294.067, 12.062, 30.085, 0.241, 0.008, 298.989, 8.0, 18.259, 0.0, 0.0, 363.318, 12.0, 18.763, 0.0, 0.0, 294.067, 16.062, 30.085, 0.241, 0.008, -0.001, -1.644, 0
309.1, 12.099, 30.092, -0.023, -0.001, 308.116, 8.0, 18.253, 0.0, 0.0, 372.702, 12.0, 18.782, 0.0, 0.0, 309.1, 16.099, 30.092, -0.023, -0.001, 0.025, -3.553, 0
324.126, 12.022, 30.139, -0.373, -0.012, 317.245, 8.0, 18.252, 0.0, 0.0, 382.102, 12.0, 18.825, 0.0, 0.0, 324.126, 16.022, 30.139, -0.373, -0.012, 0.006, -0.77, 0
339.027, 12.124, 29.668, 0.524, 0.018, 459.977, 8.0, 19.701, 0.0, 0.0, 391.527, 12.0, 18.884, 0.0, 0.0, 339.027, 16.124, 29.668, 0.524, 0.018, -0.018, -3.853, 0
353.719, 12.328, 29.258, -0.191, -0.007, 400.708, 9.772, 18.545, -3.951, -0.21, 448.681, 12.0, 20.652, 0.0, 0.0, 353.719, 16.328, 29.258, -0.191, -0.007, 0.023, 3.371, 0
368.335, 12.346, 29.383, 0.31, 0.011, 410.2, 8.625, 19.266, -1.696, -0.088, 459.006, 12.0, 20.646, 0.0, 0.0, 368.335, 16.346, 29.383, 0.31, 0.011, -0.007, -1.245, 0
382.928, 12.409, 29.27, -0.303, -0.01, 419.932, 8.207, 19.648, -0.589, -0.03, 469.327, 12.0, 20.641, 0.0, 0.0, 382.928, 16.409, 29.27, -0.303, -0.01, 0.01, 3.387, 0
397.543, 12.152, 29.546, -0.653, -0.022, 429.817, 8.067, 19.91, -0.193, -0.01, 479.647, 12.0, 20.637, 0.0, 0.0, 397.543, 16.152, 29.546, -0.653, -0.022, -0.01, 0.706, 0
412.375, 12.093, 29.843, -0.215, -0.007, 439.818, 8.021, 20.112, -0.062, -0.003, 489.964, 12.0, 20.634, 0.0, 0.0, 412.375, 16.093, 29.843, -0.215, -0.007, 0.014, -2.538, 0
427.393, 11.798, 30.192, -0.716, -0.024, 449.91, 8.007, 20.27, -0.02, -0.001, 500.281, 12.0, 20.631, 0.0, 0.0, 427.393, 15.798, 30.192, -0.716, -0.024, 0.025, -2.796, 0
442.519, 11.645, 30.166, -0.548, -0.018, 460.073, 8.002, 20.393, -0.006, -0.0, 510.596, 12.0, 20.629, 0.0, 0.0, 442.519, 15.645, 30.166, -0.548, -0.018, 0.027, 1.508, 0
457.404, 11.521, 29.45, 0.492, 0.017, 470.292, 8.001, 20.49, -0.002, -0.0, 520.91, 12.0, 20.627, 0.0, 0.0, 457.404, 15.521, 29.45, 0.492, 0.017, 0.013, 1.321, 0
472.102, 11.72, 29.402, 0.445, 0.015, 480.554, 8.0, 20.565, -0.001, -0.0, 531.223, 12.0, 20.626, 0.0, 0.0, 472.102, 15.72, 29.402, 0.445, 0.015, -0.008, 0.469, 0
486.978, 11.729, 29.617, 0.072, 0.002, 490.85, 8.0, 20.623, -0.0, -0.0, 541.536, 12.0, 20.625, 0.0, 0.0, 486.978, 15.729, 29.617, 0.072, 0.002, 0.03, 5.154, 0
501.749, 11.921, 29.308, 0.799, 0.027, 501.171, 8.0, 20.668, -0.0, -0.0, 551.848, 12.0, 20.624, 0.0, 0.0, 501.749, 15.921, 29.308, 0.799, 0.027, -0.018, -4.572, 0
516.486, 11.971, 30.082, 0.099, 0.003, 511.514, 8.0, 20.704, -0.0, -0.0, 562.16, 12.0, 20.623, 0.0, 0.0, 516.486, 15.971, 30.082, 0.099, 0.003, 0.017, -2.758, 0
531.605, 11.954, 30.2, -0.13, -0.004, 521.872, 8.0, 20.732, -0.0, -0.0, 572.471, 12.0, 20.622, 0.0, 0.0, 531.605, 15.954, 30.2, -0.13, -0.004, -0.013, 3.793, 0
546.813, 12.094, 30.281, 0.367, 0.012, 600.978, 8.0, 20.547, 0.0, 0.0, 582.782, 12.0, 20.621, 0.0, 0.0, 546.813, 16.094, 30.281, 0.367, 0.012, 0.001, -2.072, 0
561.803, 12.114, 30.068, 0.108, 0.004, 611.261, 8.0, 20.589, 0.0, 0.0, 593.092, 12.0, 20.62, 0.0, 0.0, 561.803, 16.114, 30.068, 0.108, 0.004, 0.005, 0.091, 0
576.747, 12.267, 29.771, -0.078, -0.003, 621.565, 8.0, 20.629, 0.0, 0.0, 603.402, 12.0, 20.619, 0.0, 0.0, 576.747, 16.267, 29.771, -0.078, -0.003, -0.096, 1.711, 2
591.473, 10.807, 29.236, -3.803, -0.129, 631.888, 8.0, 20.667, 0.0, 0.0, 613.711, 12.0, 20.618, 0.0, 0.0, 591.473, 14.807, 29.236, -3.803, -0.129, 0.024, 0.854, 2
606.107, 8.696, 29.582, -4.197, -0.141, 664.52, 4.0, 20.222, 0.0, 0.0, 642.229, 8.0, 20.702, 0.0, 0.0, 624.02, 12.0, 20.618, 0.0, 0.0, 0.093, -2.43, 0
621.022, 7.886, 29.881, -0.565, -0.019, 674.623, 4.0, 20.185, 0.0, 0.0, 652.588, 8.0, 20.736, 0.0, 0.0, 634.329, 12.0, 20.617, 0.0, 0.0, 0.0, -2.83, 0
635.853, 7.753, 29.284, 0.321, 0.011, 684.707, 4.0, 20.148, 0.0, 0.0, 662.963, 8.0, 20.767, 0.0, 0.0, 644.637, 12.0, 20.616, 0.0, 0.0, -0.059, -3.193, 2
650.543, 6.499, 29.375, -3.378, -0.115, 694.774, 4.0, 20.113, 0.0, 0.0, 673.353, 8.0, 20.797, 0.0, 0.0, 654.945, 12.0, 20.616, 0.0, 0.0, 0.006, -0.852, 2
665.169, 4.747, 28.968, -3.726, -0.128, 658.944, 0.0, 21.56, -0.0, -0.0, 704.822, 4.0, 20.079, 0.0, 0.0, 683.758, 8.0, 20.825, 0.0, 0.0, 0.073, -1.318, 0
679.771, 3.913, 29.587, -1.215, -0.041, 761.251, 0.0, 20.453, 0.0, 0.0, 714.854, 4.0, 20.046, 0.0, 0.0, 694.176, 8.0, 20.851, 0.0, 0.0, -0.0, -1.042, 0
694.565, 3.885, 29.68, 0.075, 0.003, 771.478, 0.0, 20.453, 0.0, 0.0, 724.87, 4.0, 20.015, 0.0, 0.0, 704.607, 8.0, 20.876, 0.0, 0.0, -0.121, -1.98, 2
709.386, 2.943, 29.423, -2.734, -0.093, 781.705, 0.0, 20.454, 0.0, 0.0, 734.871, 4.0, 19.985, 0.0, 0.0, 715.05, 8.0, 20.9, 0.0, 0.0, -0.004, 3.769, 2
724.16, 1.136, 29.427, -4.236, -0.143, 724.16, -2.864, 29.427, -4.236, -0.143, 791.932, 0.0, 20.454, 0.0, 0.0, 744.857, 4.0, 19.956, 0.0, 0.0, 0.057, -0.853, 0
738.994, -0.053, 29.61, -1.535, -0.052, 738.994, -4.053, 29.61, -1.535, -0.052, 802.158, 0.0, 20.454, 0.0, 0.0, 754.829, 4.0, 19.929, 0.0, 0.0, 0.039, 3.036, 0
753.693, -0.431, 29.324, -0.514, -0.018, 753.693, -4.431, 29.324, -0.514, -0.018, 812.385, 0.0, 20.454, 0.0, 0.0, 764.788, 4.0, 19.903, 0.0, 0.0, 0.02, 1.097, 0
768.265, -0.46, 29.123, 0.151, 0.005, 768.265, -4.46, 29.123, 0.151, 0.005, 822.612, 0.0, 20.454, 0.0, 0.0, 774.734, 4.0, 19.879, 0.0, 0.0, 0.051, -0.331, 0
782.9, -0.468, 29.538, -0.369, -0.012, 782.9, -4.468, 29.538, -0.369, -0.012, 832.839, 0.0, 20.454, 0.0, 0.0, 784.669, 4.0, 19.856, 0.0, 0.0, 0.04, 3.442, 0
797.704, -0.44, 29.999, 0.72, 0.024, 797.704, -4.44, 29.999, 0.72, 0.024, 843.066, 0.0, 20.454, 0.0, 0.0, 794.592, 4.0, 19.835, 0.0, 0.0, -0.019, 0.071, 0
812.565, -0.271, 29.631, -0.162, -0.005, 812.565, -4.271, 29.631, -0.162, -0.005, 853.293, 0.0, 20.454, 0.0, 0.0, 804.505, 4.0, 19.815, 0.0, 0.0, -0.005, 0.765, 0
827.436, -0.208, 30.031, 0.077, 0.003, 827.436, -4.208, 30.031, 0.077, 0.003, 863.52, 0.0, 20.454, 0.0, 0.0, 874.288, 4.0, 19.282, -0.0, -0.0, 0.001, 1.086, 0
842.441, -0.184, 29.948, -0.303, -0.01, 842.441, -4.184, 29.948, -0.303, -0.01, 873.747, 0.0, 20.454, 0.0, 0.0, 883.933, 4.0, 19.303, -0.0, -0.0, 0.071, 1.527, 3
857.232, 1.134, 29.052, 3.188, 0.109, 857.232, -2.866, 29.052, 3.188, 0.109, 883.975, 0.0, 20.455, 0.0, 0.0, 893.589, 4.0, 19.323, -0.0, -0.0, 0.01, 0.986, 3
871.52, 3.216, 28.731, 4.775, 0.165, 894.202, 0.0, 20.455, 0.0, 0.0, 903.255, 4.0, 19.344, -0.0, -0.0, 897.491, 8.0, 21.524, 0.0, 0.0, -0.092, -1.112, 0
885.99, 4.5, 29.129, 1.473, 0.051, 904.43, 0.0, 20.455, 0.0, 0.0, 912.931, 4.0, 19.363, -0.0, -0.0, 908.253, 8.0, 21.523, 0.0, 0.0, -0.076, -10.156, 1
899.781, 4.735, 25.55, 0.184, 0.007, 914.658, 0.0, 20.456, 0.0, 0.0, 922.617, 4.0, 19.383, -0.0, -0.0, 919.014, 8.0, 21.522, 0.0, 0.0, -0.0, -11.814, 1
912.049, 4.641, 23.272, -0.146, -0.006, 924.886, 0.0, 20.456, 0.0, 0.0, 932.313, 4.0, 19.402, -0.0, -0.0, 929.775, 8.0, 21.522, 0.0, 0.0, 0.009, -4.259, 1
923.166, 4.325, 21.352, -0.692, -0.032, 935.114, 0.0, 20.457, 0.0, 0.0, 942.018, 4.0, 19.421, -0.0, -0.0, 940.536, 8.0, 21.521, 0.0, 0.0, 0.006, -2.434, 1
933.628, 4.118, 20.411, -0.212, -0.01, 945.343, 0.0, 20.458, 0.0, 0.0, 951.732, 4.0, 19.439, -0.0, -0.0, 951.296, 8.0, 21.52, 0.0, 0.0, -0.023, 0.888, 1
943.696, 4.01, 19.715, -0.251, -0.013, 955.572, 0.0, 20.458, 0.0, 0.0, 961.456, 4.0, 19.457, -0.0, -0.0, 962.056, 8.0, 21.519, 0.0, 0.0, 0.011, 1.13, 1
953.638, 4.018, 19.531, -0.065, -0.003, 965.801, 0.0, 20.459, 0.0, 0.0, 971.189, 4.0, 19.475, -0.0, -0.0, 972.816, 8.0, 21.519, 0.0, 0.0, -0.009, -2.915, 1
963.389, 4.021, 19.412, -0.042, -0.002, 976.031, 0.0, 20.46, 0.0, 0.0, 980.93, 4.0, 19.492, -0.0, -0.0, 983.575, 8.0, 21.518, 0.0, 0.0, 0.014, 1.234, 1
973.048, 4.0, 19.437, -0.069, -0.004, 986.261, 0.0, 20.461, 0.0, 0.0, 990.68, 4.0, 19.509, -0.0, -0.0, 994.333, 8.0, 21.517, 0.0, 0.0, -0.009, 1.706, 1
982.725, 3.953, 19.243, -0.059, -0.003, 996.492, 0.0, 20.462, 0.0, 0.0, 1000.438, 4.0, 19.526, -0.0, -0.0, 1005.092, 8.0, 21.517, 0.0, 0.0, -0.008, -0.264, 1
992.362, 3.974, 18.947, 0.159, 0.008, 1006.723, 0.0, 20.463, 0.0, 0.0, 1010.204, 4.0, 19.542, -0.0, -0.0, 1015.85, 8.0, 21.516, 0.0, 0.0, 0.002, 3.111, 1
