x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
193.74, 8.074, 22.996, 0.008, 0.0, 236.516, 4.0, 21.368, 0.0, 0.0, 258.364, 8.0, 23.199, 0.0, 0.0, 299.347, 12.0, 18.838, 0.0, 0.0, -0.005, 2.603, 0
205.549, 8.023, 24.105, -0.173, -0.007, 247.157, 4.0, 21.123, 0.0, 0.0, 269.842, 8.0, 22.639, 0.0, 0.0, 308.315, 12.0, 17.082, 0.0, 0.0, 0.012, 2.504, 0
217.852, 8.004, 25.133, 0.02, 0.001, 257.663, 4.0, 20.888, 0.0, 0.0, 281.089, 8.0, 22.432, 0.0, 0.0, 316.673, 12.0, 16.361, 0.0, 0.0, -0.003, 2.212, 0
230.631, 7.962, 25.978, -0.096, -0.004, 268.07, 4.0, 20.727, 0.0, 0.0, 292.296, 8.0, 22.387, 0.0, 0.0, 324.781, 12.0, 16.086, 0.0, 0.0, 0.008, 1.302, 0
243.775, 8.004, 26.878, 0.076, 0.003, 278.407, 4.0, 20.614, 0.0, 0.0, 303.478, 8.0, 22.335, 0.0, 0.0, 332.807, 12.0, 16.04, 0.0, 0.0, -0.01, 2.143, 0
257.239, 7.993, 27.201, 0.094, 0.003, 288.695, 4.0, 20.534, 0.0, 0.0, 314.633, 8.0, 22.277, 0.0, 0.0, 340.841, 12.0, 16.12, 0.0, 0.0, -0.001, 0.472, 0
270.96, 8.007, 27.79, 0.092, 0.003, 298.949, 4.0, 20.482, 0.0, 0.0, 325.758, 8.0, 22.215, 0.0, 0.0, 348.932, 12.0, 16.269, 0.0, 0.0, 0.004, 0.331, 0
284.944, 7.985, 28.277, -0.004, -0.0, 309.184, 4.0, 20.457, 0.0, 0.0, 336.851, 8.0, 22.151, 0.0, 0.0, 357.106, 12.0, 16.455, 0.0, 0.0, 0.009, 3.116, 0
299.18, 8.007, 28.5, 0.183, 0.006, 319.41, 4.0, 20.446, 0.0, 0.0, 347.912, 8.0, 22.083, 0.0, 0.0, 365.377, 12.0, 16.657, 0.0, 0.0, 0.006, 1.331, 0
313.58, 8.047, 29.063, -0.061, -0.002, 329.631, 4.0, 20.44, 0.0, 0.0, 358.94, 8.0, 22.025, 0.0, 0.0, 373.751, 12.0, 16.863, 0.0, 0.0, 0.009, 0.187, 0
