x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
144.779, 0.013, 23.458, 0.085, 0.004, 144.779, -3.987, 23.458, 0.085, 0.004, 210.83, 0.0, 22.386, 0.0, 0.0, 244.779, 4, 23.458, 0.085, 0.004, 0.092, -8.437, 3
147.661, 0.208, 22.367, 1.278, 0.057, 147.661, -3.792, 22.367, 1.278, 0.057, 213.622, 0.0, 22.24, 0.0, 0.0, 247.661, 4, 22.367, 1.278, 0.057, 0.09, -4.587, 3
150.417, 0.537, 21.705, 2.332, 0.107, 150.417, -3.463, 21.705, 2.332, 0.107, 216.397, 0.0, 22.107, 0.0, 0.0, 250.417, 4, 21.705, 2.332, 0.107, 0.034, -0.301, 3
153.122, 0.89, 21.622, 2.725, 0.125, 153.122, -3.11, 21.622, 2.725, 0.125, 219.155, 0.0, 21.985, 0.0, 0.0, 253.122, 4, 21.622, 2.725, 0.125, 0.039, -1.085, 3
155.809, 1.302, 21.425, 3.163, 0.147, 155.809, -2.698, 21.425, 3.163, 0.147, 221.898, 0.0, 21.874, 0.0, 0.0, 238.898, 5.577, 23.192, -3.609, -0.154, 0.003, -0.725, 3
158.482, 1.702, 21.331, 3.181, 0.148, 158.482, -2.298, 21.331, 3.181, 0.148, 224.628, 0.0, 21.772, 0.0, 0.0, 241.809, 5.217, 23.276, -2.994, -0.128, -0.003, -1.177, 3
161.144, 2.093, 21.191, 3.123, 0.146, 227.346, 0.0, 21.679, 0.0, 0.0, 244.728, 4.93, 23.341, -2.411, -0.103, 176.866, 9.169, 17.822, 4.125, 0.227, 0.004, -0.151, 3
163.791, 2.489, 21.166, 3.161, 0.148, 230.052, 0.0, 21.593, 0.0, 0.0, 247.653, 4.705, 23.384, -1.901, -0.081, 179.056, 9.71, 17.057, 4.103, 0.236, -0.007, -0.888, 3
166.434, 2.871, 21.068, 3.064, 0.144, 232.748, 0.0, 21.515, 0.0, 0.0, 250.58, 4.531, 23.412, -1.476, -0.063, 199.516, 8.0, 21.502, 0.0, 0.0, 0.009, -0.813, 3
169.061, 3.269, 20.953, 3.148, 0.149, 235.434, 0.0, 21.444, 0.0, 0.0, 253.509, 4.398, 23.427, -1.133, -0.048, 202.206, 8.0, 21.554, 0.0, 0.0, 0.002, 0.078, 3
171.68, 3.666, 20.959, 3.171, 0.15, 238.112, 0.0, 21.378, 0.0, 0.0, 256.439, 4.297, 23.435, -0.862, -0.037, 204.902, 8.0, 21.602, 0.0, 0.0, -0.001, -0.323, 3
174.298, 4.06, 20.922, 3.149, 0.149, 240.782, 0.0, 21.318, 0.0, 0.0, 259.369, 4.221, 23.438, -0.651, -0.028, 207.604, 8.0, 21.647, 0.0, 0.0, 0.001, -1.39, 3
176.906, 4.454, 20.748, 3.138, 0.15, 243.444, 0.0, 21.263, 0.0, 0.0, 262.299, 4.164, 23.439, -0.489, -0.021, 210.312, 8.0, 21.689, 0.0, 0.0, 0.0, -1.251, 3
179.493, 4.846, 20.593, 3.116, 0.15, 246.1, 0.0, 21.213, 0.0, 0.0, 265.229, 4.122, 23.437, -0.366, -0.016, 213.024, 8.0, 21.728, 0.0, 0.0, 0.007, -0.34, 3
182.063, 5.248, 20.539, 3.187, 0.154, 248.75, 0.0, 21.167, 0.0, 0.0, 268.159, 4.09, 23.435, -0.273, -0.012, 215.742, 8.0, 21.765, 0.0, 0.0, -0.0, -0.931, 3
184.626, 5.645, 20.424, 3.166, 0.154, 251.394, 0.0, 21.125, 0.0, 0.0, 271.088, 4.067, 23.432, -0.203, -0.009, 218.464, 8.0, 21.799, 0.0, 0.0, -0.001, 0.049, 3
187.18, 6.039, 20.433, 3.154, 0.153, 274.017, 4.049, 23.428, -0.151, -0.006, 221.19, 8.0, 21.831, 0.0, 0.0, 197.867, 13.828, 16.652, 4.695, 0.275, 0.011, -0.147, 3
189.73, 6.452, 20.396, 3.27, 0.159, 276.946, 4.036, 23.425, -0.111, -0.005, 223.92, 8.0, 21.86, 0.0, 0.0, 239.49, 12.0, 20.964, 0.0, 0.0, 0.001, -0.695, 3
192.276, 6.862, 20.308, 3.266, 0.159, 279.874, 4.027, 23.421, -0.082, -0.004, 226.654, 8.0, 21.888, 0.0, 0.0, 242.11, 12.0, 20.946, 0.0, 0.0, -0.015, -0.396, 3
194.816, 7.245, 20.284, 3.104, 0.152, 282.801, 4.02, 23.418, -0.061, -0.003, 229.391, 8.0, 21.914, 0.0, 0.0, 244.728, 12.0, 20.93, 0.0, 0.0, 0.004, -1.015, 3
197.345, 7.638, 20.152, 3.124, 0.154, 285.728, 4.014, 23.415, -0.045, -0.002, 232.131, 8.0, 21.938, 0.0, 0.0, 247.343, 12.0, 20.914, 0.0, 0.0, -0.007, -1.357, 3
199.859, 8.016, 19.995, 3.028, 0.15, 288.655, 4.011, 23.411, -0.033, -0.001, 234.875, 8.0, 21.96, 0.0, 0.0, 249.957, 12.0, 20.899, 0.0, 0.0, -0.0, -0.66, 3
202.355, 8.394, 19.914, 3.014, 0.15, 291.581, 4.008, 23.408, -0.024, -0.001, 237.62, 8.0, 21.981, 0.0, 0.0, 252.569, 12.0, 20.885, 0.0, 0.0, 0.007, -0.154, 3
204.842, 8.782, 19.885, 3.08, 0.154, 294.507, 4.006, 23.405, -0.018, -0.001, 240.369, 8.0, 22.0, 0.0, 0.0, 255.179, 12.0, 20.872, 0.0, 0.0, 0.001, -0.648, 3
207.324, 9.167, 19.804, 3.074, 0.154, 297.433, 4.004, 23.402, -0.013, -0.001, 243.12, 8.0, 22.018, 0.0, 0.0, 257.787, 12.0, 20.859, 0.0, 0.0, -0.003, -0.236, 3
209.799, 9.546, 19.779, 3.041, 0.153, 300.358, 4.003, 23.398, -0.01, -0.0, 245.873, 8.0, 22.035, 0.0, 0.0, 260.394, 12.0, 20.847, 0.0, 0.0, -0.009, -0.851, 3
212.269, 9.911, 19.687, 2.935, 0.148, 303.282, 4.002, 23.395, -0.007, -0.0, 248.628, 8.0, 22.051, 0.0, 0.0, 262.999, 12.0, 20.836, 0.0, 0.0, -0.002, -1.044, 3
214.725, 10.273, 19.561, 2.894, 0.147, 251.385, 8.0, 22.065, 0.0, 0.0, 265.604, 12.0, 20.826, 0.0, 0.0, 222.763, 15.874, 19.139, 0.363, 0.019, -0.078, 2.833, 0
217.2, 10.509, 20.011, 2.169, 0.108, 254.143, 8.0, 22.078, 0.0, 0.0, 268.206, 12.0, 20.816, 0.0, 0.0, 225.162, 15.904, 19.281, 0.277, 0.014, -0.069, 6.762, 0
219.747, 10.665, 20.919, 1.519, 0.072, 256.904, 8.0, 22.091, 0.0, 0.0, 270.808, 12.0, 20.807, 0.0, 0.0, 227.578, 15.927, 19.416, 0.211, 0.011, -0.023, 10.569, 0
222.419, 10.817, 22.255, 1.34, 0.06, 259.666, 8.0, 22.103, 0.0, 0.0, 273.409, 12.0, 20.798, 0.0, 0.0, 230.01, 15.945, 19.545, 0.161, 0.008, -0.024, 13.567, 0
225.274, 10.942, 23.965, 1.117, 0.047, 262.429, 8.0, 22.113, 0.0, 0.0, 276.008, 12.0, 20.79, 0.0, 0.0, 232.459, 15.958, 19.668, 0.122, 0.006, -0.015, 18.207, 0
228.366, 11.054, 26.248, 0.986, 0.038, 265.193, 8.0, 22.123, 0.0, 0.0, 278.606, 12.0, 20.782, 0.0, 0.0, 234.922, 15.968, 19.785, 0.093, 0.005, -0.006, 18.883, 0
231.745, 11.167, 28.611, 0.965, 0.034, 267.959, 8.0, 22.133, 0.0, 0.0, 281.204, 12.0, 20.775, 0.0, 0.0, 237.4, 15.976, 19.896, 0.07, 0.004, -0.007, 16.567, 0
235.408, 11.271, 30.685, 0.872, 0.028, 270.726, 8.0, 22.141, 0.0, 0.0, 283.801, 12.0, 20.769, 0.0, 0.0, 239.891, 15.982, 20.003, 0.053, 0.003, -0.001, 14.244, 0
239.318, 11.379, 32.466, 0.893, 0.028, 273.494, 8.0, 22.149, 0.0, 0.0, 286.396, 12.0, 20.762, 0.0, 0.0, 242.396, 15.986, 20.104, 0.04, 0.002, -0.008, 12.256, 0
243.441, 11.467, 34.003, 0.71, 0.021, 276.263, 8.0, 22.157, 0.0, 0.0, 288.991, 12.0, 20.756, 0.0, 0.0, 244.913, 15.99, 20.2, 0.03, 0.002, -0.009, 10.378, 0
247.746, 11.527, 35.304, 0.477, 0.013, 279.033, 8.0, 22.163, 0.0, 0.0, 291.586, 12.0, 20.751, 0.0, 0.0, 247.442, 15.992, 20.291, 0.023, 0.001, 0.007, 9.327, 0
252.207, 11.611, 36.467, 0.709, 0.019, 281.804, 8.0, 22.17, 0.0, 0.0, 294.179, 12.0, 20.746, 0.0, 0.0, 249.943, 15.632, 20.23, -2.453, -0.121, 0.003, 9.099, 0
256.813, 11.713, 37.601, 0.845, 0.022, 284.575, 8.0, 22.176, 0.0, 0.0, 296.772, 12.0, 20.741, 0.0, 0.0, 252.424, 15.04, 20.042, -4.102, -0.202, -0.011, 6.923, 0
261.55, 11.779, 38.473, 0.478, 0.012, 287.347, 8.0, 22.181, 0.0, 0.0, 299.365, 12.0, 20.736, 0.0, 0.0, 254.919, 14.47, 20.019, -4.408, -0.217, -0.011, 1.255, 1
266.366, 11.795, 38.633, 0.076, 0.002, 290.12, 8.0, 22.186, 0.0, 0.0, 257.431, 13.967, 20.092, -4.095, -0.201, 358.189, 16.0, 19.847, -0.0, -0.0, 0.078, -0.332, 3
271.181, 12.116, 38.475, 2.994, 0.078, 292.894, 8.0, 22.191, 0.0, 0.0, 304.548, 12.0, 20.728, 0.0, 0.0, 360.67, 16.0, 19.85, -0.0, -0.0, 0.071, -0.558, 3
275.957, 12.768, 38.112, 5.601, 0.146, 295.668, 8.0, 22.195, 0.0, 0.0, 307.139, 12.0, 20.724, 0.0, 0.0, 363.151, 16.0, 19.853, -0.0, -0.0, 0.004, -0.803, 3
280.714, 13.485, 37.989, 5.748, 0.15, 298.442, 8.0, 22.199, 0.0, 0.0, 309.729, 12.0, 20.72, 0.0, 0.0, 365.633, 16.0, 19.855, -0.0, -0.0, -0.004, -0.889, 3
285.461, 14.188, 37.9, 5.594, 0.147, 312.319, 12.0, 20.717, 0.0, 0.0, 368.115, 16.0, 19.858, -0.0, -0.0, 343.704, 20.0, 19.775, 0.0, 0.0, -0.001, -1.355, 3
290.192, 14.881, 37.74, 5.515, 0.145, 314.908, 12.0, 20.714, 0.0, 0.0, 370.597, 16.0, 19.86, -0.0, -0.0, 346.178, 20.0, 19.821, 0.0, 0.0, 0.01, -0.213, 3
294.903, 15.608, 37.661, 5.862, 0.154, 317.498, 12.0, 20.711, 0.0, 0.0, 373.08, 16.0, 19.862, -0.0, -0.0, 348.657, 20.0, 19.865, 0.0, 0.0, -0.001, -0.549, 3
