x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
180.796, 0.002, 24.96, 0.011, 0.0, 180.796, -3.998, 24.96, 0.011, 0.0, 221.627, 0.0, 21.416, 0.0, 0.0, 100, 4, 24.96, 0.011, 0.0, -0.004, 3.726, 0
183.936, -0.005, 25.425, -0.047, -0.002, 183.936, -4.005, 25.425, -0.047, -0.002, 224.273, 0.0, 20.666, 0.0, 0.0, 100, 4, 25.425, -0.047, -0.002, 0.003, 7.703, 0
187.154, -0.004, 26.388, 0.003, 0.0, 187.154, -4.004, 26.388, 0.003, 0.0, 226.825, 0.0, 19.916, 0.0, 0.0, 100, 4, 26.388, 0.003, 0.0, 0.001, 11.777, 0
190.514, -0.002, 27.86, 0.014, 0.0, 190.514, -4.002, 27.86, 0.014, 0.0, 229.216, 0.569, 18.906, 3.148, 0.165, 100, 4, 27.86, 0.014, 0.0, -0.0, 15.738, 0
194.078, -0.001, 29.828, 0.013, 0.0, 194.078, -4.001, 29.828, 0.013, 0.0, 231.504, 1.166, 17.948, 4.128, 0.226, 100, 4, 29.828, 0.013, 0.0, -0.0, 15.187, 0
197.886, 0.001, 31.726, 0.012, 0.0, 197.886, -3.999, 31.726, 0.012, 0.0, 233.71, 1.708, 17.241, 4.121, 0.235, 314.283, 5.845, 17.654, -3.768, -0.21, 0.078, 9.05, 3
201.891, 0.243, 32.792, 2.079, 0.063, 201.891, -3.757, 32.792, 2.079, 0.063, 257.481, 0.0, 20.506, 0.0, 0.0, 235.853, 2.168, 16.991, 3.767, 0.218, 0.086, 3.123, 3
205.979, 0.778, 32.949, 4.449, 0.134, 205.979, -3.222, 32.949, 4.449, 0.134, 260.037, 0.0, 20.341, 0.0, 0.0, 238.001, 2.55, 17.241, 3.304, 0.189, 0.017, -0.517, 3
210.087, 1.387, 32.82, 4.894, 0.148, 210.087, -2.613, 32.82, 4.894, 0.148, 262.573, 0.0, 20.19, 0.0, 0.0, 240.18, 2.862, 17.485, 2.773, 0.157, -0.0, -0.263, 3
214.188, 1.998, 32.788, 4.889, 0.148, 214.188, -2.002, 32.788, 4.889, 0.148, 265.091, 0.0, 20.053, 0.0, 0.0, 242.384, 3.112, 17.704, 2.263, 0.127, 0.004, -0.394, 3
