x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
185.435, 0.018, 25.28, 0.127, 0.005, 185.435, -3.982, 25.28, 0.127, 0.005, 100, 0, 25.28, 0.127, 0.005, 286.91, 4.0, 21.78, 0.0, 0.0, 0.063, 0.945, 3
188.596, 0.175, 25.373, 1.137, 0.045, 188.596, -3.825, 25.373, 1.137, 0.045, 100, 0, 25.373, 1.137, 0.045, 289.632, 4.0, 21.768, 0.0, 0.0, 0.083, 2.763, 3
191.767, 0.507, 25.62, 2.522, 0.098, 191.767, -3.493, 25.62, 2.522, 0.098, 100, 0, 25.62, 2.522, 0.098, 292.353, 4.0, 21.756, 0.0, 0.0, 0.055, 0.921, 3
194.96, 0.95, 25.628, 3.45, 0.134, 194.96, -3.05, 25.628, 3.45, 0.134, 100, 0, 25.628, 3.45, 0.134, 295.072, 4.0, 21.745, 0.0, 0.0, 0.022, -1.62, 3
198.147, 1.431, 25.376, 3.788, 0.148, 198.147, -2.569, 25.376, 3.788, 0.148, 100, 0, 25.376, 3.788, 0.148, 297.785, 4.0, 21.631, 0.0, 0.0, -0.02, -0.658, 3
201.322, 1.858, 25.341, 3.45, 0.135, 201.322, -2.142, 25.341, 3.45, 0.135, 100, 0, 25.341, 3.45, 0.135, 300.451, 3.656, 21.386, -2.459, -0.114, 0.04, 0.63, 3
204.479, 2.381, 25.321, 4.114, 0.161, 100, 0, 25.321, 4.114, 0.161, 261.942, 5.853, 18.271, -3.785, -0.204, 283.194, 8.0, 19.8, 0.0, 0.0, -0.002, -4.26, 3
207.623, 2.888, 24.8, 4.003, 0.16, 100, 0, 24.8, 4.003, 0.16, 264.242, 5.463, 18.384, -3.307, -0.178, 222.468, 9.958, 17.169, -3.944, -0.226, 0.02, -3.946, 3
210.695, 3.429, 24.261, 4.234, 0.173, 308.304, 1.99, 20.873, -4.106, -0.194, 266.556, 5.145, 18.492, -2.766, -0.148, 224.632, 9.552, 17.27, -3.466, -0.198, 0.007, 0.805, 3
213.729, 3.975, 24.34, 4.363, 0.177, 310.928, 1.562, 20.961, -3.564, -0.168, 268.88, 4.891, 18.58, -2.251, -0.121, 226.808, 9.22, 17.42, -2.92, -0.166, -0.038, 0.249, 3
216.787, 4.439, 24.467, 3.795, 0.154, 313.562, 1.212, 21.044, -2.962, -0.14, 271.212, 4.69, 18.649, -1.799, -0.096, 229.006, 8.954, 17.641, -2.401, -0.135, -0.088, 2.33, 0
219.88, 4.723, 24.927, 2.483, 0.099, 316.204, 0.933, 21.107, -2.393, -0.113, 273.549, 4.532, 18.703, -1.42, -0.076, 231.227, 8.741, 17.833, -1.933, -0.108, -0.106, 7.079, 0
223.047, 4.798, 25.922, 0.825, 0.032, 318.849, 0.714, 21.149, -1.896, -0.089, 275.899, 4.409, 18.926, -1.12, -0.059, 233.468, 8.574, 17.998, -1.535, -0.085, -0.077, 14.695, 0
226.364, 4.719, 27.767, -0.534, -0.019, 321.498, 0.544, 21.174, -1.482, -0.07, 278.275, 4.314, 19.134, -0.875, -0.046, 235.727, 8.443, 18.141, -1.206, -0.066, -0.013, 19.303, 0
229.935, 4.617, 30.173, -0.853, -0.028, 324.147, 0.412, 21.188, -1.147, -0.054, 280.676, 4.239, 19.328, -0.678, -0.035, 238.002, 8.341, 18.268, -0.941, -0.051, -0.004, 16.382, 0
233.791, 4.496, 32.217, -1.013, -0.031, 326.797, 0.312, 21.194, -0.881, -0.042, 283.101, 4.182, 19.512, -0.522, -0.027, 240.292, 8.262, 18.382, -0.73, -0.04, 0.02, 11.194, 0
237.878, 4.432, 33.628, -0.499, -0.015, 329.448, 0.236, 21.196, -0.673, -0.032, 285.547, 4.138, 19.686, -0.4, -0.02, 242.595, 8.201, 18.485, -0.564, -0.031, 0.004, 8.695, 0
242.127, 4.384, 34.717, -0.385, -0.011, 332.098, 0.178, 21.194, -0.512, -0.024, 288.015, 4.105, 19.851, -0.305, -0.015, 244.91, 8.154, 18.579, -0.435, -0.023, -0.01, 12.731, 0
246.532, 4.299, 36.303, -0.735, -0.02, 334.747, 0.134, 21.192, -0.388, -0.018, 290.503, 4.079, 20.008, -0.233, -0.012, 247.236, 8.118, 18.665, -0.334, -0.018, 0.009, 11.559, 0
251.131, 4.238, 37.752, -0.456, -0.012, 337.396, 0.101, 21.188, -0.293, -0.014, 293.011, 4.06, 20.157, -0.177, -0.009, 249.573, 8.09, 18.745, -0.256, -0.014, 0.012, 9.24, 0
255.899, 4.228, 38.91, -0.021, -0.001, 340.044, 0.076, 21.184, -0.221, -0.01, 295.536, 4.045, 20.298, -0.134, -0.007, 251.919, 8.069, 18.818, -0.196, -0.01, -0.007, 6.099, 0
260.794, 4.197, 39.672, -0.291, -0.007, 342.692, 0.057, 21.18, -0.167, -0.008, 298.079, 4.034, 20.433, -0.101, -0.005, 254.274, 8.053, 18.886, -0.15, -0.008, 0.021, 2.738, 1
265.767, 4.246, 40.011, 0.527, 0.013, 345.34, 0.043, 21.177, -0.125, -0.006, 300.639, 4.026, 20.56, -0.076, -0.004, 256.637, 8.04, 18.948, -0.115, -0.006, -0.043, -5.476, 1
270.739, 4.135, 39.314, -1.149, -0.029, 347.987, 0.032, 21.173, -0.094, -0.004, 303.214, 4.019, 20.681, -0.057, -0.003, 323.615, 8.0, 18.62, 0.0, 0.0, 0.073, -2.2, 3
275.64, 4.289, 39.02, 1.662, 0.043, 350.633, 0.024, 21.169, -0.071, -0.003, 305.804, 4.014, 20.796, -0.043, -0.002, 325.942, 8.0, 18.604, 0.0, 0.0, 0.092, 0.902, 3
280.491, 4.868, 38.824, 5.182, 0.133, 353.279, 0.018, 21.166, -0.053, -0.003, 308.408, 4.011, 20.904, -0.032, -0.002, 328.267, 8.0, 18.59, 0.0, 0.0, 0.032, -1.529, 3
285.317, 5.643, 38.453, 6.371, 0.164, 355.925, 0.013, 21.162, -0.04, -0.002, 311.025, 4.008, 21.006, -0.024, -0.001, 330.59, 8.0, 18.578, 0.0, 0.0, -0.021, 1.062, 3
290.142, 6.359, 38.704, 5.619, 0.144, 313.655, 4.006, 21.103, -0.018, -0.001, 332.912, 8.0, 18.569, 0.0, 0.0, 299.876, 12.0, 21.121, 0.0, 0.0, -0.106, 3.934, 0
295.041, 6.635, 39.57, 1.579, 0.04, 316.297, 4.005, 21.194, -0.014, -0.001, 335.233, 8.0, 18.562, 0.0, 0.0, 302.514, 12.0, 21.073, 0.0, 0.0, -0.027, 6.716, 0
300.026, 6.723, 40.151, 0.534, 0.013, 318.95, 4.003, 21.28, -0.01, -0.0, 337.553, 8.0, 18.558, 0.0, 0.0, 305.146, 12.0, 21.027, 0.0, 0.0, 0.023, -3.708, 1
305.023, 6.885, 39.665, 1.434, 0.036, 321.613, 4.003, 21.36, -0.008, -0.0, 339.873, 8.0, 18.555, 0.0, 0.0, 307.773, 12.0, 20.982, 0.0, 0.0, -0.035, -13.986, 1
309.911, 6.921, 37.943, 0.083, 0.002, 324.286, 4.002, 21.436, -0.006, -0.0, 342.192, 8.0, 18.553, 0.0, 0.0, 310.394, 12.0, 20.94, 0.0, 0.0, 0.036, -22.279, 1
314.535, 7.064, 35.136, 1.233, 0.035, 326.969, 4.001, 21.507, -0.004, -0.0, 344.511, 8.0, 18.554, 0.0, 0.0, 313.01, 12.0, 20.9, 0.0, 0.0, 0.046, -21.724, 1
318.806, 7.369, 32.352, 2.417, 0.075, 329.66, 4.001, 21.574, -0.003, -0.0, 346.83, 8.0, 18.556, 0.0, 0.0, 315.62, 12.0, 20.861, 0.0, 0.0, -0.052, -16.152, 1
322.774, 7.506, 30.407, 1.0, 0.033, 332.36, 4.001, 21.637, -0.002, -0.0, 349.15, 8.0, 18.559, 0.0, 0.0, 318.227, 12.0, 20.825, 0.0, 0.0, -0.022, -11.898, 1
326.515, 7.568, 28.932, 0.481, 0.017, 335.067, 4.001, 21.695, -0.002, -0.0, 351.47, 8.0, 18.563, 0.0, 0.0, 320.828, 12.0, 20.789, 0.0, 0.0, -0.017, -9.361, 1
330.083, 7.582, 27.766, 0.123, 0.004, 337.781, 4.0, 21.75, -0.001, -0.0, 353.791, 8.0, 18.569, 0.0, 0.0, 323.426, 12.0, 20.756, 0.0, 0.0, -0.008, -9.757, 1
333.503, 7.577, 26.546, -0.029, -0.001, 340.502, 4.0, 21.801, -0.001, -0.0, 356.112, 8.0, 18.575, 0.0, 0.0, 326.019, 12.0, 20.724, 0.0, 0.0, -0.002, -9.022, 1
