x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
185.438, 0.102, 26.387, 0.758, 0.029, 185.438, -3.898, 26.387, 0.758, 0.029, 247.969, 0.0, 22.087, 0.0, 0.0, 271.043, 4.0, 22.29, 0.0, 0.0, 0.152, 9.495, 3
188.753, 0.567, 27.348, 3.606, 0.131, 188.753, -3.433, 27.348, 3.606, 0.131, 250.728, 0.0, 22.04, 0.0, 0.0, 273.814, 4.0, 21.926, 0.0, 0.0, 0.085, 0.659, 3
192.14, 1.229, 27.17, 5.217, 0.19, 192.14, -2.771, 27.17, 5.217, 0.19, 253.479, 0.0, 21.902, 0.0, 0.0, 276.54, 4.0, 21.56, 0.0, 0.0, -0.011, -5.185, 3
195.515, 1.85, 26.57, 4.901, 0.182, 195.515, -2.15, 26.57, 4.901, 0.182, 256.209, 0.0, 21.718, 0.0, 0.0, 279.22, 4.0, 21.2, 0.0, 0.0, -0.039, 2.836, 3
198.867, 2.37, 27.042, 4.242, 0.156, 258.916, 0.0, 21.537, 0.0, 0.0, 281.855, 4.0, 20.852, 0.0, 0.0, 239.804, 8.0, 21.98, 0.0, 0.0, -0.036, 1.626, 3
202.268, 2.813, 27.34, 3.604, 0.131, 261.601, 0.0, 21.369, 0.0, 0.0, 284.448, 4.0, 20.538, 0.0, 0.0, 242.548, 8.0, 21.89, 0.0, 0.0, -0.023, 1.248, 3
205.699, 3.206, 27.549, 3.183, 0.115, 264.266, 0.0, 21.213, 0.0, 0.0, 287.004, 4.0, 20.257, 0.0, 0.0, 245.281, 8.0, 21.807, 0.0, 0.0, 0.014, -0.657, 3
209.135, 3.638, 27.436, 3.438, 0.125, 266.911, 0.0, 21.07, 0.0, 0.0, 289.536, 4.0, 20.255, 0.0, 0.0, 248.003, 8.0, 21.731, 0.0, 0.0, 0.015, -3.926, 3
212.54, 4.102, 26.914, 3.647, 0.135, 269.54, 0.0, 20.936, 0.0, 0.0, 292.067, 4.0, 20.253, 0.0, 0.0, 250.717, 8.0, 21.662, 0.0, 0.0, 0.027, -1.974, 3
215.884, 4.623, 26.598, 4.106, 0.153, 272.151, 0.0, 20.81, 0.0, 0.0, 294.599, 4.0, 20.25, 0.0, 0.0, 253.422, 8.0, 21.599, 0.0, 0.0, 0.023, 0.255, 3
219.201, 5.191, 26.563, 4.519, 0.169, 274.747, 0.0, 20.692, 0.0, 0.0, 297.13, 4.0, 20.245, 0.0, 0.0, 256.119, 8.0, 21.541, 0.0, 0.0, -0.057, 1.167, 3
222.548, 5.618, 26.863, 3.506, 0.13, 277.329, 0.0, 20.581, 0.0, 0.0, 299.66, 4.0, 20.24, 0.0, 0.0, 258.81, 8.0, 21.488, 0.0, 0.0, -0.011, -5.233, 3
225.882, 6.027, 26.238, 3.232, 0.123, 302.19, 4.0, 20.234, 0.0, 0.0, 261.494, 8.0, 21.44, 0.0, 0.0, 239.076, 12.0, 21.353, 0.0, 0.0, -0.051, -2.602, 0
229.161, 6.309, 26.008, 2.316, 0.089, 304.719, 4.0, 20.228, 0.0, 0.0, 264.172, 8.0, 21.396, 0.0, 0.0, 241.745, 12.0, 21.347, 0.0, 0.0, -0.03, -0.535, 0
232.415, 6.528, 25.982, 1.804, 0.069, 307.247, 4.0, 20.221, 0.0, 0.0, 266.845, 8.0, 21.356, 0.0, 0.0, 244.413, 12.0, 21.341, 0.0, 0.0, -0.041, 2.633, 0
235.681, 6.659, 26.349, 1.127, 0.043, 309.775, 4.0, 20.214, 0.0, 0.0, 269.513, 8.0, 21.319, 0.0, 0.0, 247.081, 12.0, 21.336, 0.0, 0.0, 0.002, 8.561, 0
239.019, 6.806, 27.417, 1.203, 0.044, 312.301, 4.0, 20.206, 0.0, 0.0, 272.176, 8.0, 21.286, 0.0, 0.0, 249.747, 12.0, 21.331, 0.0, 0.0, 0.016, 9.005, 0
242.491, 7.0, 28.526, 1.574, 0.055, 314.827, 4.0, 20.198, 0.0, 0.0, 274.836, 8.0, 21.255, 0.0, 0.0, 252.413, 12.0, 21.326, 0.0, 0.0, -0.037, 13.53, 0
246.131, 7.099, 30.249, 0.844, 0.028, 317.351, 4.0, 20.19, 0.0, 0.0, 277.491, 8.0, 21.228, 0.0, 0.0, 255.079, 12.0, 21.321, 0.0, 0.0, -0.04, 9.115, 0
249.961, 7.091, 31.4, -0.081, -0.003, 319.874, 4.0, 20.182, 0.0, 0.0, 280.144, 8.0, 21.203, 0.0, 0.0, 257.744, 12.0, 21.317, 0.0, 0.0, -0.014, 1.052, 1
