x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
144.362, -0.034, 25.537, -0.242, -0.009, 144.362, -4.034, 25.537, -0.242, -0.009, 160.268, 0.0, 20.691, 0.0, 0.0, 228.187, 4.0, 21.826, 0.0, 0.0, 0.076, -1.008, 3
147.546, 0.108, 25.393, 0.984, 0.039, 147.546, -3.892, 25.393, 0.984, 0.039, 162.837, 0.0, 20.267, 0.0, 0.0, 230.911, 4.0, 21.713, 0.0, 0.0, 0.121, -1.216, 3
150.691, 0.502, 25.092, 2.909, 0.115, 150.691, -3.498, 25.092, 2.909, 0.115, 165.353, 0.0, 19.863, 0.0, 0.0, 233.621, 4.0, 21.608, 0.0, 0.0, 0.031, -0.412, 3
153.816, 0.934, 24.98, 3.386, 0.135, 153.816, -3.066, 24.98, 3.386, 0.135, 167.82, 0.0, 19.475, 0.0, 0.0, 236.317, 4.0, 21.512, 0.0, 0.0, 0.045, -0.369, 3
156.922, 1.455, 24.829, 4.079, 0.163, 156.922, -2.545, 24.829, 4.079, 0.163, 170.238, 0.0, 19.094, 0.0, 0.0, 239.003, 4.0, 21.422, 0.0, 0.0, -0.023, -1.533, 3
160.026, 1.913, 24.697, 3.686, 0.148, 160.026, -2.087, 24.697, 3.686, 0.148, 172.609, 0.0, 18.705, 0.0, 0.0, 241.677, 4.0, 21.34, 0.0, 0.0, 0.001, 0.415, 3
163.115, 2.377, 24.745, 3.715, 0.149, 174.931, 0.0, 18.315, 0.0, 0.0, 244.341, 4.0, 21.264, 0.0, 0.0, 294.669, 8.0, 20.988, 0.0, 0.0, -0.0, -3.904, 3
166.188, 2.837, 24.264, 3.636, 0.149, 177.204, 0.0, 17.939, 0.0, 0.0, 211.24, 2.173, 16.587, 3.742, 0.222, 297.29, 8.0, 20.933, 0.0, 0.0, -0.002, -0.776, 3
169.218, 3.286, 24.173, 3.586, 0.147, 179.432, 0.0, 17.605, 0.0, 0.0, 213.333, 2.551, 16.716, 3.27, 0.193, 299.904, 8.0, 20.882, 0.0, 0.0, 0.007, 0.993, 3
172.242, 3.75, 24.28, 3.707, 0.152, 181.62, 0.0, 17.32, 0.0, 0.0, 215.441, 2.86, 16.846, 2.741, 0.161, 302.513, 8.0, 20.835, 0.0, 0.0, -0.007, 2.098, 3
175.29, 4.2, 24.555, 3.641, 0.147, 183.775, 0.0, 17.185, 0.0, 0.0, 217.561, 3.106, 16.959, 2.239, 0.131, 305.115, 8.0, 20.791, 0.0, 0.0, -0.005, -0.795, 3
178.357, 4.643, 24.469, 3.547, 0.144, 185.927, 0.0, 17.277, 0.0, 0.0, 219.692, 3.302, 17.055, 1.799, 0.105, 307.712, 8.0, 20.751, 0.0, 0.0, 0.005, -0.637, 3
181.411, 5.096, 24.38, 3.606, 0.147, 188.09, 0.0, 17.363, 0.0, 0.0, 221.739, 3.875, 16.74, 3.913, 0.23, 310.305, 8.0, 20.714, 0.0, 0.0, -0.006, 1.555, 3
184.468, 5.535, 24.585, 3.543, 0.143, 190.264, 0.0, 17.444, 0.0, 0.0, 223.758, 4.615, 16.42, 5.184, 0.306, 312.892, 8.0, 20.68, 0.0, 0.0, 0.017, 0.184, 3
187.537, 6.015, 24.569, 3.805, 0.154, 225.808, 5.273, 16.437, 5.201, 0.306, 315.476, 8.0, 20.648, 0.0, 0.0, 296.074, 11.775, 18.683, 0.626, 0.033, -0.002, -0.941, 3
190.604, 6.485, 24.458, 3.757, 0.152, 227.891, 5.829, 16.617, 4.692, 0.275, 318.056, 8.0, 20.619, 0.0, 0.0, 298.415, 11.828, 18.818, 0.484, 0.026, 0.007, -1.399, 3
193.652, 6.968, 24.269, 3.833, 0.157, 270.571, 4.0, 20.749, 0.0, 0.0, 230.001, 6.287, 16.883, 4.019, 0.234, 300.773, 11.868, 18.943, 0.373, 0.02, -0.015, -1.048, 3
196.685, 7.414, 24.174, 3.586, 0.147, 273.163, 4.0, 20.715, 0.0, 0.0, 232.147, 6.658, 17.227, 3.342, 0.192, 303.146, 11.9, 19.061, 0.286, 0.015, -0.003, -1.502, 3
199.7, 7.856, 23.994, 3.52, 0.146, 275.751, 4.0, 20.684, 0.0, 0.0, 234.328, 6.954, 17.527, 2.711, 0.153, 305.533, 11.923, 19.172, 0.219, 0.011, -0.001, -0.543, 3
202.697, 8.292, 23.93, 3.49, 0.145, 278.335, 4.0, 20.655, 0.0, 0.0, 236.54, 7.189, 17.785, 2.163, 0.121, 307.934, 11.942, 19.276, 0.168, 0.009, 0.024, -1.571, 3
205.672, 8.777, 23.683, 3.803, 0.159, 280.916, 4.0, 20.628, 0.0, 0.0, 238.779, 7.374, 18.009, 1.706, 0.094, 310.348, 11.956, 19.374, 0.128, 0.007, -0.011, 0.251, 3
208.637, 9.23, 23.739, 3.651, 0.153, 283.493, 4.0, 20.603, 0.0, 0.0, 241.043, 7.518, 18.207, 1.334, 0.073, 312.774, 11.966, 19.467, 0.097, 0.005, 0.012, -0.118, 3
211.6, 9.71, 23.698, 3.814, 0.16, 286.068, 4.0, 20.579, 0.0, 0.0, 243.329, 7.629, 18.386, 1.037, 0.056, 315.211, 11.974, 19.554, 0.074, 0.004, -0.018, -1.269, 3
214.562, 10.15, 23.581, 3.54, 0.149, 245.635, 7.716, 18.551, 0.802, 0.043, 317.659, 11.981, 19.635, 0.056, 0.003, 314.562, 16, 23.581, 3.54, 0.149, -0.005, -0.107, 3
217.51, 10.583, 23.577, 3.474, 0.146, 247.962, 7.783, 18.704, 0.618, 0.033, 320.116, 11.985, 19.712, 0.043, 0.002, 317.51, 16, 23.577, 3.474, 0.146, -0.003, -0.084, 3
220.458, 11.011, 23.572, 3.432, 0.145, 250.306, 7.834, 18.847, 0.475, 0.025, 322.583, 11.989, 19.784, 0.032, 0.002, 320.458, 16, 23.572, 3.432, 0.145, -0.004, -0.623, 3
