x, y, vx, vy, heading, l_x, l_y, l_vx, l_vy, l_heading, f_x, f_y, f_vx, f_vy, f_heading, r_x, r_y, r_vx, r_vy, r_heading, LA.steer, LA.acc, HA
140.456, -0.031, 25.486, -0.223, -0.009, 140.456, -4.031, 25.486, -0.223, -0.009, 191.537, 0.0, 22.802, 0.0, 0.0, 208.345, 4.0, 21.002, 0.0, 0.0, 0.067, 0.046, 3
143.639, 0.093, 25.478, 0.866, 0.034, 143.639, -3.907, 25.478, 0.866, 0.034, 194.367, 0.0, 22.331, 0.0, 0.0, 210.969, 4.0, 20.975, 0.0, 0.0, 0.115, -1.492, 3
146.796, 0.462, 25.16, 2.715, 0.108, 146.796, -3.538, 25.16, 2.715, 0.108, 197.141, 0.0, 21.931, 0.0, 0.0, 213.59, 4.0, 20.951, 0.0, 0.0, 0.054, -0.267, 3
149.925, 0.921, 25.021, 3.561, 0.141, 149.925, -3.079, 25.021, 3.561, 0.141, 199.868, 0.0, 21.587, 0.0, 0.0, 216.208, 4.0, 20.928, 0.0, 0.0, 0.002, -0.627, 3
153.048, 1.37, 24.939, 3.581, 0.143, 153.048, -2.63, 24.939, 3.581, 0.143, 202.553, 0.0, 21.289, 0.0, 0.0, 218.823, 4.0, 20.907, 0.0, 0.0, -0.011, -0.663, 3
156.166, 1.792, 24.881, 3.396, 0.136, 156.166, -2.208, 24.881, 3.396, 0.136, 205.203, 0.0, 21.03, 0.0, 0.0, 221.435, 4.0, 20.888, 0.0, 0.0, 0.032, -3.337, 3
159.248, 2.283, 24.397, 3.82, 0.155, 207.822, 0.0, 20.804, 0.0, 0.0, 224.046, 4.0, 20.87, 0.0, 0.0, 191.607, 8.0, 21.181, 0.0, 0.0, 0.001, -1.917, 3
162.288, 2.762, 24.158, 3.799, 0.156, 210.414, 0.0, 20.606, 0.0, 0.0, 226.654, 4.0, 20.853, 0.0, 0.0, 194.249, 8.0, 21.096, 0.0, 0.0, 0.015, 0.315, 3
165.304, 3.27, 24.16, 4.034, 0.165, 212.982, 0.0, 20.431, 0.0, 0.0, 229.26, 4.0, 20.837, 0.0, 0.0, 196.887, 8.0, 21.12, 0.0, 0.0, -0.02, 0.581, 3
168.334, 3.731, 24.28, 3.744, 0.153, 215.53, 0.0, 20.277, 0.0, 0.0, 231.864, 4.0, 20.822, 0.0, 0.0, 199.528, 8.0, 21.141, 0.0, 0.0, 0.012, -1.946, 3
171.355, 4.222, 24.013, 3.877, 0.16, 218.058, 0.0, 20.14, 0.0, 0.0, 234.466, 4.0, 20.807, 0.0, 0.0, 202.171, 8.0, 21.161, 0.0, 0.0, -0.014, -0.429, 3
174.359, 4.677, 23.991, 3.668, 0.152, 220.571, 0.0, 20.02, 0.0, 0.0, 237.066, 4.0, 20.792, 0.0, 0.0, 204.817, 8.0, 21.179, 0.0, 0.0, -0.018, -0.155, 3
177.362, 5.098, 24.011, 3.406, 0.141, 223.069, 0.0, 19.913, 0.0, 0.0, 239.664, 4.0, 20.778, 0.0, 0.0, 207.465, 8.0, 21.196, 0.0, 0.0, 0.029, -0.259, 3
180.353, 5.585, 23.915, 3.824, 0.159, 225.554, 0.0, 19.818, 0.0, 0.0, 242.261, 4.0, 20.765, 0.0, 0.0, 210.116, 8.0, 21.211, 0.0, 0.0, 0.008, -0.132, 3
183.339, 6.079, 23.881, 3.931, 0.163, 244.856, 4.0, 20.752, 0.0, 0.0, 212.768, 8.0, 21.225, 0.0, 0.0, 274.953, 11.857, 18.451, 0.398, 0.022, -0.008, -0.224, 3
186.326, 6.553, 23.873, 3.806, 0.158, 247.45, 4.0, 20.74, 0.0, 0.0, 215.421, 8.0, 21.237, 0.0, 0.0, 277.259, 11.89, 18.456, 0.306, 0.017, 0.015, -0.549, 3
