time, LA.acc, pos, decMax, accMax, vMax, vel, target, HA
0.000000, 0.586146, 0.000000, -12.000000, 19.000000, 12.000000, 0.000000, 100.000000, 0
1.000000, 2.335468, 0.002931, -12.000000, 19.000000, 12.000000, 0.058615, 100.000000, 0
2.000000, 2.696806, 0.020470, -12.000000, 19.000000, 12.000000, 0.292161, 100.000000, 0
3.000000, 3.618062, 0.063170, -12.000000, 19.000000, 12.000000, 0.561842, 100.000000, 0
4.000000, 4.101714, 0.137444, -12.000000, 19.000000, 12.000000, 0.923648, 100.000000, 0
5.000000, 4.862063, 0.250318, -12.000000, 19.000000, 12.000000, 1.333820, 100.000000, 0
6.000000, 6.244689, 0.408010, -12.000000, 19.000000, 12.000000, 1.820026, 100.000000, 0
7.000000, 7.415042, 0.621236, -12.000000, 19.000000, 12.000000, 2.444495, 100.000000, 0
8.000000, 7.689319, 0.902761, -12.000000, 19.000000, 12.000000, 3.185999, 100.000000, 0
9.000000, 9.154800, 1.259807, -12.000000, 19.000000, 12.000000, 3.954931, 100.000000, 0
10.000000, 9.641322, 1.701074, -12.000000, 19.000000, 12.000000, 4.870411, 100.000000, 0
11.000000, 10.878596, 2.236322, -12.000000, 19.000000, 12.000000, 5.834543, 100.000000, 0
12.000000, 11.176337, 2.874169, -12.000000, 19.000000, 12.000000, 6.922403, 100.000000, 0
13.000000, 12.301349, 3.622291, -12.000000, 19.000000, 12.000000, 8.040037, 100.000000, 0
14.000000, 13.505754, 4.487802, -12.000000, 19.000000, 12.000000, 9.270171, 100.000000, 0
15.000000, 15.140949, 5.482348, -12.000000, 19.000000, 12.000000, 10.620747, 100.000000, 0
16.000000, 16.733558, 6.620127, -12.000000, 19.000000, 12.000000, 12.134842, 100.000000, 0
17.000000, 15.869844, 7.917279, -12.000000, 19.000000, 12.000000, 13.808197, 100.000000, 1
18.000000, 15.567472, 9.377448, -12.000000, 19.000000, 12.000000, 15.395182, 100.000000, 1
19.000000, 14.307344, 10.994803, -12.000000, 19.000000, 12.000000, 16.951929, 100.000000, 1
20.000000, 13.049486, 12.761533, -12.000000, 19.000000, 12.000000, 18.382663, 100.000000, 1
21.000000, 12.550169, 14.665047, -12.000000, 19.000000, 12.000000, 19.687612, 100.000000, 1
22.000000, 11.775704, 16.696559, -12.000000, 19.000000, 12.000000, 20.942629, 100.000000, 1
23.000000, 10.921137, 18.849700, -12.000000, 19.000000, 12.000000, 22.120199, 100.000000, 1
24.000000, 9.945049, 21.116326, -12.000000, 19.000000, 12.000000, 23.212313, 100.000000, 1
25.000000, 9.091209, 23.487282, -12.000000, 19.000000, 12.000000, 24.206818, 100.000000, 1
26.000000, 8.067952, 25.953420, -12.000000, 19.000000, 12.000000, 25.115939, 100.000000, 1
27.000000, 7.330468, 28.505354, -12.000000, 19.000000, 12.000000, 25.922734, 100.000000, 1
28.000000, 5.827978, 31.134280, -12.000000, 19.000000, 12.000000, 26.655781, 100.000000, 1
29.000000, 5.750723, 33.828998, -12.000000, 19.000000, 12.000000, 27.238579, 100.000000, 1
30.000000, 4.622210, 36.581609, -12.000000, 19.000000, 12.000000, 27.813651, 100.000000, 1
31.000000, 3.338659, 39.386085, -12.000000, 19.000000, 12.000000, 28.275872, 100.000000, 1
32.000000, 1.964873, 42.230366, -12.000000, 19.000000, 12.000000, 28.609738, 100.000000, 1
33.000000, 1.490041, 45.101164, -12.000000, 19.000000, 12.000000, 28.806225, 100.000000, 1
34.000000, 0.224410, 47.989237, -12.000000, 19.000000, 12.000000, 28.955229, 100.000000, 1
35.000000, 1.114293, 50.885882, -12.000000, 19.000000, 12.000000, 28.977670, 100.000000, 1
36.000000, 0.740098, 53.789220, -12.000000, 19.000000, 12.000000, 29.089100, 100.000000, 1
37.000000, -0.039295, 56.701831, -12.000000, 19.000000, 12.000000, 29.163109, 100.000000, 1
38.000000, 0.985247, 59.617945, -12.000000, 19.000000, 12.000000, 29.159180, 100.000000, 1
39.000000, 0.195677, 62.538789, -12.000000, 19.000000, 12.000000, 29.257705, 100.000000, 1
40.000000, 1.002322, 65.465538, -12.000000, 19.000000, 12.000000, 29.277272, 100.000000, 1
41.000000, 0.767440, 68.398277, -12.000000, 19.000000, 12.000000, 29.377504, 100.000000, 2
42.000000, 0.875020, 71.339865, -12.000000, 19.000000, 12.000000, 29.454248, 100.000000, 2
43.000000, 0.948698, 74.289665, -12.000000, 19.000000, 12.000000, 29.541750, 100.000000, 2
44.000000, 0.593128, 77.248583, -12.000000, 19.000000, 12.000000, 29.636620, 100.000000, 2
45.000000, 0.046755, 80.215211, -12.000000, 19.000000, 12.000000, 29.695933, 100.000000, 2
46.000000, -1.004165, 83.185038, -12.000000, 19.000000, 12.000000, 29.700608, 100.000000, 2
47.000000, -1.601179, 86.150078, -12.000000, 19.000000, 12.000000, 29.600192, 100.000000, 2
48.000000, -3.399521, 89.102091, -12.000000, 19.000000, 12.000000, 29.440074, 100.000000, 2
49.000000, -4.796779, 92.029101, -12.000000, 19.000000, 12.000000, 29.100122, 100.000000, 2
50.000000, -5.399296, 94.915129, -12.000000, 19.000000, 12.000000, 28.620444, 100.000000, 2
51.000000, -5.976716, 97.750177, -12.000000, 19.000000, 12.000000, 28.080514, 100.000000, 2
52.000000, -6.353292, 100.528345, -12.000000, 19.000000, 12.000000, 27.482843, 100.000000, 2
53.000000, -7.202609, 103.244863, -12.000000, 19.000000, 12.000000, 26.847514, 100.000000, 2
54.000000, -8.503351, 105.893601, -12.000000, 19.000000, 12.000000, 26.127253, 100.000000, 2
55.000000, -9.479431, 108.463810, -12.000000, 19.000000, 12.000000, 25.276918, 100.000000, 2
56.000000, -10.417442, 110.944104, -12.000000, 19.000000, 12.000000, 24.328975, 100.000000, 2
57.000000, -10.714972, 113.324915, -12.000000, 19.000000, 12.000000, 23.287230, 100.000000, 2
58.000000, -11.448383, 115.600063, -12.000000, 19.000000, 12.000000, 22.215733, 100.000000, 2
59.000000, -11.161641, 117.764394, -12.000000, 19.000000, 12.000000, 21.070895, 100.000000, 2
60.000000, -12.065531, 119.815675, -12.000000, 19.000000, 12.000000, 19.954731, 100.000000, 2
61.000000, -11.964590, 121.750821, -12.000000, 19.000000, 12.000000, 18.748178, 100.000000, 2
62.000000, -12.165694, 123.565816, -12.000000, 19.000000, 12.000000, 17.551719, 100.000000, 2
63.000000, -11.896991, 125.260159, -12.000000, 19.000000, 12.000000, 16.335149, 100.000000, 2
64.000000, -11.205701, 126.834189, -12.000000, 19.000000, 12.000000, 15.145450, 100.000000, 2
65.000000, -11.850576, 128.292706, -12.000000, 19.000000, 12.000000, 14.024880, 100.000000, 2
66.000000, -12.005618, 129.635941, -12.000000, 19.000000, 12.000000, 12.839823, 100.000000, 2
67.000000, -11.729641, 130.859895, -12.000000, 19.000000, 12.000000, 11.639261, 100.000000, 2
68.000000, -11.205445, 131.965173, -12.000000, 19.000000, 12.000000, 10.466297, 100.000000, 2
69.000000, -11.272137, 132.955775, -12.000000, 19.000000, 12.000000, 9.345752, 100.000000, 2
70.000000, -12.021271, 133.833990, -12.000000, 19.000000, 12.000000, 8.218538, 100.000000, 2
