time, x, v
0, 0.0232756, 0.465512
1, 0.0832446, 0.733867
2, 0.172398, 1.0492
3, 0.30014, 1.50564
4, 0.488803, 2.26763
5, 0.734646, 2.64923
6, 1.03064, 3.27056
7, 1.3787, 3.69064
8, 1.77828, 4.30105
9, 2.22426, 4.61863
10, 2.70976, 5.09128
11, 3.22229, 5.15941
12, 3.75151, 5.42494
13, 4.30812, 5.70724
14, 4.89518, 6.03404
15, 5.51945, 6.45128
16, 6.19709, 7.10157
17, 6.92008, 7.35815
18, 7.68817, 8.00357
19, 8.50922, 8.41759
20, 9.3521, 8.43991
21, 10.2174, 8.86563
22, 11.1268, 9.3222
23, 12.0824, 9.79075
24, 13.0711, 9.98213
25, 14.0912, 10.4215
26, 15.1655, 11.0634
27, 16.2856, 11.3393
28, 17.4228, 11.4053
29, 18.5966, 12.0699
30, 19.8172, 12.3409
31, 21.06, 12.5166
32, 22.3261, 12.8044
33, 23.6308, 13.2908
34, 24.9669, 13.4306
35, 26.3278, 13.7876
36, 27.7319, 14.2946
37, 29.1755, 14.5763
38, 30.6493, 14.9009
39, 32.1657, 15.4261
40, 33.6995, 15.2506
41, 35.2328, 15.4153
42, 36.7892, 15.713
43, 38.3443, 15.3879
44, 39.8788, 15.3028
45, 41.4027, 15.1747
46, 42.9101, 14.9742
47, 44.4198, 15.2191
48, 45.9404, 15.1935
49, 47.4539, 15.0768
50, 48.9665, 15.1734
51, 50.4864, 15.2246
52, 52.0074, 15.1961
53, 53.5232, 15.1196
54, 55.0283, 14.9839
55, 56.5447, 15.3437
56, 58.0785, 15.332
57, 59.6151, 15.3999
58, 61.1471, 15.2407
59, 62.6426, 14.6692
60, 64.1154, 14.7854
61, 65.579, 14.4879
62, 66.9985, 13.9019
63, 68.3862, 13.8523
64, 69.7368, 13.1583
65, 71.0305, 12.7161
66, 72.2812, 12.2988
67, 73.4888, 11.8524
68, 74.6509, 11.3891
69, 75.7743, 11.0802
70, 76.844, 10.3134
71, 77.8542, 9.89069
72, 78.815, 9.32539
73, 79.7673, 9.72127
74, 80.7274, 9.47877
75, 81.6652, 9.27894
76, 82.5679, 8.77508
77, 83.4261, 8.38762
78, 84.244, 7.97093
79, 85.0345, 7.83894
80, 85.7794, 7.05928
81, 86.4533, 6.41876
82, 87.0797, 6.10908
83, 87.6689, 5.67591
84, 88.211, 5.1657
85, 88.7118, 4.85038
86, 89.1787, 4.48768
87, 89.6249, 4.43491
88, 90.0422, 3.91237
89, 90.4034, 3.31131
90, 90.723, 3.08105
91, 90.9998, 2.45523
92, 91.2268, 2.08297
93, 91.4227, 1.83638
94, 91.6035, 1.77967
95, 91.7793, 1.73496
96, 91.9145, 0.970548
97, 91.996, 0.659519
98, 92.035, 0.119621
99, 92.041, 0
100, 92.041, 0
101, 92.041, 0
102, 92.041, 0
103, 92.041, 0
104, 92.041, 0
105, 92.041, 0
106, 92.041, 0
107, 92.041, 0
108, 92.041, 0
109, 92.041, 0
110, 92.041, 0
111, 92.041, 0
112, 92.041, 0
113, 92.041, 0
114, 92.041, 0
115, 92.041, 0
116, 92.041, 0
117, 92.041, 0
118, 92.041, 0
119, 92.041, 0
120, 92.041, 0
121, 92.041, 0
122, 92.041, 0
123, 92.041, 0
124, 92.041, 0
125, 92.041, 0
126, 92.041, 0
127, 92.041, 0
128, 92.041, 0
129, 92.041, 0
130, 92.041, 0
131, 92.041, 0
132, 92.041, 0
133, 92.041, 0
134, 92.041, 0
135, 92.041, 0
136, 92.041, 0
137, 92.041, 0
138, 92.041, 0
139, 92.041, 0
140, 92.041, 0
141, 92.041, 0
142, 92.041, 0
143, 92.041, 0
144, 92.041, 0
145, 92.041, 0
146, 92.041, 0
147, 92.041, 0
148, 92.041, 0
149, 92.041, 0
