x,y,z,bx,by,bz,tx,ty,tz,end_width,LA.vx,LA.vy,LA.vz,LA.end,HA
0.03843862,0.00074164744,0.19739963,-0.028048156,-0.008983323,0.01998953,-0.074004665,-0.13924544,0.11019169,3.4391274e-08,-0.47340204880580383,0.46338575546166744,-0.34819621396029454,0.8856229159174305,0
0.027296402,0.0025580027,0.18150765,-0.028048277,-0.008982885,0.019989435,-0.074004665,-0.13924544,0.11019169,0.07027393,-0.1500171823752411,0.5455008852286201,-0.6827853381175338,0.6140702426354561,0
0.0070298426,0.006074285,0.14905798,-0.028048322,-0.008982447,0.019989418,-0.074004665,-0.13924544,0.11019169,0.07881766,-0.024505310135650882,-0.33491461537667966,-0.6468342722208316,1,0
-0.005817445,-0.0062956065,0.104193255,-0.028048351,-0.008982008,0.019989414,-0.074004665,-0.13924544,0.11019169,0.07985588,0.2189699065703275,-0.08326765389356852,-0.5645476130600783,1,0
-0.013514082,-0.007847616,0.05215487,-0.028047813,-0.008981809,0.019989813,-0.074004665,-0.13924544,0.11019169,0.07998243,0.8911199388572052,-0.6825147056468086,-0.7163319311372268,0.9331763347715132,0
-0.018929709,-0.022082582,0.005436791,-0.02804766,-0.008981808,0.019989964,-0.074004665,-0.13924544,0.11019169,0.07961018,-0.21041922702090715,-1,0.2889782253305939,-1,0
-0.029652521,-0.04434314,0.005491543,-0.04194988,-0.048777953,0.02185555,-0.074004665,-0.13924544,0.11019169,0.03370691,-0.3466683797001423,-0.9589374862027896,-0.5506393245468486,-1,0
-0.051158264,-0.08774431,0.005645356,-0.0637297,-0.07636417,0.021764217,-0.074004665,-0.13924544,0.11019169,0.033687472,0.10686993744927659,-0.6260655441939371,1,-1,0
-0.063025124,-0.12034716,0.012869926,-0.074943,-0.11097454,0.029527793,-0.074004665,-0.13924544,0.11019169,0.034062628,-0.08292200215886603,-0.5306441848931568,0.1692841581684314,-0.9639047591782083,0
-0.076271154,-0.14444923,0.02721511,-0.08962472,-0.15099448,0.043626152,-0.074004665,-0.13924544,0.11019169,0.03367867,1,-0.37765997067135104,0.3690407331072395,-0.6006151836752459,0
-0.0717241,-0.15202078,0.060322776,-0.08449835,-0.1702028,0.07731676,-0.074004665,-0.13924544,0.11019169,0.03670738,-0.17119026742110324,0.0386634809585486,0.9581773797651164,-1,0
-0.074602485,-0.14483336,0.08604395,-0.08838961,-0.16029176,0.10146202,-0.074004665,-0.13924544,0.11019169,0.037542418,0.37784669281806665,-0.5989602272407578,-0.03755305609165549,-0.37729597121269454,0
-0.07458485,-0.14482495,0.09392544,-0.08818746,-0.1478764,0.10920994,-0.074004665,-0.13924544,0.11019169,0.03771192,-0.3219162395344756,-1,0.42024927619726127,-1,0
-0.074525915,-0.14487778,0.0939998,-0.088153765,-0.1354936,0.10911767,-0.074004665,-0.13924544,0.11019169,0.037760254,0.056618339925707833,0.49654060523682686,0.34284176440273956,-0.7146900746107527,0
-0.0745302,-0.14497456,0.09401562,-0.0881574,-0.12785894,0.109134726,-0.074004665,-0.13924544,0.11019169,0.03788345,-0.8486611343674451,-0.3441281448701551,-1,-0.8309220004720641,0
-0.07454609,-0.14506778,0.09402185,-0.088170744,-0.12695199,0.10913937,-0.074004665,-0.13924544,0.11019169,0.037859194,-0.4444259568773833,0.19571254587789064,-0.11991364778656532,-1,0
-0.07456248,-0.14514104,0.094022766,-0.088186145,-0.12691942,0.10913916,-0.074004665,-0.13924544,0.11019169,0.037838146,-0.17861826650108079,-0.24666134479386512,0.7127759000996212,0.262190356443478,0
-0.074576445,-0.14519551,0.094021216,-0.088199295,-0.12701246,0.10913693,-0.074004665,-0.13924544,0.11019169,0.0378246,0.06407955506876625,0.42783024902518196,-0.9104508681117388,-1,0
-0.07458815,-0.14523926,0.09401864,-0.088210575,-0.12710337,0.109133825,-0.074004665,-0.13924544,0.11019169,0.037815444,0.2625946210285006,-1,-0.34026418367027966,-1,0
-0.07459813,-0.14527567,0.094014965,-0.08822012,-0.1271899,0.10912961,-0.074004665,-0.13924544,0.11019169,0.037807785,0.312678564567089,0.5157451197444843,0.054002206167995906,-0.7302979456705321,0
